Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
08-Feb-2019 05:00 PM,22-Feb-2019 11:00 AM,08-Feb-2019 05:00 PM,22-Feb-2019 10:30 AM,NA ,NA ,08-Feb-2019 05:00 PM,22-Feb-2019 10:30 AM,27-Feb-2019 11:00 AM,1.0,Amount,Other,,"13,800",No,fixed,,EE HPPWD Baijnath Division,Baijnath,350.0,EE HPPWD Baijnath Division,Baijnath,No,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,Periodic Maintenance link road to village Chogan DRRP No. HP403VR0033 (Under AMP 2019-20 PMGSY Road),Providing and Laying built up spray grout single layer tack coat and Bituminous concrete at Km 0/0 to 1/0).,Please refer Tender documents. ,NA ,"6,85,808",Civil Works - Roads,NA ,Tender,120.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,1.0,DD - Demand Draft,PWD,PWD-BD-NIT-2018-19-16629-90,2019_PWD_27025_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,114399.0,ANURAG SHARMA,INR,"897,476",Finance,Financial Bid of the said work open on 27.2.2019 successfully.,Sanjiv Kumar,25-Apr-2019 10:51 AM,finance_38456.pdf,BOQ Comparative Chart,1.0,114399.0,ANURAG SHARMA,21-Feb-2019 07:19 PM,Accepted-AOC,Lower Side,12-Jun-2019 01:25 PM,Technical,Two bidders participated in this work and found responsive. Hence tender recommended by committee to open financial bid.,Sanjiv Kumar,26-Feb-2019 10:46 AM,technical_38456.pdf,Er S K Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,26-Feb-2019 10:47 AM,27-Feb-2019 11:00 AM,techsummary_38456.pdf (275.32 KB),PWD,2019_PWD_27025_1,PWD-BD-NIT-2018-19-16629-90,Periodic Maintenance link road to village Chogan DRRP No. HP403VR0033 (Under AMP 2019-20 PMGSY Road),12-Jun-2019,"INR 685,808",60.0,Sanjiv Kumar,12-Jun-2019 01:25 PM,Chogan.pdf (427.00 KB),Er S K Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,25-Apr-2019 10:59 AM,finsummary_38456.pdf (162.71 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,114472.0,G.P.ACHARYA,21-Feb-2019 09:15 PM,Rejected-Finance,Higher Side,25-Apr-2019 10:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid GST Registration and PAN No.,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done as indicated in SBD.,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"e- mail ID, Mobile No. is mandatory, since all kind of correspondence in regard to tender if any sha",,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
