Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,ATTACHED,Maan Singh,17-Dec-2018 01:45 PM,finance_35118.pdf,BOQ Comparative Chart,1.0,102945.0,MAMLESHWAR MAHADEV CONTRUCTIONS INDIA PVT LTD,INR,"4,485,757",Technical,ATTACHED,Chaman Singh,17-Dec-2018 01:01 PM,technical_35118.pdf,1.0,102945.0,MAMLESHWAR MAHADEV CONTRUCTIONS INDIA PVT LTD,09-Dec-2018 02:02 PM,Accepted-AOC,OK,14-Jun-2019 05:55 PM,MAAN SINGH,Internal,ALL,Maan Singh,23-Apr-2019 07:12 PM,finsummary_35118.pdf (561.94 KB),01-Jun-2019,"INR 4,485,757",365.0,Maan Singh,14-Jun-2019 05:55 PM,25112.PDF (281.00 KB),Working Estimate for the construction of School building at Govt. High School Kandha Sorta in Tehsil Karsog District-Mandi (H.P),PWD,2018_PWD_25112_1,KSG_ETENDERS/2018-198902-7 DT 02.12.2018,Working Estimate for the construction of School building at Govt. High School Kandha Sorta in Tehsil Karsog District-Mandi (H.P),MANN SINGH,Internal,,Chaman Singh,17-Dec-2018 01:03 PM,17-Dec-2018 01:05 PM,techsummary_35118.pdf (548.77 KB),AOC,"1,500",EE KARSOG,KARSOG,Yes,PWD KARSOG,kARSOG TEHSIL KARSOG DISTT MANDI HP,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,Working Estimate for the construction of School building at Govt. High School Kandha Sorta in Tehsil Karsog District-Mandi (H.P),"Construction of Laboratory,Library, Two class room i/c stair case, water supply, sanitry installation and site development work)",Please refer Tender documents. ,NA ,"32,57,946",Civil Works,NA ,Tender,90.0,365.0,KANDA SORTA,175011.0,NA ,NA ,NA ,KARSOG,No ,No,PWD,KSG_ETENDERS/2018-198902-7 DT 02.12.2018,2018_PWD_25112_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"56,400",Yes,fixed,,EE KARSOG,KARSOG,04-Dec-2018 09:00 AM,13-Dec-2018 12:00 PM,04-Dec-2018 09:00 AM,10-Dec-2018 10:00 AM,NA ,NA ,04-Dec-2018 09:00 AM,10-Dec-2018 10:00 AM,17-Dec-2018 01:05 PM,AOC
,,,,,,,,,,,,,,,,2.0,102944.0,MOHAN SINGH NEGI GOVT CONT.,09-Dec-2018 03:26 PM,Rejected-Finance,OK,23-Apr-2019 07:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,EMD Indicated In Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit Regarding No Relative Working in PWD Department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit Detail Litigation Cases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Contractor Registration Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
