Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"5,000",Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),PWD,PW/BGN/CB/T-I/2018-19-16118-42 dt 14.01.2019,2019_PWD_26689_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,"1,97,150",No,fixed,,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,1.0,DD - Demand Draft,Periodical maintenance of Una Barsar Bhota Bhambla Kalkhar Nerchowk road SH Providing and laying 25mm thick bituminous concrete including scarifying with Milling Machine in km 220 to 240 and 330 to 39700,Periodical maintenance of Una Barsar Bhota Bhambla Kalkhar Nerchowk road SH Providing and laying 25mm thick bituminous concrete including scarifying with Milling Machine in km 220 to 240 and 330 to 39700,Please refer Tender documents. ,NA ,"1,98,63,584",Civil Works - Roads,NA ,Tender,120.0,60.0,Bangana,174307.0,NA ,NA ,NA ,Executive Engineer HPWD Bangana,No ,No,04-Feb-2019 05:00 PM,12-Feb-2019 11:30 AM,04-Feb-2019 05:00 PM,11-Feb-2019 05:00 PM,NA ,NA ,04-Feb-2019 05:00 PM,11-Feb-2019 05:00 PM,16-Feb-2019 11:00 AM,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,1.0,Corrigendum,Fee,,AOC,Finance,bidopening summary,Ram Saroop Kalia,10-Jun-2019 03:37 PM,None,BOQ Comparative Chart,1.0,111972.0,Rajneesh Mohan,INR,"21,180,150",1.0,111955.0,ganesh,11-Feb-2019 02:11 PM,Rejected-AOC,Reject due to higher side from L-1,10-Jun-2019 03:44 PM,Technical,technicalevaluationsummary,Ram Saroop Kalia,14-Feb-2019 08:48 PM,technical_37915.pdf,EE,Internal,GASupdtHDMDAOAE,Ram Saroop Kalia,14-Feb-2019 08:49 PM,16-Feb-2019 11:00 AM,techsummary_37915.pdf (95.18 KB),PWD,2019_PWD_26689_1,PW/BGN/CB/T-I/2018-19-16118-42 dt 14.01.2019,Periodical maintenance of Una Barsar Bhota Bhambla Kalkhar Nerchowk road SH Providing and laying 25mm thick bituminous concrete including scarifying with Milling Machine in km 220 to 240 and 330 to 39700,10-Jun-2019,"INR 16,461,636",60.0,Ram Saroop Kalia,10-Jun-2019 03:44 PM,26689.pdf (275.00 KB),Award letter,EE,Internal,GASupdtHDMDAOAE,Ram Saroop Kalia,10-Jun-2019 03:41 PM,finsummary_37915.pdf (275.14 KB),AOC
,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,111972.0,Rajneesh Mohan,11-Feb-2019 03:13 PM,Accepted-AOC,Accept due to L-1,10-Jun-2019 03:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,111907.0,S.S.Chauhans Construction Private Limted,11-Feb-2019 02:53 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Feb-2019 08:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in Bidding Document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,List of Machinery Tool Plant with proof of ownership or legal tie-up and list of laboratory equipmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,List of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No.16 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
