Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
03-Jun-2019,"INR 13,727,111.8",540.0,Naresh Raj Chandel,03-Jun-2019 01:14 PM,AOCGuestHouse.pdf (3052.00 KB),AOC issue,CE Mandi Zone,Internal,SE (DandW)MZ SE 1st Circle EE(D Bldg) EE SNR Planning Officer Dy. Contr. (FA) MZ,Naresh Raj Chandel,23-May-2019 11:47 AM,finsummary_35998.pdf (4105.00 KB),D R Chauhan Executive Engineer,Internal,N R Chandel A E Suket Sushil Kumar Sr DAO Dinesh Sen DHM Girj aSharma Sudt GrII,Devi Ram Chauhan,17-Jan-2019 03:39 PM,17-Jan-2019 04:00 PM,techsummary_35998.pdf (393.66 KB),PWD,2019_PWD_25691_1,PW-SNR-CB-E-TEN/18-16417-23 dt 10-12-18,Construction of Guest House in premises of Govt Polytechnic Sundernagar Distt Mandi Mandi HP,Technical,BOS,Naresh Raj Chandel,16-Jan-2019 02:48 PM,technical_35998.pdf,1.0,107491.0,Anil Kumar,14-Jan-2019 03:59 PM,Accepted-AOC,Found Lowest,03-Jun-2019 01:14 PM,1.0,107491.0,Anil Kumar,INR,"13,727,112",Finance,Fin. Bid Opening Summary,Devi Ram Chauhan,18-Jan-2019 06:07 PM,finance_35998.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,"5,000",EE Sunder Nagar,Sunder Nagar,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,01-Jan-2019 05:25 PM,15-Jan-2019 11:00 AM,01-Jan-2019 05:30 PM,14-Jan-2019 06:00 PM,01-Jan-2019 06:00 PM ,14-Jan-2019 03:00 PM ,01-Jan-2019 06:00 PM,14-Jan-2019 06:00 PM,17-Jan-2019 04:00 PM,"1,53,500",No,fixed,,EE Sunder Nagar,Sunder Nagar,PWD,PW-SNR-CB-E-TEN/18-16417-23 dt 10-12-18,2019_PWD_25691_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Construction of Guest House in premises of Govt Polytechnic Sundernagar Distt Mandi Mandi HP,SH Construction of building portion and WS and SI,Please refer Tender documents. ,NA ,"1,20,64,923",Civil Works - Buildings,NA ,Tender,120.0,540.0,Sunder Nagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,Executive Engineer,Executive Engineer Sunder Nagar Division HPPWD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,107581.0,ATUL SHARMA,14-Jan-2019 05:08 PM,Rejected-AOC,Not Found Lowest,03-Jun-2019 01:14 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,.pdf,The earnest money indicated in schedule F,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,107362.0,BHUPINDER THAKUR,14-Jan-2019 04:18 PM,Rejected-AOC,Not Found Lowest,03-Jun-2019 01:14 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Contractors registration refer general rules No.23,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,107455.0,NARAIN DASS NAIK,12-Jan-2019 02:29 PM,Rejected-AOC,Not Found Lowest,03-Jun-2019 01:14 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,GST registration general rules No. 21,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,107498.0,Naresh Kumar,13-Jan-2019 04:38 PM,Rejected-AOC,Not Found Lowest,03-Jun-2019 01:14 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,107435.0,SHIV RAM,12-Jan-2019 04:51 PM,Rejected-AOC,Not Found Lowest,03-Jun-2019 01:14 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18 alongwith owner ship pro",6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Copy of EPF Registration/ affidavit as per clause 25 A,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Form No. 8 prefer General Rules No. 26.7,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
