S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,73381.0,M/s.Pawan Kumar Sharma,INR,"9,088,829.75","HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Barsar,Irrigation and Public Health,HP",2018_HPIPH_19146_1,No. EE IPH BBR TA E-T Dam Saryali 2016-17-17423-32,Construction of Check Dam in Saryali Khad in Tehsil Barsar Distt. Hamirpur H.P,EE IPH division Barsar,Internal,Sushil Kumar Sr. Assistant Supdtt. Gr-II HDM AE to EE IPH Division Barsar,Jitender Kumar,11-Jun-2019 12:57 PM,finsummary_26280.pdf (77.10 KB),EEIPH Division Barsar,Internal,Sh. Sushil Kumar Sr. Assitt. DHD IPH Division Barsar Supdtt. Gr-II AE IPH Sub Division Bhota,Rajender Kumar Khawla,30-Jan-2018 12:03 PM,30-Jan-2018 12:15 PM,techsummary_26280.pdf (109.53 KB),1,74422,abhishek dhiman,22-Jan-2018 03:28 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Jan-2018 11:48 AM,14-Jun-2019,"INR 8,340,036",365.0,Jitender Kumar,14-Jun-2019 12:55 PM,AOC.pdf (44.00 KB),AOC,Finance,BOS,Rajender Kumar Khawla,30-Jan-2018 03:50 PM,finance_26280.pdf,BOQ Comparative Chart,Technical,BOS,Rajender Kumar Khawla,30-Jan-2018 11:48 AM,technical_26280.pdf,AOC,Executive Engineer IPH Division Barsar,Executive Engineer IPH Division Barsar Tehsil Barsar Distt. Hamirpur,"1,23,400",Yes,fixed,,EE IPH Division Barsar,EE IPH Division Barsar,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Barsar,Irrigation and Public Health,HP",No. EE IPH BBR TA E-T Dam Saryali 2016-17-17423-32,2018_HPIPH_19146_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,SS - Small Savings Instrument,1.0,Fee/PreQual/Technical,.pdf,Certificate of registration with IPH Department in appropriate class and latest renewal thereof.,800.0,EE IPH Division Barsar,EE IPH Division Barsar,Yes,12-Jan-2018 02:00 PM,23-Jan-2018 11:30 AM,12-Jan-2018 02:00 PM,22-Jan-2018 04:00 PM,12-Jan-2018 02:00 PM ,12-Jan-2018 02:00 PM ,12-Jan-2018 02:00 PM,22-Jan-2018 04:00 PM,30-Jan-2018 12:15 PM,Construction of Check Dam in Saryali Khad in Tehsil Barsar Distt. Hamirpur H.P,Construction of Check Dam in Saryali Khad in Tehsil Barsar Distt. Hamirpur H.P,Please refer Tender documents. ,NA ,"83,40,036",Civil Works,NA ,Tender,120.0,365.0,IPH Sub Division Barsar,174305.0,NA ,NA ,NA ,IPH Division Barsar,No ,No,AOC
2.0,73919.0,sunil verma,INR,"88,758,776.3",,,,,,,,,,,,,,,,,,2,74510,Ajay Kumar,22-Jan-2018 01:46 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Jan-2018 11:48 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest money amounting to Rs.123400.00 only plugged in favour of EE IPH Division Barsar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,74372.0,Naresh Kumar,INR,"8,194,354",,,,,,,,,,,,,,,,,,3,74351,Ajay Kumar Govt. Contractor,21-Jan-2018 02:40 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Jan-2018 11:48 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The cost of tender form demand draft in favour of E E IPH Divin. Barsar amounting to Rs. 800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,74330,Dogra Construction Company Pvt Ltd,22-Jan-2018 01:41 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Jan-2018 11:48 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax and GST registration No. and latest clearance certificates thereof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,74147,Joginder Singh,20-Jan-2018 06:14 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Jan-2018 11:48 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A scanned copy of undertaking that I have carefully studied all the terms and conditions before quot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,73381,M/s.Pawan Kumar Sharma,13-Jan-2018 04:26 PM,Accepted-AOC,Accepted as L3,14-Jun-2019 12:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,74372,Naresh Kumar,21-Jan-2018 03:42 PM,Accepted-AOC,Awarded to the lowest,14-Jun-2019 12:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ where contractor will quote his offer for each item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,74514,RAMAN KUMAR,22-Jan-2018 12:39 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Jan-2018 11:48 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,74399,SANJEEV THAKUR,21-Jan-2018 05:42 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Jan-2018 11:48 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,74223,Shashank Jagota Govt. Contractor,21-Jan-2018 04:52 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Jan-2018 11:48 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
