Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,"25,770",No,fixed,,Executive Engineer HPPWD Division,Tanda at Nagrota Bagwan,PWD,PWD Civil-8845-65-Tanda,2019_PWD_26098_12,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,22-Jan-2019 05:35 PM,07-Feb-2019 11:30 AM,22-Jan-2019 05:35 PM,06-Feb-2019 05:00 PM,NA ,NA ,22-Jan-2019 05:35 PM,06-Feb-2019 05:00 PM,20-Feb-2019 10:30 AM,Executive Engineer,Executive Engineer HP PWD Division Tanda at Nagrota Bagwan,500.0,Executive Engineer HPPWD Division,Tanda at Nagrota Bagwan,No,1.0,DD - Demand Draft,Periodic maintenance of Kandi to Danoa road Km 0/000 to 5/000 under Annual Maintenance Plan for the year 2019-20 (HP0408VR152) in Distt. Kangra (H.P.),Providing and laying 25mm thick bitumen concrete with paver finisher complete in Km 3/000 to 4/000 and 4/000 to 5/000,Please refer Tender documents. ,NA ,"12,88,404",Civil Works - Roads,NA ,Rate Contract,120.0,90.0,TANDA,176002.0,NA ,NA ,NA ,EE Tanda at Nagrota Bagwan,No ,No,AOC,20-Jun-2019,"INR 1,646,134",90.0,Suresh Kumar Walia,21-Jun-2019 10:51 AM,Award.PDF.pdf (770.00 KB),Award,1.0,110632.0,pritam singh thkur,INR,"1,646,134",Dr Suresh Kumar Walia,Internal,Ankit AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Kartar Chand Supdt Gr II Account Vijay Sharma HDM,Suresh Kumar Walia,20-Feb-2019 12:34 PM,finsummary_36848.pdf (601.39 KB),PWD,2019_PWD_26098_12,PWD Civil-8845-65-Tanda,Periodic maintenance of Kandi to Danoa road Km 0/000 to 5/000 under Annual Maintenance Plan for the year 2019-20 (HP0408VR152) in Distt. Kangra (H.P.),Finance,Sum,Suresh Kumar Walia,20-Feb-2019 12:31 PM,finance_36848.pdf,BOQ Comparative Chart,Dr Suresh Kumar Walia,Internal,Ankit AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Kartar Chand Supdt Gr II Account Vijay Sharma HDM,Suresh Kumar Walia,18-Feb-2019 01:25 PM,20-Feb-2019 10:30 AM,techsummary_36848.pdf (601.39 KB),Technical,Sum,Suresh Kumar Walia,18-Feb-2019 01:24 PM,technical_36848.pdf,1.0,111233.0,garg,06-Feb-2019 03:35 PM,Rejected-AOC,L3,21-Jun-2019 10:51 AM,AOC
,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,110632.0,pritam singh thkur,04-Feb-2019 05:08 PM,Accepted-AOC,L1,21-Jun-2019 10:51 AM,AOC
,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,110457.0,VIRENDER PRASHAD SHARMA,03-Feb-2019 05:05 PM,Rejected-AOC,L2,21-Jun-2019 10:51 AM,AOC
,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Detail of Machinery as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Under taking no arbitration/litigation with PWD in pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit true information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
