Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form ( as per schedule F ),22-Sep-2018 05:00 PM,08-Oct-2018 11:00 AM,22-Sep-2018 05:00 PM,05-Oct-2018 05:00 PM,NA ,NA ,22-Sep-2018 05:00 PM,05-Oct-2018 05:00 PM,08-Oct-2018 02:15 PM,PWD,4098-4105,2018_PWD_23704_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodic maintenance of Kahanpat to Touru road Km. 0/0 to 3/0 under AMP for the year 2018-19 (HP0408VR0153) in Distt. Kangra (HP),Providing and laying 25mm thick bitumen concrete with paver finisher complete in Km. 2/0 to 3/0,Please refer Tender documents. ,NA ,"7,07,565",Civil Works - Roads,NA ,Rate Contract,120.0,90.0,Tanda,176002.0,NA ,NA ,NA ,Executive Engineer MC Division HPPWD Tanda,No ,No,1.0,DD - Demand Draft,"14,160",No,fixed,,Executive Engineer MC Division HPPWD Tanda,Tanda,Executive Engineer,Executive Engineer MC Division HPPWD Tanda,350.0,Executive Engineer MC Division HPPWD Tanda,Tanda,No,AOC,1.0,96729.0,VIRENDER PRASHAD SHARMA,04-Oct-2018 02:04 PM,Accepted-AOC,L1,11-Jun-2019 12:02 PM,Technical,Sum,Ravi Bhushan,08-Oct-2018 12:20 PM,technical_33140.pdf,Finance,SUM,Ravi Bhushan,08-Oct-2018 03:17 PM,finance_33140.pdf,BOQ Comparative Chart,1.0,96729.0,VIRENDER PRASHAD SHARMA,INR,"875,881",Dr Suresh Walia,Internal,Surinder Kumar AE Manoj Kumar TA Ashwani Kumar Supdt Ved Parkash HDM,Ravi Bhushan,08-Oct-2018 02:07 PM,08-Oct-2018 02:15 PM,techsummary_33140.pdf (325.60 KB),PWD,2018_PWD_23704_1,4098-4105,Periodic maintenance of Kahanpat to Touru road Km. 0/0 to 3/0 under AMP for the year 2018-19 (HP0408VR0153) in Distt. Kangra (HP),04-Jun-2019,"INR 875,881",90.0,Suresh Kumar Walia,11-Jun-2019 12:02 PM,Award.pdf.pdf (594.00 KB),Award,Dr Suresh Walia,Internal,Surinder Kumar AE Ashwani Kumar Supdtt Manoj Kumar TA Ved Parkash HDM,Ravi Bhushan,08-Oct-2018 03:22 PM,finsummary_33140.pdf (325.60 KB),AOC
,,.pdf,Earnest Money ( as per schedule F ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"GST No., EPF No, Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done and work in hand certificate (Gen. Rule 19) Shown in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Tender will be accepted of those Contractor who possess own Hot Mix Plant and own Paver Finisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavits regarding all the Information furnished with the bid are correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No. 8 duly signed in Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
