Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",01-Mar-2019 02:00 PM,12-Mar-2019 11:00 AM,01-Mar-2019 02:30 PM,11-Mar-2019 05:00 PM,NA ,NA ,01-Mar-2019 02:30 PM,11-Mar-2019 05:00 PM,29-Mar-2019 10:30 AM,"Construction of 8 span 14.40mtr. each RCC Slab Bridge Over Bhalola Khad at km. 0-435 on link road Bhalola to Bhalola Takka Dathwara Abadi Jhingra Road in Distt. Una H.P Sub Head C./O 8 span 14.40mtr. each RCC Bridge, C.O Retaining wall and Metallin","Construction of 8 span 14.40mtr. each RCC Slab Bridge Over Bhalola Khad at km. 0-435 on link road Bhalola to Bhalola Takka Dathwara Abadi Jhingra Road in Distt. Una H.P Sub Head C./O 8 span 14.40mtr. each RCC Bridge, C.O Retaining wall and Metallin",Please refer to Bidding Documents ,NA ,"1,87,44,346",Civil Works - Bridges,NA ,Tender,120.0,456.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,1.0,Change of Unit,Other,,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),PWD,Construction of 8 span 14.40mtr. each RCC Slab Bri,2019_PWD_27969_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"2,20,000",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,"5,000","Executive Engineer, Una Division, HPPWD, Una",Una,No,1.0,FDR - Fixed Deposit,AOC,Er. B.S. Dehal E.E.,Internal,"Er. Kuldeep Singh AE to EE Des Raj Katna AE Devinder Singh, Head Draughtsman , Jagpal Singh Supdt Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,26-Mar-2019 07:00 PM,29-Mar-2019 10:30 AM,techsummary_40001.pdf (794.45 KB),PWD,2019_PWD_27969_1,Construction of 8 span 14.40mtr. each RCC Slab Bri,"Construction of 8 span 14.40mtr. each RCC Slab Bridge Over Bhalola Khad at km. 0-435 on link road Bhalola to Bhalola Takka Dathwara Abadi Jhingra Road in Distt. Una H.P Sub Head C./O 8 span 14.40mtr. each RCC Bridge, C.O Retaining wall and Metallin",21-Jun-2019,"INR 18,744,346",456.0,Bhupinder Singh,23-Jun-2019 09:18 AM,Awardletter-.PDF (1953.00 KB),Awardletter,Er. B.S. Dehal E.E.,Internal,"Er. Kuldeep Singh AE to EE Des Raj Katna AE Devinder Singh, Head Draughtsman , Jagpal Singh Supdt Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,30-Mar-2019 03:30 PM,finsummary_40001.pdf (672.60 KB),1.0,118001.0,SHAMBHU DUTT GOSWAMI,INR,"25,902,990",Finance,Proceedingregardingopeningoffinancialbids,Bhupinder Singh,30-Mar-2019 02:48 PM,finance_40001.pdf,BOQ Comparative Chart,1.0,117989.0,M/s Satish Kumar Sharma,11-Mar-2019 03:10 PM,Rejected-AOC,ok,23-Jun-2019 09:18 AM,Technical,TechnicalBidOpeningSummary,Bhupinder Singh,26-Mar-2019 06:34 PM,technical_40001.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,118001.0,SHAMBHU DUTT GOSWAMI,11-Mar-2019 03:30 PM,Accepted-AOC,ok,23-Jun-2019 09:18 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,117938.0,SUBHASH CHAND,11-Mar-2019 04:02 PM,Rejected-Technical,As per technical Evaluation Proceeding,26-Mar-2019 07:00 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report As Per General Rules 28.2a and 28.2b,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage or co,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Machinery Tool Plant and list of laboratory equipments as per bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Technical staff ( Key Personal ) Reference to Clause 6.21(a) Clause 36,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
