S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
1.0,59851.0,Vistaar Infratech India Private Limited,INR,"1,386,720","HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",2017_HPIPH_16087_1,IPH-DN-CB-TA-Tender/2016-17- 1309-59 dt 27-4-17,Consultancy Services for Providing Sewerage Scheme to Nahan Town in Tehsil Nahan Distt. Sirmour HP,Er Rajeev Kumar Executive Engineer,Internal,Supdt HDM DAo Tender Asstt.,Rajeev Kumar Mahajan,21-Aug-2017 11:03 AM,finsummary_21893.pdf (1804.85 KB),Er Rajeev Kumar Mahajan Executive Engineer,Internal,Supdt HDM DAO Dealing Hand,Rajeev Kumar Mahajan,02-Jun-2017 12:26 PM,02-Jun-2017 12:30 PM,techsummary_21893.pdf (58.60 KB),1.0,60200.0,DESIGN COLLABORATIVE CONSULTING,15-May-2017 04:24 PM,Rejected-Finance,Rejected,21-Aug-2017 11:03 AM,Finance,Finanacial Bid Opening Summary,Mohd. Arshad Rehman,02-Jun-2017 12:45 PM,finance_21893.pdf,BOQ Comparative Chart,Technical,Techincal Bid Opening Summary,Mohd. Arshad Rehman,02-Jun-2017 12:20 PM,technical_21893.pdf,14-Jun-2019,"INR 1,552,838",180.0,Mandeep Gupta,14-Jun-2019 01:24 PM,AwardSOQ.pdf (1805.00 KB),Award,AOC,400.0,Executive Engineer IPH Division Nahan,Nahan,No,02-May-2017 01:00 PM,19-May-2017 11:30 AM,02-May-2017 01:00 PM,19-May-2017 11:00 AM,NA ,NA ,02-May-2017 01:00 PM,19-May-2017 11:00 AM,02-Jun-2017 12:30 PM,1.0,DD - Demand Draft,Executive Engineer IPH Division Nahan,Executive Engineer IPH Division Nahan,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",IPH-DN-CB-TA-Tender/2016-17- 1309-59 dt 27-4-17,2017_HPIPH_16087_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Offline,No,No,No,"31,060",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,Consultancy Services for Providing Sewerage Scheme to Nahan Town in Tehsil Nahan Distt. Sirmour HP,"Preparation of Detail Project report including field survey, related studies, estimation detailed structural design including detailed drawing of all civil structures and hydraulic design of all components and getting the same approval from competent",Please refer Tender documents. ,NA ,"15,52,838",Consultancy,DPR ,Tender,120.0,180.0,Nahan,173001.0,NA ,NA ,NA ,Executive Engineer IPH Division Nahan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,60327.0,Ravinder Singh Minhas,17-May-2017 12:26 PM,Rejected-Finance,Rejected,21-Aug-2017 11:03 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,60492.0,sadeep kumar,18-May-2017 10:35 PM,Rejected-Finance,Rejected,21-Aug-2017 11:03 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Regsitration in HPIPH Deptt valid class,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,59851.0,Vistaar Infratech India Private Limited,13-May-2017 10:22 AM,Accepted-AOC,AOC,14-Jun-2019 01:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tex/Tin No.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and Conditions,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of same kind of work,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour etc.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
