Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Stage
Technical,Technical Summary,Ramesh Singh,23-Mar-2019 10:29 AM,technical_40023.pdf,1.0,118472.0,Rajesh Thakur,14-Mar-2019 11:43 AM,Accepted-AOC,Lowest,15-Jun-2019 10:33 AM,Finance,Financial Summary,Ramesh Singh,12-Apr-2019 01:24 PM,finance_40023.pdf,BOQ Comparative Chart,1.0,118472.0,Rajesh Thakur,INR,"1,647,034",15-Jun-2019,"INR 1,354,005",80.0,Ramesh Singh,15-Jun-2019 10:33 AM,21.pdf (392.00 KB),AOC,EE Ramesh Singh,Internal,Kehar Singh Supdt. Bhagat Ram HDM,Ramesh Singh,12-Apr-2019 01:26 PM,finsummary_40023.pdf (272.31 KB),EE Ramesh Singh,Internal,"Chaman Lal A.E., Kehar Singh, Supdt., Bhagat Ram HDM.",Ramesh Singh,23-Mar-2019 10:35 AM,23-Mar-2019 01:00 PM,techsummary_40023.pdf (360.32 KB),PWD,2019_PWD_27983_1,21710-40 dt. 27/02/2019,Periodical maintenance on Chail Gohar Pandoh road km.0/0 to 24/0 SH Providing and laying 30 mm thick bituminous concrete single layer V shape drain in km.20/0 to 21/400,AOC,Periodical maintenance on Chail Gohar Pandoh road km.0/0 to 24/0 SH Providing and laying 30 mm thick bituminous concrete single layer V shape drain in km.20/0 to 21/400,Periodical maintenance on Chail Gohar Pandoh road km.0/0 to 24/0 SH Providing and laying 30 mm thick bituminous concrete single layer V shape drain in km.20/0 to 21/400,Please refer Tender documents. ,NA ,"13,54,005",Civil Works,NA ,Rate Contract,90.0,60.0,Gohar,175029.0,NA ,NA ,NA ,Gohar,No ,No,PWD,21710-40 dt. 27/02/2019,2019_PWD_27983_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE Gohar Division HPPWD Gohar,"Executive Engineer, Gohar Division, HP.PWD.Gohar","27,100",Yes,fixed,,EE Gohar,Gohar,01-Mar-2019 05:00 PM,16-Mar-2019 11:30 AM,01-Mar-2019 05:00 PM,15-Mar-2019 03:00 PM,NA ,NA ,01-Mar-2019 05:30 PM,15-Mar-2019 03:00 PM,23-Mar-2019 01:00 PM,500.0,EE Gohar,Gohar,Yes,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The earnest money indicated in schedule F,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Work done condition Minimum one similar work done of amount not less than 40pracent Rule,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical Manpower,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in Department,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two work in hand.,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Document,,,,,,AOC
