EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"46,983",No,fixed,,EE KARSOG,KARSOG,Construction of additional Accommodation for Govt. High . School Building at Shandhal In Tehsil Karsog Distt Mandi Hp. Under RMSA(SHC/o Laboratory Three class room One store including stair case).,Construction of additional Accommodation for Govt. High . School Building at Shandhal In Tehsil Karsog Distt Mandi Hp. Under RMSA(SHC/o Laboratory Three class room One store including stair case).,Please refer Tender documents. ,NA ,"26,32,195",Civil Works,NA ,Tender,90.0,365.0,KARSOG,175011.0,NA ,NA ,NA ,EE KARSOG,No ,No,12-Oct-2018 05:00 PM,22-Oct-2018 12:00 PM,12-Oct-2018 05:00 PM,17-Oct-2018 06:00 PM,NA ,NA ,12-Oct-2018 05:00 PM,17-Oct-2018 06:00 PM,02-Nov-2018 03:30 PM,"1,500",EE KARSOG,KARSOG,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,PWD,PW-KSG-E-TENDER/18-19 7078-84,2018_PWD_24095_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,EE KARSOG,EE KARSOG,AOC,1.0,97976.0,KANWAR LAL GUPTA,INR,"3,332,730",Finance,ATAT,Chaman Singh,02-Nov-2018 06:02 PM,finance_33672.pdf,BOQ Comparative Chart,1.0,97976.0,KANWAR LAL GUPTA,17-Oct-2018 04:51 PM,Accepted-AOC,OK,14-Jun-2019 05:45 PM,Technical,ATTACHED,Chaman Singh,02-Nov-2018 03:24 PM,technical_33672.pdf,PWD,2018_PWD_24095_1,PW-KSG-E-TENDER/18-19 7078-84,Construction of additional Accommodation for Govt. High . School Building at Shandhal In Tehsil Karsog Distt Mandi Hp. Under RMSA(SHC/o Laboratory Three class room One store including stair case).,MANN SINGH,Internal,,Chaman Singh,02-Nov-2018 03:26 PM,02-Nov-2018 03:30 PM,techsummary_33672.pdf (330.57 KB),MAAN SINGH,Internal,ALL,Maan Singh,23-Apr-2019 07:06 PM,finsummary_33672.pdf (344.01 KB),01-Jun-2019,"INR 3,332,730",365.0,Maan Singh,14-Jun-2019 05:45 PM,24095.PDF (271.00 KB),Construction of additional Accommodation for Govt. High . School Building at Shandhal In Tehsil Karsog Distt Mandi Hp. Under RMSA(SHC/o Laboratory Three class room One store including stair case).,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,.pdf,EMD Indicated In Schedule F.,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,98038.0,MANOJ KUMAR,17-Oct-2018 02:33 PM,Rejected-Technical,NOT ELEGIBLE AT ENLESTMENT RULE 2015,02-Nov-2018 03:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,98032.0,NITIN BHARDWAJ GOVT CONT,17-Oct-2018 01:59 PM,Rejected-Finance,OK,23-Apr-2019 07:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,.pdf,Affidavit Regarding No Relative Working in PWD Department.,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,.pdf,Affidavit Detail Litigation Cases.,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate.,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Copy.,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
