Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
EE HPPWD Kasauli,EE HPPWD Kasauli,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),Repair and Maintenance of SAKB road in km 32/300 to 70/00,Repair and Maintenance of SAKB road in km 32/300 to 70/0(MDR-075) SH P/L renewal cot by Providing Bituminous concrete in km 46/0 to 47/0)Deposit work,Please refer Tender documents. ,NA ,"9,98,578",Civil Works,NA ,Tender,90.0,60.0,Kasauli,173204.0,NA ,NA ,NA ,EE HPPWD Kasauli,No ,No,1.0,DD - Demand Draft,350.0,EE Kasauli,Kasauli,Yes,PWD,no/PW/Ksli/CB/18-19-15036-45 dt 18/2/19,2019_PWD_27755_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"20,000",No,fixed,,EE Kasauli,Kasauli,22-Feb-2019 06:25 PM,22-Mar-2019 11:00 AM,22-Feb-2019 06:30 PM,07-Mar-2019 10:30 AM,NA ,NA ,22-Feb-2019 06:30 PM,07-Mar-2019 10:30 AM,23-Mar-2019 11:30 AM,AOC,1.0,117339.0,Asphalt Carpet Construction Company,06-Mar-2019 12:51 PM,Accepted-AOC,Lowest tender,28-Jun-2019 05:41 PM,Technical,Bid Opening Summary,Ravi Bhatti,23-Mar-2019 11:25 AM,technical_39627.pdf,Finance,Bid opening Summary,Ravi Bhatti,23-Mar-2019 02:10 PM,finance_39627.pdf,BOQ Comparative Chart,1.0,117339.0,Asphalt Carpet Construction Company,INR,"1,208,880",PWD,2019_PWD_27755_1,no/PW/Ksli/CB/18-19-15036-45 dt 18/2/19,Repair and Maintenance of SAKB road in km 32/300 to 70/00,Er Rajesh kumar,Internal,sh Paramjit Singh Grover DAO Sh Hemender Sharma HDM Sh Ved Prakash Sharma Supdt Gr-II,Ravi Bhatti,23-Mar-2019 11:27 AM,23-Mar-2019 11:30 AM,techsummary_39627.pdf (60.98 KB),Er Rajesh Kumar,Internal,Sh Paramjit Singh Grover DAO Sh Hemender Sharma HDM Sh Ved Prakash Sharma Supdt Gr-II,Ravi Bhatti,23-Mar-2019 02:13 PM,finsummary_39627.pdf (56.12 KB),28-Jun-2019,"INR 998,578",60.0,Satish Kumar,28-Jun-2019 05:41 PM,19.pdf (236.00 KB),Award Letter,AOC
,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,117359.0,Ravinder Kumar Gupta,06-Mar-2019 01:57 PM,Rejected-AOC,not lowest,28-Jun-2019 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Sales tax registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
