Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Tender Stage
Periodical renewal coat 25mm thick semi dense bituminous concrete with paver on Repoh Missran to Paloh road km 3000 to 5000 (VR0029) under PMGSY(Financial Incentive),Periodical renewal coat 25mm thick semi dense bituminous concrete with paver on Repoh Missran to Paloh road km 3000 to 5000 (VR0029) under PMGSY(Financial Incentive),Tender Documents  ,NA ,"13,67,868",Civil Works,Road ,Tender,120.0,30.0,Bharwain,177109.0,NA ,NA ,NA ,Bharwain,No ,No,PWD,PRC Repoh Missran to Paloh Under Bharwain Divn,2018_PWD_23067_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"27,400",No,fixed,,E E Bharwain,PNB at Amb,25-Aug-2018 09:00 AM,31-Aug-2018 11:30 AM,25-Aug-2018 09:00 AM,30-Aug-2018 06:00 PM,NA ,NA ,25-Aug-2018 09:00 AM,30-Aug-2018 06:00 PM,25-Sep-2018 10:30 AM,Executive Engineer,Executive Engineer Bharwain Division HPPWD Bharwain,1.0,DD - Demand Draft,500.0,EE Bharwain,PNB at Amb,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form as indicated in scheduled (F),AOC,Er.HL Sharma,Internal,Sh. Parkash Chand Supdt Gr-II Smt Pawana Kumari Supdt GR-II Sh Rajinder Kumar HDM Sh. Dinesh Kumar AE Er HL Sharma Chairmain cum EE,Baldev Singh,25-Sep-2018 10:25 AM,25-Sep-2018 10:30 AM,techsummary_32306.pdf (1116.02 KB),PWD,2018_PWD_23067_1,PRC Repoh Missran to Paloh Under Bharwain Divn,Periodical renewal coat 25mm thick semi dense bituminous concrete with paver on Repoh Missran to Paloh road km 3000 to 5000 (VR0029) under PMGSY(Financial Incentive),1.0,93191.0,ganesh,30-Aug-2018 01:43 PM,Rejected-AOC,ok,15-Jun-2019 03:27 PM,Technical,Sh. Parkash Chand Supdt Gr-II Smt Pawana Kumari Supdt GR-II Sh Rajinder Kumar HDM Sh. Dinesh Kumar AE Er HL Sharma Chairmain cum EE,Baldev Singh,24-Sep-2018 05:58 PM,technical_32306.pdf,Finance,Summary attached,Harbans Lal Sharma,29-Apr-2019 11:40 AM,finance_32306.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,.pdf,Earnest money as indicated in scheduled F),AOC,,,,,,,,,,,,2.0,93171.0,Shiv Kumar Govt Contractor,30-Aug-2018 12:41 PM,Accepted-AOC,ok,15-Jun-2019 03:27 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and Clearance certificate,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration (General Rule No. 23),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and Work in hand certificate General Rule No.19(Shown in scheduled F),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A certificate regarding not more than two works in hand under this division to be issued by the EE,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. authorization of upload and sign the tender documents formalities related to the work,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of equipments (Indicated in schedule-F),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machineries Tool plants Indicated in schedule-F),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. (i) information furnished is correct (ii) as per Bid capacity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
