S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,65626.0,Basti Ram,INR,"1,197,000","HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",2017_HPIPH_17435_2,IPH-DN-CB-TA-Tender/2017-18- 6069-6140 Dt 20/07/17,Annual Repair and maintenance of pumping machinery along-with allied accessories upto 5 mtrs from the outer wall of the scheme under IPH Sub Division Nahan Section Shambhuwala Tehsil Nahan Distt. Sirmour HP,Er.,Internal,AEN HDM TA EE,Mandeep Gupta,14-Jun-2019 03:55 PM,finsummary_23646.pdf (1138.50 KB),Er. Rajeev Kumar Executive Engineer,Internal,HDM Supdt DAO Tender Asstt.,Rajeev Kumar Mahajan,17-Aug-2017 11:44 AM,17-Aug-2017 11:50 AM,techsummary_23646.pdf (58.38 KB),1.0,65626.0,Basti Ram,11-Aug-2017 10:05 AM,Accepted-AOC,AOC,14-Jun-2019 03:59 PM,Finance,Financial Bid Opening Summary,Rajeev Kumar Mahajan,17-Aug-2017 12:04 PM,finance_23646.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Rajeev Kumar Mahajan,17-Aug-2017 11:32 AM,technical_23646.pdf,14-Jun-2019,"INR 1,081,500",1095.0,Mandeep Gupta,14-Jun-2019 03:59 PM,AOC.pdf (1138.00 KB),Award,AOC,26-Jul-2017 05:00 PM,11-Aug-2017 11:30 AM,26-Jul-2017 05:00 PM,11-Aug-2017 11:00 AM,NA ,NA ,26-Jul-2017 05:00 PM,11-Aug-2017 11:00 AM,17-Aug-2017 11:50 AM,1.0,Corrigendum,Date,,Annual Repair and maintenance of pumping machinery along-with allied accessories upto 5 mtrs from the outer wall of the scheme under IPH Sub Division Nahan Section Shambhuwala Tehsil Nahan Distt. Sirmour HP,AMC,Please refer Tender documents. ,NA ,"10,81,500",Repair and Maintenance Works,NA ,Tender,120.0,1095.0,Nahan,173001.0,NA ,NA ,NA ,Executive Engineer IPH Division Nahan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",IPH-DN-CB-TA-Tender/2017-18- 6069-6140 Dt 20/07/17,2017_HPIPH_17435_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"21,630",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,1.0,DD - Demand Draft,400.0,Executive Engineer IPH Division Nahan,Nahan,No,Executive Engineer IPH Division Nahan,Executive Engineer IPH Division Nahan,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,65572.0,Vijay Pal Singh,11-Aug-2017 10:50 AM,Rejected-Finance,Rejected,14-Jun-2019 03:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPIPH Deptt. in valid class,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax/TIN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Carefully study all terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of same kind of work and certificate of mechenical workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour HP Rule 1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
