Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
28-Nov-2015 05:00 PM,21-Dec-2015 11:30 AM,28-Nov-2015 05:00 PM,18-Dec-2015 05:00 PM,28-Nov-2015 05:00 PM ,11-Dec-2015 05:00 PM ,28-Nov-2015 05:00 PM,18-Dec-2015 05:00 PM,05-Feb-2016 11:30 AM,"2,500",Executive Engineer,IPH Division No II Una,No,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-II,Irrigation and Public Health,HP",IPH-CE(H/Z)-WS-WA2DNIT/2014-15-5707-08 dt 01-07-15,2015_HPIPH_9975_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Offline,No,No,No,Executive Engineer,IPH Division No II Una,"19,73,563",No,fixed,,Executive Engineer,IPH Division No II Una,Sewerage system to Mata Chintpurni Ji Town in Tehsil Amb District Una Himachal Pradesh,Construction of sewerage treatment plant JE cum complaint office store building Laboratory building and Chowkidar quarter Man hole chamber Flushing Tank Inspection Connection Chamber and P/L/J/Testing of DI Pipe etc,As per NIT ,NA ,"9,86,78,147",Civil Works,NA ,Tender,120.0,730.0,Chintpurni,177110.0,Hamirpur ,Chief Engineer (HZ) IPH Department Hamirpur ,14-Dec-2015 11:00 AM ,IPH Division No II Una,No ,No,1.0,Fee,.pdf,"Scanned copy of earnest money in the shape of NSC or fixed deposit, Demand Draft duly pledged",1.0,BC - Bankers Cheque,AOC,Finance,Downloaded Successfully,Karam Chand Rana,05-Feb-2016 12:09 PM,finance_12388.pdf,BOQ Comparative Chart,1.0,33096.0,JAI BHUSHAN MALIK,17-Dec-2015 08:40 PM,Accepted-AOC,L1,11-Jun-2019 02:37 PM,Technical,Downloaded Successfully,Karam Chand Rana,04-Feb-2016 03:48 PM,technical_12388.pdf,Karam Chand Rana,Internal,Surjit Singh HDM On leave Mohinder Pal Sr DAO Jaswant Singh Supdt Parveen Kaundal Tender Asstt,Karam Chand Rana,04-Feb-2016 03:52 PM,05-Feb-2016 11:30 AM,techsummary_12388.pdf (2777.54 KB),1.0,33096.0,JAI BHUSHAN MALIK,INR,"130,894,732",11-Jun-2019,"INR 130,894,732",730.0,Arvind Sood,11-Jun-2019 02:37 PM,Letter56.pdf (908.00 KB),-,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-II,Irrigation and Public Health,HP",2015_HPIPH_9975_1,IPH-CE(H/Z)-WS-WA2DNIT/2014-15-5707-08 dt 01-07-15,Sewerage system to Mata Chintpurni Ji Town in Tehsil Amb District Una Himachal Pradesh,Executive Engineer,Internal,Supdt HDM Sr DAO Executive Engineer,Arvind Sood,11-Jun-2019 02:30 PM,finsummary_12388.pdf (29.79 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of cost of tender form in the shape of demand draft,2.0,BG - Bank Guarantee,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with HPIPH Department Central State Govt Department or State Central Gov,3.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account No PAN No,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest Income Tax Return filed,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax Registration TIN Number,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of undertaking I have carefully studied all Term Conditions stipulated in PWD 6 and 8,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorization letter regarding digital signature certificate (DSC) of the person authorized,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Experience Certificate as per NIT Condition 24 (eligibility criteria),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Banker certificate as proof of availability of minimum fund of 30 percent of the estimated cost,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual turnover in last 3 years ending on 31.03.15 should be atleast 30 perof estimated cost,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Technical bid in accordance to chapter 1 of NIT i/c proposal for online monitoring system,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contour site plan duly marked of all units to be uploaded by tendered,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,Schedule of Bill of Quantity,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Curve Chart of Pumps and Motors duly indicating duty points and BHP,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proposal for CO STP 5.07mld a/w unit size calculations hydraulic design electric mechanical equipmen,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
