Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Technical,Bid Opening Summary,Pramod Upreti,27-Mar-2018 11:34 AM,technical_28019.pdf,1.0,79454.0,Nil,20-Mar-2018 03:19 PM,Rejected-Finance,L2,19-Jun-2019 02:03 PM,Finance,Bid opening Summary,Pramod Upreti,29-Mar-2018 12:20 PM,finance_28019.pdf,BOQ Comparative Chart,1.0,79444.0,S.S. Associates,INR,"2,515,704",Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Smt. Neelam Gupta Supdt. Gr.II , Sh. Saran Singh Sr. Asstt, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,19-Jun-2019 02:03 PM,finsummary_28019.pdf (287.77 KB),19-Jun-2019,"INR 1,904,815",90.0,Ajay Kumar Sharma,19-Jun-2019 02:05 PM,aoc.pdf (1267.00 KB),AOC,PWD,2018_PWD_19844_5,9360-9410 dt 22-2-2018,Periodical renewal on Paonta Puruwala road (SH Providing and laying 25 mm thick compacted bituminous concrete including repair of pot holes and profile correction in km 0/0 to 1/0 ) under AMP for the year 2018-19,Er. Ajay Kumar Sharma EE,Internal,Sh. Ram Gopal Gupta DHD Sh. Saran Singh Sr. Asstt. Smt. Neelam Gupta Supdt Gr. II Sh. Inder Singh Sr. Asstt.,Pramod Upreti,27-Mar-2018 11:35 AM,27-Mar-2018 03:00 PM,techsummary_28019.pdf (682.45 KB),AOC,500.0,EE PWD Paonta Sahib,Paonta Sahib,No,01-Mar-2018 04:30 PM,22-Mar-2018 11:30 AM,01-Mar-2018 05:00 PM,21-Mar-2018 05:00 PM,NA ,NA ,01-Mar-2018 05:00 PM,21-Mar-2018 05:00 PM,27-Mar-2018 03:00 PM,"38,100",No,fixed,,EE PWD Paonta Sahib,Paonta Sahib,Periodical renewal on Paonta Puruwala road (SH Providing and laying 25 mm thick compacted bituminous concrete including repair of pot holes and profile correction in km 0/0 to 1/0 ) under AMP for the year 2018-19,Periodical renewal on Paonta Puruwala road (SH Providing and laying 25 mm thick compacted bituminous concrete including repair of pot holes and profile correction in km 0/0 to 1/0 ) under AMP for the year 2018-19,Please refer tender documents  ,NA ,"19,04,815",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,EE PWD Paonta Sahib,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,1.0,DD - Demand Draft,1.0,Periodical renewal on Paonta Puruwala road (SH Providing and laying 25 mm thick compacted bituminous concrete including repair of pot holes and profile correction in km 0/0 to 1/0 ) under AMP for the year 2018-19,Other,,PWD,9360-9410 dt 22-2-2018,2018_PWD_19844_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE PWD Paonta Sahib,EE PWD Paonta Sahib,AOC
,,,,,2.0,79444.0,S.S. Associates,20-Mar-2018 12:24 PM,Accepted-AOC,L1,19-Jun-2019 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax Registration/GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of 40 present work done certificate for similar nature of work,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Listofmachinerytoolplant alongwithproofofowner ship i.e.R.C.andpurchasebills S.No 6.19Ref.clauseno18,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazatted and non gazatted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,,,,,,,,AOC
