Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
14-Jun-2019,"INR 1,596,244",90.0,Bhag Mal Thakur,15-Jun-2019 12:39 PM,AOC28186.pdf (434.00 KB),AOC,Er. B.M.Thakur,Internal,AE Lad Bharol Sr.DAO Supdt. HDM,Bhag Mal Thakur,11-Apr-2019 02:53 PM,finsummary_40286.pdf (344.22 KB),Er. B.M.Thakur,Internal,AE Lad Bharol Sr.DAO Supdt. HDM,Bhag Mal Thakur,26-Mar-2019 12:58 PM,27-Mar-2019 11:00 AM,techsummary_40286.pdf (308.11 KB),PWD,2019_PWD_28186_1,PW-JND-B and R-EA-I-NIT- 26487-26586 dt.20.02.2019,Periodical maintenance of Bhardoan Gangoti road (VR0098) (PMGSY road) under Annual Maintenance Plan 2019-20,Technical,summary,Bhag Mal Thakur,22-Mar-2019 12:18 PM,technical_40286.pdf,1.0,118852.0,ANURAG SHARMA,18-Mar-2019 01:55 PM,Rejected-Finance,L-3,11-Apr-2019 02:53 PM,1.0,118876.0,yudhbir infrastructure private limited,INR,"1,596,244",Finance,fbosummary,Bhag Mal Thakur,27-Mar-2019 03:37 PM,finance_40286.pdf,BOQ Comparative Chart,AOC,Periodical maintenance of Bhardoan Gangoti road (VR0098) (PMGSY road) under Annual Maintenance Plan 2019-20,"Providing and laying built-up spray grout, bituminous concrete in Km. 2/0 to 4/0",As per bid documents ,NA ,"12,74,164",Civil Works - Roads,NA ,Tender,120.0,90.0,Lad-Bharol,175032.0,NA ,NA ,NA ,Joginder Nagar,No ,No,1.0,DD - Demand Draft,PWD,PW-JND-B and R-EA-I-NIT- 26487-26586 dt.20.02.2019,2019_PWD_28186_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),500.0,"EE B and R Divn. HPPWD, Joginder Nagar",Joginder Nagar,No,Executive Engineer,"Executive Engineer, B and R Division, HPPWD, Joginder Nagar","25,500",No,fixed,,"EE B and R Divn. HPPWD, Joginder Nagar",Joginder Nagar,06-Mar-2019 10:00 AM,19-Mar-2019 11:30 AM,06-Mar-2019 10:00 AM,18-Mar-2019 05:00 PM,NA ,NA ,06-Mar-2019 10:00 AM,18-Mar-2019 05:00 PM,27-Mar-2019 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,118876.0,yudhbir infrastructure private limited,18-Mar-2019 02:08 PM,Accepted-AOC,AOC,15-Jun-2019 12:39 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,118884.0,YUDHVIR SINGH,18-Mar-2019 02:39 PM,Rejected-Finance,L-2,11-Apr-2019 02:53 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Workdone and workinhand detail/existing comm.(Gen.Rule No.19)Mini amount of work done as per Sch.F,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,AOC
