S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
1.0,118866.0,Basti Ram,INR,"491,732",Finance,Summary,Ajay Kumar Sharma,04-Jun-2019 12:16 PM,finance_40656.pdf,BOQ Comparative Chart,Technical,Summary,Ajay Kumar Sharma,26-Mar-2019 04:50 PM,technical_40656.pdf,1.0,118866.0,Basti Ram,18-Mar-2019 09:36 PM,Accepted-AOC,L1,04-Jun-2019 12:21 PM,04-Jun-2019,"INR 339,868",90.0,Ajay Kumar Sharma,04-Jun-2019 12:21 PM,aoc.pdf (756.00 KB),AOC,Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,04-Jun-2019 12:19 PM,finsummary_40656.pdf (292.21 KB),Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,26-Mar-2019 04:56 PM,27-Mar-2019 10:20 AM,techsummary_40656.pdf (863.94 KB),PWD,2019_PWD_28217_4,CB/Tender2018-19 13847-13896 dt 26.02.2019,Restoration of rain damages to link road Badripur Kishanpura Bhatanwali road km 0/0 to 3/0. (SH Providing and laying 750 mm dia R.C.C. pipe NP2 in 150 mtr length and restoration of damaged road),AOC,"6,800",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,Executive Engineer PWD Paonta Sahib,Executive Engineer PWD Paonta Sahib,1.0,DD - Demand Draft,PWD,CB/Tender2018-19 13847-13896 dt 26.02.2019,2019_PWD_28217_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Restoration of rain damages to link road Badripur Kishanpura Bhatanwali road km 0/0 to 3/0. (SH Providing and laying 750 mm dia R.C.C. pipe NP2 in 150 mtr length and restoration of damaged road),Restoration of rain damages to link road Badripur Kishanpura Bhatanwali road km 0/0 to 3/0. (SH Providing and laying 750 mm dia R.C.C. pipe NP2 in 150 mtr length and restoration of damaged road),As per tender document ,NA ,"3,39,868",Civil Works - Roads,NA ,Tender,90.0,90.0,PWD Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,350.0,EE Paonta Sahib,Paonta Sahib,Yes,09-Mar-2019 11:30 AM,20-Mar-2019 11:30 AM,09-Mar-2019 11:30 AM,19-Mar-2019 05:00 PM,NA ,NA ,09-Mar-2019 11:30 AM,19-Mar-2019 05:00 PM,27-Mar-2019 10:20 AM,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,AOC
,,,,,,,,,,,,,,,,2.0,118992.0,DINESH KUMAR GUPTA,18-Mar-2019 10:36 PM,Rejected-Finance,L2,04-Jun-2019 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,AOC
,,,,,,,,,,,,,,,,3.0,119003.0,FAREED HASHMI,19-Mar-2019 08:50 AM,Rejected-Finance,L4,04-Jun-2019 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,AOC
,,,,,,,,,,,,,,,,4.0,118999.0,Nazar Ali,19-Mar-2019 07:57 AM,Rejected-Finance,L3,04-Jun-2019 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy List of machinery tools and plants as per schedule-F Sr. No.6.19 Refer clause No 18 alo,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
