Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Slope Stabilization and protection of hill slope damaged during Rain at Kotrupi on Pathankot Chakki Mandi NH 154 Km. 11/200 to 208/0,C/O Wire crate Km. 172/510 to 172/765,As per Bid Documents ,NA ,"1,10,09,129",Civil Works - Roads,NA ,Tender,120.0,180.0,EE NH Division Joginder Nagar,175015.0,NA ,NA ,NA ,EE NH Division Joginder Nagar,No ,No,29-Apr-2019 04:00 PM,14-May-2019 11:30 AM,29-Apr-2019 04:00 PM,13-May-2019 05:30 PM,NA ,NA ,29-Apr-2019 04:00 PM,13-May-2019 05:30 PM,28-May-2019 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),"1,42,600",No,fixed,,EE NH Joginder Nagar,Joginder Nagar,1.0,DD - Demand Draft,Executive Engineer,Executive Engineer NH Division Joginder Nagar,"5,000",EE NH Joginder Nagar,Joginder Nagar,Yes,PWD,PW.NHJ.EA-/NIT/2019-198-246 dt11-04-2019,2019_PWD_28746_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,121008.0,BALAK RAM,13-May-2019 04:36 PM,Rejected-Finance,L-2,01-Jun-2019 12:33 PM,Technical,summary,Bhag Mal Thakur,16-May-2019 03:17 PM,technical_41566.pdf,Finance,fbosummary,Bhag Mal Thakur,01-Jun-2019 12:30 PM,finance_41566.pdf,BOQ Comparative Chart,1.0,121009.0,Vishwas Rathore,INR,"7,500,955",Er. Vijay Chaudhary,Internal,HDM Supdt. Sr.DAO,Bhag Mal Thakur,27-May-2019 03:22 PM,28-May-2019 11:00 AM,techsummary_41566.pdf (251.79 KB),PWD,2019_PWD_28746_1,PW.NHJ.EA-/NIT/2019-198-246 dt11-04-2019,Slope Stabilization and protection of hill slope damaged during Rain at Kotrupi on Pathankot Chakki Mandi NH 154 Km. 11/200 to 208/0,04-Jun-2019,"INR 7,500,955",180.0,Bhag Mal Thakur,13-Jun-2019 03:01 PM,AOC.pdf (275.00 KB),AOC,Er. Vijay Chaudhary,Internal,AE NH Gumma Supdt. HDM Dealing Asstt.,Bhag Mal Thakur,01-Jun-2019 12:33 PM,finsummary_41566.pdf (344.76 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC,2.0,120989.0,P. L. SHARMA,13-May-2019 12:56 PM,Rejected-Finance,L-3,01-Jun-2019 12:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,121009.0,Vishwas Rathore,13-May-2019 03:16 PM,Accepted-AOC,AOC,13-Jun-2019 03:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
