S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,120716.0,C AND E CONSULTANCY,INR,"448,340","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2019_HPIPH_28641_1,IPH-DN-CB-TA-Tender/2019-20- 6-86 Dt 2-4-19,Consultancy Services for Providing Sewerage System with primary treatment in KalaAmb Moginand area and Sewerage system with treatment plant for SADA area Tirlokpur Kheri Johrdon in Tehsil Nahan Distt Sirmour,Er. Mandeep Gupta EE,Internal,DHD TA AE N EE,Mandeep Gupta,13-Jun-2019 11:42 AM,finsummary_41263.pdf (680.48 KB),Er.Mandeep Gupta,Internal,Supdt HDM DAO TA,Mandeep Gupta,27-Apr-2019 03:29 PM,27-Apr-2019 03:30 PM,techsummary_41263.pdf (102.56 KB),1.0,120708.0,ashirwad construction consultancy,21-Apr-2019 10:40 PM,Rejected-Finance,Rejected,13-Jun-2019 11:42 AM,13-Jun-2019,"INR 463,500",45.0,Mandeep Gupta,13-Jun-2019 11:49 AM,AOC.pdf (680.00 KB),Award,Finance,Finanacial Bid OPening Summary,Mandeep Gupta,27-Apr-2019 04:18 PM,finance_41263.pdf,BOQ Comparative Chart,Technical,Technical Bid OPening Summary,Mandeep Gupta,27-Apr-2019 03:25 PM,technical_41263.pdf,AOC,02-Apr-2019 04:00 PM,22-Apr-2019 11:30 AM,02-Apr-2019 04:00 PM,22-Apr-2019 11:00 AM,NA ,NA ,02-Apr-2019 04:00 PM,22-Apr-2019 11:00 AM,27-Apr-2019 03:30 PM,"9,300",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,Executive Engineer,Executive Engineer IPH Division Nahan,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",IPH-DN-CB-TA-Tender/2019-20- 6-86 Dt 2-4-19,2019_HPIPH_28641_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Office Order,Other,,Consultancy Services for Providing Sewerage System with primary treatment in KalaAmb Moginand area and Sewerage system with treatment plant for SADA area Tirlokpur Kheri Johrdon in Tehsil Nahan Distt Sirmour,As Above,Please refer Tender documents. ,NA ,"4,63,500",Survey and Investigation Services,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,ICICI BANK,250.0,Executive Engineer IPH Division Nahan,Nahan,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,120716.0,C AND E CONSULTANCY,21-Apr-2019 09:01 PM,Accepted-AOC,AOC,13-Jun-2019 11:49 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Cost of TEnder Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,120659.0,Civilmantra Infracon Pvt Ltd,22-Apr-2019 10:34 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Apr-2019 03:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Regaistration with HPIPH Deptt in valid class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,PAN GST EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,The firms/contractors have to submit the affidavit as mentioned in NIT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Experience of same kind of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
