Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Financial Summary,Vijay Kumar Aggarwal,29-Jun-2019 03:32 PM,finance_42231.pdf,BOQ Comparative Chart,1.0,121475.0,Yesh Pal Singh,INR,"107,250",Technical,Opening Summary,Vijay Kumar Aggarwal,29-Jun-2019 11:34 AM,technical_42231.pdf,1.0,123072.0,Anil Sharma,26-Jun-2019 08:27 PM,Rejected-Technical,Non Responsive,29-Jun-2019 11:52 AM,29-Jun-2019,"INR 107,250",90.0,Vijay Kumar Aggarwal,29-Jun-2019 04:51 PM,80to100.pdf (671.00 KB),award,Er VK Aggarwal,Internal,TA Supttd DHD DAO AE Dhaulakuan,Vijay Kumar Aggarwal,29-Jun-2019 03:39 PM,finsummary_42231.pdf (101.33 KB),Er VK Aggarwal,Internal,TA Supttd DHD DAO AE Dhaulakuan,Vijay Kumar Aggarwal,29-Jun-2019 11:52 AM,29-Jun-2019 12:30 PM,techsummary_42231.pdf (1294.06 KB),PWD,2019_PWD_29155_3,NH Nahan Tender NIT No. 940-60 dated 28.05.2019,Ordinary repair to Paonta Rajban Sataun Shillai Hatkoti road on NH 72 B (New No 707) Km 0/0 to 106/120 (SH Hiring of Excavator cum loader and Tractor with Hydraulic system Trolly for Removal of slips in Km 80/0 to 100/0 for ensuing monsoon season in,AOC,1.0,All tenders due for bid submission closing on 26-June-2018 Between 09.00 Hrs and 18.55 Hrs IST are extended by 24 hours.,Admin Corrigendum Date Extend,,Ordinary repair to Paonta Rajban Sataun Shillai Hatkoti road on NH 72 B (New No 707) Km 0/0 to 106/120 (SH Hiring of Excavator cum loader and Tractor with Hydraulic system Trolly for Removal of slips in Km 80/0 to 100/0 for ensuing monsoon season in,Ordinary repair to Paonta Rajban Sataun Shillai Hatkoti road on NH 72 B (New No 707) Km 0/0 to 106/120 (SH Hiring of Excavator cum loader and Tractor with Hydraulic system Trolly for Removal of slips in Km 80/0 to 100/0 for ensuing monsoon season in,Refer tender document ,NA ,"1,40,130",Civil Works - Roads,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,07-Jun-2019 04:00 PM,28-Jun-2019 11:00 AM,07-Jun-2019 04:30 PM,27-Jun-2019 11:30 AM,NA ,NA ,07-Jun-2019 04:30 PM,27-Jun-2019 11:30 AM,29-Jun-2019 12:30 PM,Executive Engineer,Executive Engineer NH Division HPPWD Nahan,PWD,NH Nahan Tender NIT No. 940-60 dated 28.05.2019,2019_PWD_29155_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in schedule F),350.0,EE NH Division Nahan,Nahan,No,1.0,DD - Demand Draft,"3,000",No,fixed,,EE NH Division Nahan,Nahan,AOC
,,,,,,,,,,,,,,,,2.0,122632.0,M/s GUMAN SINGH,23-Jun-2019 07:00 PM,Rejected-AOC,2nd lowest,29-Jun-2019 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money(Indicate in Schedule F),,,,,2.0,BG - Bank Guarantee,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,121475.0,Yesh Pal Singh,25-Jun-2019 04:52 PM,Accepted-AOC,1st lowest,29-Jun-2019 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration(Refer General Rule NO.23),,,,,3.0,FDR - Fixed Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule ),,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In hand certificate(General Rule No,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools, Plant(Refer Schedule F",,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.8(Refer General Rule,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand(Refer General Rule,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour license and EPF allotment numbers,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,AOC
