Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,15829-36 dated 28.01.2019,2019_PWD_27241_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,13-Feb-2019 01:30 PM,28-Feb-2019 11:00 AM,13-Feb-2019 01:30 PM,28-Feb-2019 10:30 AM,NA ,NA ,13-Feb-2019 01:30 PM,28-Feb-2019 10:30 AM,07-Mar-2019 11:00 AM,"5,000",EE B and R Division HPPWD Solan,EE Solan,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F,EE B and R Solan,EE B and R Division HPPWD Solan,Metalling and Tarring on Jatoli Gadog road Via Koti Km0/0 to 5/590 SH C/o retaining structure P/L Granular Sub Base course Base course Grade II and Grade III C/o V shape drain and essential PCC parapets,Metalling and Tarring on Jatoli Gadog road Via Koti Km0/0 to 5/590 SH C/o retaining structure P/L Granular Sub Base course Base course Grade II and Grade III C/o V shape drain and essential PCC parapets,Please refer Tender documents. ,NA ,"1,03,47,725",Civil Works,NA ,Tender,90.0,540.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,"1,36,000",No,fixed,,EE B and R Division HPPWD Solan,EE Solan,AOC,1.0,115925.0,Vinay Thakur,INR,"12,886,880.14",Finance,Financial bid opening summary,Arvind Kumar,07-Mar-2019 11:58 AM,finance_38786.pdf,BOQ Comparative Chart,1.0,116310.0,Deepak Sharma,27-Feb-2019 07:34 PM,Rejected-AOC,Ok,19-Jun-2019 12:26 PM,Technical,Technical bid opening summary,Arvind Kumar,01-Mar-2019 05:34 PM,technical_38786.pdf,Er Arvind Sharma EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Naresh Kumar HDM and Smt Rekha Kashyap Supdt GradeII PMGSY,Arvind Kumar,07-Mar-2019 10:55 AM,07-Mar-2019 11:00 AM,techsummary_38786.pdf (186.48 KB),PWD,2019_PWD_27241_1,15829-36 dated 28.01.2019,Metalling and Tarring on Jatoli Gadog road Via Koti Km0/0 to 5/590 SH C/o retaining structure P/L Granular Sub Base course Base course Grade II and Grade III C/o V shape drain and essential PCC parapets,19-Jun-2019,"INR 12,886,883",540.0,Arvind Kumar,19-Jun-2019 12:26 PM,Award.pdf (354.00 KB),Award of Contract,Er Arvind Kumar EE B and R Solan Shri,Internal,Shri Deepak Anand Senior DAO Solan Shri Naresh Kumar HDM and Smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,19-Jun-2019 12:22 PM,finsummary_38786.pdf (34.21 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Contractors registraiton reffer general rules No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,115160.0,Jarnail Singh Pannu,25-Feb-2019 01:45 PM,Rejected-AOC,Ok,19-Jun-2019 12:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registraton refer general rules no 21,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,115690.0,m/s sharma construction,27-Feb-2019 04:22 PM,Rejected-AOC,Ok,19-Jun-2019 12:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 19 schedule F Note wor,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,116336.0,Rajesh Sahni,27-Feb-2019 08:21 PM,Rejected-AOC,Ok,19-Jun-2019 12:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with refeerence to clause 18 Affidavit",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,115925.0,Vinay Thakur,28-Feb-2019 07:35 AM,Accepted-AOC,Ok,19-Jun-2019 12:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affdavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8refer in SBD Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 25 A,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual financial Turn over last five Years certified by the CA referto clause28.2.a,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
