Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Baddi Barotiwala Nalagarh Development Authority||Director Industries to the Govt. of H.P.Shimla,2019_BBNDA_28175_1,BBNDA-06(PROEJCT)NIT/-5477-87 DATED 02.03.2019,Channelization of Nalla with top slab in Kashmirpur Gujran Harijan Basti.(H.P.),1.0,118501.0,AMANDEEP KALIA GOVT. CONTRACTOR,INR,"620,880",Addl. CEO,Internal,EE,Bishan Dass,01-Jun-2019 12:23 PM,finsummary_40273.pdf (189.64 KB),01-Jun-2019,"INR 685,541",90.0,Bishan Dass,01-Jun-2019 12:56 PM,Amardeep.pdf (397.00 KB),AOC,Technical,Technical Summary,pardeep kumar,26-Mar-2019 04:16 PM,technical_40273.pdf,Finance,Financial Summary,Bishan Dass,01-Jun-2019 12:16 PM,finance_40273.pdf,BOQ Comparative Chart,1,118825,Ajay Kumar,20-Mar-2019 10:53 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Mar-2019 04:16 PM,Addl. CEO,Internal,EE,Bishan Dass,26-Mar-2019 04:21 PM,26-Mar-2019 04:25 PM,techsummary_40273.pdf (287.97 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,NIT,06-Mar-2019 06:00 PM,23-Mar-2019 02:30 PM,06-Mar-2019 06:00 PM,20-Mar-2019 05:00 PM,06-Mar-2019 06:00 PM ,20-Mar-2019 04:00 PM ,06-Mar-2019 06:00 PM,20-Mar-2019 05:00 PM,26-Mar-2019 04:25 PM,1.0,FDR - Fixed Deposit,EE BBNDA BADDI,BBNDA BADDI,Channelization of Nalla with top slab in Kashmirpur Gujran Harijan Basti.(H.P.),Channelization of Nalla with top slab in Kashmirpur Gujran Harijan Basti.(H.P.),Please refer Tender documents. ,NA ,"6,85,541",Civil Works - Others,cHANELLISATION OF nALLA ,Tender,90.0,90.0,NALAGARH,174101.0,NA ,NA ,NA ,BBNDA BADDI,No ,No,350.0,EE BBNDA BADDI,BBNDA BADDI,No,Baddi Barotiwala Nalagarh Development Authority||Director Industries to the Govt. of H.P.Shimla,BBNDA-06(PROEJCT)NIT/-5477-87 DATED 02.03.2019,2019_BBNDA_28175_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"13,750",No,fixed,,EE BBNDA BADDI,BBNDA BADDI,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,118501,AMANDEEP KALIA GOVT. CONTRACTOR,20-Mar-2019 04:38 PM,Accepted-AOC,Accept,01-Jun-2019 12:56 PM,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,119277,DARA SINGH CONTARCTOR,20-Mar-2019 02:28 PM,Rejected-Finance,Reject,01-Jun-2019 12:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,118910,DILWAR GOVT CONTRACTOR,18-Mar-2019 12:05 PM,Rejected-Finance,Reject,01-Jun-2019 12:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,119068,JASWINDER KUMAR,19-Mar-2019 03:25 PM,Rejected-Finance,Reject,01-Jun-2019 12:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,119216,mangla constructions,20-Mar-2019 11:21 AM,Rejected-Finance,Reject,01-Jun-2019 12:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,119250,RAMA THAKUR,20-Mar-2019 01:57 PM,Rejected-AOC,Reject,01-Jun-2019 12:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,119211,Ravinder Kumar,20-Mar-2019 10:37 AM,Rejected-Finance,Reject,01-Jun-2019 12:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,119206,shubham govt.contractor,20-Mar-2019 10:32 AM,Rejected-AOC,Reject,01-Jun-2019 12:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,119286,SIMRAT CONSTRUCTION,20-Mar-2019 02:58 PM,Rejected-Finance,Reject,01-Jun-2019 12:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
