Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",2017_HPIPH_17434_1,IPH-DN-CB-TA-Tender/17-18- 6069-6140 Dt 20/07/17,Providing LWSS to village Pajerli Madesh and adjoining habitations GP Wasni in Tehsil Pachhad Distt Sirmour HP,1.0,65449.0,shiv iron general engineers,INR,"10,240,284",ER,Internal,HDM AEN TA EE,Mandeep Gupta,14-Jun-2019 03:41 PM,finsummary_23641.pdf (4277.89 KB),Finance,Financial Bid Opening Summary,Rajeev Kumar Mahajan,17-Aug-2017 04:10 PM,finance_23641.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Rajeev Kumar Mahajan,17-Aug-2017 12:12 PM,technical_23641.pdf,14-Jun-2019,"INR 1,190,250",180.0,Mandeep Gupta,14-Jun-2019 03:49 PM,AOC.pdf (4278.00 KB),Award,Er. Rajeev Kumar Executive Engineer,Internal,Supdt HDm DAO Tender Asstt,Rajeev Kumar Mahajan,17-Aug-2017 12:20 PM,17-Aug-2017 12:25 PM,techsummary_23641.pdf (59.00 KB),1.0,65620.0,HYDRAULIC ENGINEERING COMPANY,10-Aug-2017 07:43 PM,Rejected-Finance,Rejected,14-Jun-2019 03:41 PM,AOC,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",IPH-DN-CB-TA-Tender/17-18- 6069-6140 Dt 20/07/17,2017_HPIPH_17434_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,1.0,Corrigendum,Date,,800.0,Executive Engineer IPH Division Nahan,Nahan,No,1.0,DD - Demand Draft,Providing LWSS to village Pajerli Madesh and adjoining habitations GP Wasni in Tehsil Pachhad Distt Sirmour HP,"Providing, Laying, Jointing and testing of MSERW/GMS pipes of various dia for rising main for booster stage, 1st stage, 2nd stage and 3rd stage, Providing and Supplying of centrifugal pumping machinery for Booster stage, 1st stage, 2nd stage and 3rd",Please refer Tender documents. ,NA ,"50,38,042",Pipe Laying Works,With PM ,Tender,120.0,180.0,Nahan,173001.0,NA ,NA ,NA ,Executive Engineer IPH Division Nahan,No ,No,26-Jul-2017 05:00 PM,11-Aug-2017 11:30 AM,26-Jul-2017 05:00 PM,11-Aug-2017 11:00 AM,NA ,NA ,26-Jul-2017 05:00 PM,11-Aug-2017 11:00 AM,17-Aug-2017 12:25 PM,"86,500",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,Executive Engineer IPH Division Nahan,Executive Engineer IPH Division Nahan,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,65104.0,RAM KISHAN CHANDEL,08-Aug-2017 06:17 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,17-Aug-2017 12:12 PM,AOC,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,65476.0,Sai Aqua Machines and Builders,11-Aug-2017 10:08 AM,Rejected-Finance,Rehjected,14-Jun-2019 03:41 PM,AOC,,,,,,,,,,,,,,,,,.pdf,Registration in HPIPH Deptt. ion valid class,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,64545.0,SANJEEV THAKUR,10-Aug-2017 06:06 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,17-Aug-2017 12:12 PM,AOC,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,65449.0,shiv iron general engineers,10-Aug-2017 08:05 PM,Accepted-AOC,AOC,14-Jun-2019 03:49 PM,AOC,,,,,,,,,,,,,,,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,65621.0,Surjeet Singh Thakur,11-Aug-2017 10:58 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,17-Aug-2017 12:12 PM,AOC,,,,,,,,,,,,,,,,,.pdf,Sale Tax/TIN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,65641.0,The Nandini Enterprises and Sons,11-Aug-2017 09:32 AM,Rejected-Finance,Rejected,14-Jun-2019 03:41 PM,AOC,,,,,,,,,,,,,,,,,.pdf,UNdertaking carefuly study all terms and Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Dealership and subdealership of Pumping machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Undertaking of the curve charts along with selection of pumps and motors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Undertaking that the he will comply with the provision of contract Labour HP rule 1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
