Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
18-May-2016 09:00 AM,26-May-2016 11:30 AM,18-May-2016 09:00 AM,26-May-2016 11:00 AM,NA ,NA ,18-May-2016 09:00 AM,26-May-2016 11:00 AM,26-May-2016 02:20 PM,PWD,PW-NLD-EA-I-Tender/16-1053-61 Dt. 28.05.16,2016_PWD_11895_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,AS PER AGREEMENT,Executive Engneer,HPPWD Division Nalagarh,1.0,DD - Demand Draft,"96,500",Yes,fixed,,Executive Engneer HPPWD Division Nalagarh,Executive Engneer HPPWD Division Nalagarh,1,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,Construction of 114.00 mtr span suspension Bridge over Chikni Khad from Dhar Kotla to Tallan at Keori G.P Keori Tehsil Nalagarh Distt Solan ( H.P ),Construction of 114.00 mtr span suspension Bridge over Chikni Khad from Dhar Kotla to Tallan at Keori G.P Keori Tehsil Nalagarh Distt Solan HP.,Please refer Tender documents. ,NA ,"63,67,258",Civil Works,NA ,Tender,270.0,270.0,Nalagarh,174101.0,NA ,NA ,NA ,Executive Engneer HPPWD Division Nalagarh,No ,No,"2,000",Executive Engneer HPPWD Division Nalagarh,Executive Engneer HPPWD Division Nalagarh,Yes,AOC,1.0,40270.0,anshul,25-May-2016 04:05 PM,Accepted-AOC,pk,11-Jun-2019 04:57 PM,Technical,Technical Summary,Sanjay Kumar Attri,26-May-2016 02:08 PM,technical_15340.pdf,1.0,40239.0,moin,INR,"8,896,170",Finance,Financial Bid Opening Summary,Sanjay Kumar Attri,26-May-2016 02:37 PM,finance_15340.pdf,BOQ Comparative Chart,PWD,2016_PWD_11895_1,PW-NLD-EA-I-Tender/16-1053-61 Dt. 28.05.16,Construction of 114.00 mtr span suspension Bridge over Chikni Khad from Dhar Kotla to Tallan at Keori G.P Keori Tehsil Nalagarh Distt Solan ( H.P ),Er. S K Attri. EE,Internal,SH. Balwinder Singh DM Er. R.S. Kutaal AE Dhani Ram Supdt.Sikander Singh DAO Er. Gurwinder Singh AE,Sanjay Kumar Attri,26-May-2016 02:15 PM,26-May-2016 02:20 PM,techsummary_15340.pdf (36.61 KB),EE,Internal,ALL,Sanjiv Kumar Agnihotri,11-Jun-2019 04:55 PM,finsummary_15340.pdf (924.62 KB),11-Jun-2019,"INR 11,316,081",270.0,Sanjiv Kumar Agnihotri,11-Jun-2019 04:57 PM,TALLANPDF.pdf (925.00 KB),tender,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,2.0,BG - Bank Guarantee,,,,,,,2,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,40239.0,moin,25-May-2016 05:31 PM,Accepted-AOC,ok,11-Jun-2019 04:57 PM,,,,,,2.0,40270.0,anshul,INR,"11,491,326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,3,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Financial Details ,Annual Turn Over Details ,Annual Turn Over Details ,HP_Turnover.xls,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Machinery Details ,Machinery Lease/Hire agreement copy ,Machinery Lease/Hire agreement copy ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Work Details ,Works Completed ,Works Completed Details ,HP_WorksCompleted.xls,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
