Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage
Er. B.S. Dehal E.E.,Internal,"Er. Kuldeep Singh AE to EE Des Raj Katna AE Devinder Singh, Head Draughtsman , Jagpal Singh Supdt Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,30-Mar-2019 03:27 PM,finsummary_39767.pdf (674.22 KB),27-May-2019,"INR 2,168,663",90.0,Bhupinder Singh,03-Jun-2019 12:26 PM,Awardletter.PDF (1234.00 KB),Awardletter,PWD,2019_PWD_27857_1,Job 2 Improvement and Strenthening of Bathri to Nu,Job 2 Improvement and Strenthening of Bathri to Nurpur Bedi Road upto Punjab Border km. 0-0 to 0-300 Sub Head C.o Cement Concrete Pavement and Drain in km 0-0 to 0-300 Mining Deposit Work,Er. B.S. Dehal E.E.,Internal,"Er. Kuldeep Singh AE to EE Des Raj Katna AE Devinder Singh, Head Draughtsman , Jagpal Singh Supdt Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,26-Mar-2019 06:48 PM,29-Mar-2019 10:30 AM,techsummary_39767.pdf (828.18 KB),Technical,TechnicalBidOpeningSummary,Bhupinder Singh,26-Mar-2019 06:22 PM,technical_39767.pdf,1.0,116891.0,Balbir Singh Govt Contractor,05-Mar-2019 01:31 PM,Accepted-AOC,ok,03-Jun-2019 12:26 PM,Finance,Proceedingregardingopeningoffinancialbids,Bhupinder Singh,30-Mar-2019 02:46 PM,finance_39767.pdf,BOQ Comparative Chart,1.0,116891.0,Balbir Singh Govt Contractor,INR,"1,914,338",AOC,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",26-Feb-2019 10:00 AM,06-Mar-2019 11:00 AM,26-Feb-2019 10:30 AM,05-Mar-2019 05:00 PM,NA ,NA ,26-Feb-2019 10:30 AM,05-Mar-2019 05:00 PM,29-Mar-2019 10:30 AM,"40,100",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),PWD,Job 2 Improvement and Strenthening of Bathri to Nu,2019_PWD_27857_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Job 2 Improvement and Strenthening of Bathri to Nurpur Bedi Road upto Punjab Border km. 0-0 to 0-300 Sub Head C.o Cement Concrete Pavement and Drain in km 0-0 to 0-300 Mining Deposit Work,Job 2 Improvement and Strenthening of Bathri to Nurpur Bedi Road upto Punjab Border km. 0-0 to 0-300 Sub Head C.o Cement Concrete Pavement and Drain in km. 0-0 to 0-300 Mining Deposit Work,Please refer to Bidding Documents ,NA ,"21,68,663",Civil Works - Roads,NA ,Tender,120.0,90.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,1.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,117209.0,harish sharma,05-Mar-2019 04:20 PM,Rejected-AOC,ok,03-Jun-2019 12:26 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,116917.0,ISHAN THAKUR,03-Mar-2019 07:13 PM,Rejected-AOC,ok,03-Jun-2019 12:26 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,117181.0,Satish Kumar Govt Contractor,05-Mar-2019 03:34 PM,Rejected-Technical,As per technical Evaluation,26-Mar-2019 06:48 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage or co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Machinery Tool Plant and list of laboratory equipments as per bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
