S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,111503.0,VIRENDER PRASHAD SHARMA,INR,"999,950",Finance,Chairman Er S.K.Dhadwal EE Committee Members Sh.Joginder Pal Sr. Asstt. Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sanjiv Mahajan,05-Mar-2019 06:11 PM,finance_37231.pdf,BOQ Comparative Chart,Technical,Chairman Er S.K.Dhadwal EE Committee Members Sh.Joginder Pal Sr. Asstt. Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sanjiv Mahajan,20-Feb-2019 04:03 PM,technical_37231.pdf,1.0,111697.0,Navneet Thakur,09-Feb-2019 08:46 PM,Rejected-Finance,Due to higher amt.,05-Mar-2019 06:32 PM,Er. S.K Dhadwal,Internal,Sh.Joginder Pal Sr. Asstt. Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sanjiv Mahajan,05-Mar-2019 06:32 PM,finsummary_37231.pdf (743.77 KB),24-Jun-2019,"INR 999,950",90.0,Sushil Kumar Dhadwal,24-Jun-2019 07:07 PM,9AMP201920.pdf (431.00 KB),VIRENDER PRASHAD SHARMA,PWD,2019_PWD_26350_9,8901-04,Periodic maintenance of Ramehar to Bhatehr road Km 0/00 to 3/250 under AMP 2019-20 PMGSY road in Distt. Kangra HP,Er. S.K Dhadwal,Internal,Sh.Joginder Pal Sr. Asstt. Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sanjiv Mahajan,20-Feb-2019 04:28 PM,20-Feb-2019 04:30 PM,techsummary_37231.pdf (743.77 KB),AOC,350.0,EE Dharamshala,Dharamshala,No,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),PWD,8901-04,2019_PWD_26350_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodic maintenance of Ramehar to Bhatehr road Km 0/00 to 3/250 under AMP 2019-20 PMGSY road in Distt. Kangra HP,Periodic maintenance of Ramehar to Bhatehr road Km 0/00 to 3/250 under AMP 2019-20 PMGSY road in Distt. Kangra HP S/H -P/L 25mm thick bituminous concrete laying with paver finisher in km 1/00 to 2/00,Please refer tender document ,NA ,"7,44,118",Civil Works - Roads,NA ,Tender,120.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,"14,900",No,fixed,,EE Dharamshala,Dharamshala,1.0,DD - Demand Draft,29-Jan-2019 10:00 AM,11-Feb-2019 11:30 AM,29-Jan-2019 10:00 AM,11-Feb-2019 11:00 AM,NA ,NA ,29-Jan-2019 10:00 AM,11-Feb-2019 11:00 AM,20-Feb-2019 04:30 PM,AOC
,,,,,,,,,,,,,,,,2.0,111503.0,VIRENDER PRASHAD SHARMA,08-Feb-2019 02:52 PM,Accepted-AOC,Lowest Bidder,24-Jun-2019 07:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Earnest Money (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,List of machinery including Hot Mix plant with proof of ownership i.e RCs etc. and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper (General rule 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,An affidavit that information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
