Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
PWD,8901-04,2019_PWD_26350_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Dharamshala,Dharamshala,No,29-Jan-2019 10:00 AM,11-Feb-2019 11:30 AM,29-Jan-2019 10:00 AM,11-Feb-2019 11:00 AM,NA ,NA ,29-Jan-2019 10:00 AM,11-Feb-2019 11:00 AM,20-Feb-2019 04:30 PM,"14,900",No,fixed,,EE Dharamshala,Dharamshala,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,Periodic maintenance of Chetru Maned Passu Dari Road Km 0/0 to 6/00 under AMP 2019-20 Rural Road in District Kangra HP,Periodic maintenance of Chetru Maned Passu Dari Road Km 0/0 to 6/00 under AMP 2019-20 Rural Road in District Kangra HP S/H - Providing and Laying 25mm thick bituminous concrete laying with paver finisher in km 2/00 to 3/00,Olease refer tender document ,NA ,"7,44,118",Civil Works - Roads,NA ,Tender,120.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),AOC,Er. S.K Dhadwal,Internal,Sh.Joginder Pal Sr. Asstt. Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sanjiv Mahajan,20-Feb-2019 04:20 PM,20-Feb-2019 04:30 PM,techsummary_37226.pdf (747.42 KB),PWD,2019_PWD_26350_4,8901-04,Periodic maintenance of Chetru Maned Passu Dari Road Km 0/0 to 6/00 under AMP 2019-20 Rural Road in District Kangra HP,23-Jun-2019,"INR 999,544",90.0,Sushil Kumar Dhadwal,23-Jun-2019 05:01 PM,4AMP201920.pdf (432.00 KB),Shri Navneet Thakur,Er. S.K Dhadwal,Internal,Sh.Joginder Pal Sr. Asstt. Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sanjiv Mahajan,05-Mar-2019 06:43 PM,finsummary_37226.pdf (747.42 KB),1.0,111681.0,Navneet Thakur,09-Feb-2019 08:02 PM,Accepted-AOC,Lowest bidder,23-Jun-2019 05:01 PM,Technical,Chairman Er S.K.Dhadwal EE Committee Members Sh.Joginder Pal Sr. Asstt. Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sanjiv Mahajan,20-Feb-2019 03:59 PM,technical_37226.pdf,Finance,Chairman Er S.K.Dhadwal EE Committee Members Sh.Joginder Pal Sr. Asstt. Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sanjiv Mahajan,05-Mar-2019 06:04 PM,finance_37226.pdf,BOQ Comparative Chart,1.0,111681.0,Navneet Thakur,INR,"999,544",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money (Indicated in schedule F),AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,111719.0,Singh,10-Feb-2019 09:39 AM,Rejected-Finance,Due to higher amt,05-Mar-2019 06:43 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (General rule 21),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery including Hot Mix plant with proof of ownership i.e RCs etc. and staff,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper (General rule 26.7),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished is correct,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
