S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,54812.0,ASHOK KUMAR BAJAJ,INR,20414800.0,Irrigation Department||Chief Engineer(Major)-Irrigation Dept,2019_ID_11396_1,"NIT NO. 04(RIDF-XXIV, NABARD) 2018-19 DT.24.01.19",Batabari Nabin Dong Flow I_Scheme under RIDF_XXIV_NABARD_Grp VIII,1,54812,ASHOK KUMAR BAJAJ,09-Feb-2019 06:25 PM,Accepted-AOC,Awarded,26-Jun-2019 01:56 PM,"Chief Engineer(MI),Irrigation",Internal,,Amit Singha,26-Jun-2019 01:51 PM,finsummary_18084.pdf (121.22 KB),"Chief Engineer(MI),Irrigation Assam",Internal,"Director Design (Major Irrigation),Assam Director Design (Minor Irrigation),Assam",Amit Singha,01-Jun-2019 01:06 PM,03-Jun-2019 12:00 PM,techsummary_18084.pdf (237.63 KB),26-Jun-2019,INR 2.78E+7,365.0,Amit Singha,26-Jun-2019 01:56 PM,AOC.PDF (252.00 KB),Technical,Tech Minutes,Amit Singha,01-Jun-2019 01:02 PM,technical_18084.pdf,Finance,Finminutes,Amit Singha,26-Jun-2019 01:47 PM,finance_18084.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,Batabari Nabin Dong Flow I_Scheme under RIDF_XXIV_NABARD_Grp VIII,Batabari Nabin Dong Flow I_Scheme under RIDF_XXIV_NABARD_Grp VIII,Please refer Tender documents. ,NA ,"2,78,00,000",Civil Works,NA ,Tender,195.0,365.0,Tangla,784521.0,NA ,NA ,NA ,"O/O Chief Emgineer, Minor Irrigation, Assam ,Ghy.3",No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT,"5,56,000",Yes,percentage,2.0%,"O/O Chief Emgineer, Minor Irrigation, Assam ,Ghy.3",Guwahati,25-Jan-2019 12:15 PM,20-Feb-2019 03:00 PM,25-Jan-2019 12:20 PM,20-Feb-2019 02:00 PM,NA ,NA ,25-Jan-2019 12:25 PM,20-Feb-2019 02:00 PM,03-Jun-2019 12:00 PM,Irrigation Department||Chief Engineer(Major)-Irrigation Dept,"NIT NO. 04(RIDF-XXIV, NABARD) 2018-19 DT.24.01.19",2019_ID_11396_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"Chief Emgineer, Minor Irrigation, Assam ,Ghy.3","O/O Chief Emgineer, Minor Irrigation, Assam ,Ghy.3","2,000","O/O Chief Emgineer, Minor Irrigation, Assam ,Ghy.3",Guwahati,No,1.0,Corrigendum Batabari Nabin Dong Flow I_Scheme under RIDF_XXIV_NABARD_Grp VIII,Date,,AOC
2.0,55729.0,Innus Ali,INR,4843300.0,,,,,2,55661,CHITTARANJAN BISWAS,17-Feb-2019 04:56 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Jun-2019 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,.pdf,BID Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,54583,HARESWAR BORO,07-Feb-2019 05:00 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Jun-2019 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,55729,Innus Ali,18-Feb-2019 11:22 AM,Accepted-AOC,Awarded,26-Jun-2019 01:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,54544,M/S. D.K. ASSAM ASSOCIATES PVT. LTD.,18-Feb-2019 12:13 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Jun-2019 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pre Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,55399,M/s. KC Infra Project Private Limited,15-Feb-2019 02:40 PM,Rejected-Finance,Rejected,26-Jun-2019 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,55579,M/S Kusumbar Construction,17-Feb-2019 10:01 PM,Rejected-Finance,Rejected,26-Jun-2019 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,54626,NILIMA ENTERPRISE,07-Feb-2019 10:04 PM,Rejected-Finance,Rejected,26-Jun-2019 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,54827,SRI GIRIN DEKA,09-Feb-2019 08:15 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Jun-2019 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,54796,Sri Prasanta Kumar Deka,09-Feb-2019 03:23 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Jun-2019 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
