Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,Bid Opening Summary,Pramod Upreti,27-Mar-2018 11:27 AM,technical_28017.pdf,1.0,79461.0,Nil,20-Mar-2018 03:43 PM,Rejected-Finance,L2,19-Jun-2019 01:35 PM,1.0,79445.0,S.S. Associates,INR,"3,476,002",Finance,Bid opening Summary,Pramod Upreti,29-Mar-2018 12:19 PM,finance_28017.pdf,BOQ Comparative Chart,Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Smt. Neelam Gupta Supdt. Gr.II , Sh. Saran Singh Sr. Asstt, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,19-Jun-2019 01:35 PM,finsummary_28017.pdf (298.09 KB),19-Jun-2019,"INR 2,789,203",90.0,Ajay Kumar Sharma,19-Jun-2019 01:43 PM,aoc.pdf (909.00 KB),AOC,PWD,2018_PWD_19844_4,9360-9410 dt 22-2-2018,Periodical renewal on Paonta Puruwala road (SH Providing and laying 25 mm thick compacted bituminous concrete including repair of pot holes and profile correction in km 7/0 to 9/0) under AMP for the year 2018-19,Er. Ajay Kumar Sharma EE,Internal,Sh. Ram Gopal Gupta DHD Sh. Saran Singh Sr. Asstt. Smt. Neelam Gupta Supdt Gr. II Sh. Inder Singh Sr. Asstt.,Pramod Upreti,27-Mar-2018 11:28 AM,27-Mar-2018 03:00 PM,techsummary_28017.pdf (683.88 KB),AOC,EE PWD Paonta Sahib,EE PWD Paonta Sahib,01-Mar-2018 04:30 PM,22-Mar-2018 11:30 AM,01-Mar-2018 05:00 PM,21-Mar-2018 05:00 PM,NA ,NA ,01-Mar-2018 05:00 PM,21-Mar-2018 05:00 PM,27-Mar-2018 03:00 PM,1.0,DD - Demand Draft,"56,000",No,fixed,,EE PWD Paonta Sahib,Paonta Sahib,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,1.0,Periodical renewal on Paonta Puruwala road (SH Providing and laying 25 mm thick compacted bituminous concrete including repair of pot holes and profile correction in km 7/0 to 9/0) under AMP for the year 2018-19,Other,,Periodical renewal on Paonta Puruwala road (SH Providing and laying 25 mm thick compacted bituminous concrete including repair of pot holes and profile correction in km 7/0 to 9/0) under AMP for the year 2018-19,Periodical renewal on Paonta Puruwala road (SH Providing and laying 25 mm thick compacted bituminous concrete including repair of pot holes and profile correction in km 7/0 to 9/0) under AMP for the year 2018-19,Please refer tender documents  ,NA ,"27,89,203",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,EE PWD Paonta Sahib,No ,No,"1,500",EE PWD Paonta Sahib,Paonta Sahib,No,PWD,9360-9410 dt 22-2-2018,2018_PWD_19844_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,2.0,79445.0,S.S. Associates,20-Mar-2018 12:48 PM,Accepted-AOC,L1,19-Jun-2019 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax Registration/GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of 40 present work done certificate for similar nature of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Listofmachinerytoolplant alongwithproofofowner ship i.e.R.C.andpurchasebills S.No 6.19Ref.clauseno18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazatted and non gazatted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
