Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
500.0,EE HPPWD Division Tanda at Nagrota Bagwan,Kangra,No,PWD,PWD Civil-11095-1127-Tanda,2019_PWD_27460_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"35,320",No,fixed,,EE HPPWD Division Tanda at Nagrota Bagwan,Tanda at Nagrota Bagwan,Executive Engineer,Executive Engineer HP PWD Tanda at Nagrota Bagwan,16-Feb-2019 05:00 PM,28-Feb-2019 11:30 AM,16-Feb-2019 05:00 PM,28-Feb-2019 11:00 AM,NA ,NA ,16-Feb-2019 05:00 PM,28-Feb-2019 11:00 AM,12-Mar-2019 03:30 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,1.0,DD - Demand Draft,"Additional/Alteration to Truma Centre in Dr. R.P.G.M. College at Tanda in Distt. Kangra (HP) (Deposit Work)(SH Dismantling of Brick work, Building works and WS and SI fitting etc).","Additional/Alteration to Truma Centre in Dr. R.P.G.M. College at Tanda in Distt. Kangra (HP) (Deposit Work)(SH Dismantling of Brick work, Building works and WS and SI fitting etc).",Please refer Tender documents. ,NA ,"18,54,481",Construction Works,NA ,Tender,120.0,120.0,TANDA,176002.0,NA ,NA ,NA ,EE HP PWD Tanda at Nagrota Bagwan,No ,No,AOC,Dr Suresh Kumar Walia,Internal,Ravi Bhushan AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Kartar Chand Supdt Gr II Account Vijay Sharma HDM,Suresh Kumar Walia,12-Mar-2019 03:25 PM,12-Mar-2019 03:30 PM,techsummary_39113.pdf (405.42 KB),PWD,2019_PWD_27460_1,PWD Civil-11095-1127-Tanda,"Additional/Alteration to Truma Centre in Dr. R.P.G.M. College at Tanda in Distt. Kangra (HP) (Deposit Work)(SH Dismantling of Brick work, Building works and WS and SI fitting etc).",20-Jun-2019,"INR 2,010,756",120.0,Suresh Kumar Walia,21-Jun-2019 11:31 AM,Award.pdf.pdf.pdf (387.00 KB),Award,Dr Suresh Kumar Walia,Internal,Ravhi Bhushan AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Kartar Chand Supdt Gr II Account Vijay Sharma HDM,Suresh Kumar Walia,18-Apr-2019 01:28 PM,finsummary_39113.pdf (193.39 KB),1.0,116380.0,DILWAG SINGH GOVT. COT.,28-Feb-2019 09:47 AM,Rejected-AOC,L2,21-Jun-2019 11:31 AM,Technical,Sum,Suresh Kumar Walia,12-Mar-2019 03:22 PM,technical_39113.pdf,Finance,Sum,Suresh Kumar Walia,18-Apr-2019 01:26 PM,finance_39113.pdf,BOQ Comparative Chart,1.0,116377.0,Saini,INR,"2,010,756",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,116297.0,ranju sood,27-Feb-2019 06:18 PM,Rejected-AOC,L4,21-Jun-2019 11:31 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,116377.0,Saini,28-Feb-2019 09:20 AM,Accepted-AOC,L1,21-Jun-2019 11:31 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,116278.0,VENYA CONSTRUCTIONS AND SUPPLIER,27-Feb-2019 06:19 PM,Rejected-AOC,L3,21-Jun-2019 11:31 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done Certificate,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery as per SBD,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative and no retired gazetted officer of PWD is in employment,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
