Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,Summary attached,Harbans Lal Sharma,29-Apr-2019 11:46 AM,finance_32310.pdf,BOQ Comparative Chart,1.0,93077.0,Manoj Kumar Govt. Contractor,INR,"2,395,110",Technical,Sh. Parkash Chand Supdt Gr-II Smt Pawana Kumari Supdt GR-II Sh Rajinder Kumar HDM Sh. Dinesh Kumar AE Er HL Sharma Chairmain cum EE,Baldev Singh,24-Sep-2018 06:04 PM,technical_32310.pdf,1.0,93077.0,Manoj Kumar Govt. Contractor,30-Aug-2018 02:56 PM,Accepted-AOC,ok,15-Jun-2019 03:50 PM,15-Jun-2019,"INR 1,893,463",30.0,Baldev Singh,15-Jun-2019 03:50 PM,AWNO10764dated1112018.PDF (891.00 KB),AW No. 10764-72 dated 1-11-2018,Er.H.L. Sharma,Internal,Summary attached,Harbans Lal Sharma,01-May-2019 06:02 PM,finsummary_32310.pdf (755.32 KB),Er.HL Sharma,Internal,Sh. Parkash Chand Supdt Gr-II Smt Pawana Kumari Supdt GR-II Sh Rajinder Kumar HDM Sh. Dinesh Kumar AE Er HL Sharma Chairmain cum EE,Baldev Singh,25-Sep-2018 10:16 AM,25-Sep-2018 10:30 AM,techsummary_32310.pdf (1116.02 KB),PWD,2018_PWD_23070_1,PRC Dangoh Khud to Dangoh Upperla,Providing and laying renewal coat by using cold mix Technology on link road Dangoh Khurd to Dangoh Upperla road km 000 to 2350 (VR0058) under PMGSY(Financial Incentive),AOC,Providing and laying renewal coat by using cold mix Technology on link road Dangoh Khurd to Dangoh Upperla road km 000 to 2350 (VR0058) under PMGSY(Financial Incentive),Providing and laying renewal coat by using cold mix Technology on link road Dangoh Khurd to Dangoh Upperla road km 000 to 2350 (VR0058) under PMGSY(Financial Incentive),Tender Documents  ,NA ,"18,93,463",Civil Works,Road ,Tender,120.0,30.0,Bharwain,177109.0,NA ,NA ,NA ,Bharwain,No ,No,1.0,DD - Demand Draft,"37,870",No,fixed,,E E Bharwain,PNB at Amb,Executive Engineer,Executive Engineer Bharwain Division HPPWD Bharwain,500.0,EE Bharwain,PNB at Amb,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form as indicated in scheduled (F),PWD,PRC Dangoh Khud to Dangoh Upperla,2018_PWD_23070_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,25-Aug-2018 12:00 PM,31-Aug-2018 11:30 AM,25-Aug-2018 12:00 PM,30-Aug-2018 06:00 PM,NA ,NA ,25-Aug-2018 12:00 PM,30-Aug-2018 06:00 PM,25-Sep-2018 10:30 AM,AOC
,,,,,,,,,,,,,,,,2.0,93196.0,M/s Bhagwati Construction Co.,30-Aug-2018 03:17 PM,Rejected-AOC,ok,15-Jun-2019 03:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in scheduled F),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and Clearance certificate,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration (General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and Work in hand certificate General Rule No.19(Shown in scheduled F),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A certificate regarding not more than two works in hand under this division to be issued by the EE,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. authorization of upload and sign the tender documents formalities related to the work,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machineries Tool plants Indicated in schedule-F),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of equipments (Indicated in schedule-F),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. list of both Gazetted officer and NGO serving as HPPWD employee related to him (Gener,,,,,,,,,,,,,,,,,,,,,,,,AOC
