Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Bid opening Summary,Dharminder Kumar Verma,14-Feb-2019 04:08 PM,finance_36961.pdf,BOQ Comparative Chart,1.0,110635.0,Parven Vaidya,INR,"2,719,361",Technical,Summary,Pradeep Singh,07-Feb-2019 11:37 AM,technical_36961.pdf,1.0,110069.0,Jay Kumar,02-Feb-2019 12:31 PM,Rejected-Finance,L3,24-Jun-2019 04:55 PM,ER PRADEEP SINGH,Internal,,Pradeep Singh,24-Jun-2019 04:55 PM,finsummary_36961.pdf (81.45 KB),24-Jun-2019,"INR 2,719,361",180.0,Pradeep Singh,24-Jun-2019 04:56 PM,2019_PWD_26184_1.pdf (275.00 KB),PWD,2019_PWD_26184_1,MDII-ADDITIONAL WORK IN SHRI LAL BHADUR SHASTRI,C/O Additional work in Shri Lal Bhadur Shastri Govt. Medical college and Hospital at Nerchowk,ER PRADEEP SINGH,Internal,SUPDT DAO AE TO EE HDM,Pradeep Singh,07-Feb-2019 11:39 AM,07-Feb-2019 12:00 PM,techsummary_36961.pdf (216.32 KB),AOC,1.0,DD - Demand Draft,500.0,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,Yes,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",C/O Additional work in Shri Lal Bhadur Shastri Govt. Medical college and Hospital at Nerchowk,"C/O work stations in Physiology Haematology, Pathology Hematology, Community Medicine, Central Research and Pathology services Laboratories",Please refer Tender documents. ,NA ,"21,73,325",Civil Works,NA ,Tender,120.0,180.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-II HPPWD MANDI,No ,No,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,23-Jan-2019 05:00 PM,05-Feb-2019 11:30 AM,23-Jan-2019 05:00 PM,05-Feb-2019 10:45 AM,NA ,NA ,23-Jan-2019 05:00 PM,05-Feb-2019 10:45 AM,07-Feb-2019 12:00 PM,PWD,MDII-ADDITIONAL WORK IN SHRI LAL BHADUR SHASTRI,2019_PWD_26184_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"39,500",Yes,fixed,,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,AOC
,,,,,,,,,,,,,,,,2.0,110580.0,Pankaj Govt. Contractor,05-Feb-2019 09:59 AM,Rejected-Technical,NON Responsive,07-Feb-2019 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,110635.0,Parven Vaidya,04-Feb-2019 05:24 PM,Accepted-AOC,L1,24-Jun-2019 04:56 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,110403.0,PAWAN KUMAR,02-Feb-2019 05:16 PM,Rejected-Finance,L2,24-Jun-2019 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,GST(General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"Form No. 8 duly signed (General Rule No.26.7),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
