Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Sri Brajen Das,Internal,Sri Deba kamal Baruah Sri Dheeraj Gogoi Smti Susmita Pathak Sri Bhaskar Nath,Brajen Das,23-Apr-2019 01:40 PM,finsummary_18900.pdf (514.30 KB),01-May-2019,INR 1.090026E+7,365.0,Brajen Das,03-Jun-2019 04:55 PM,WorkOrder.pdf (253.00 KB),Group A- Ashok Shah Group B- Zakirur Rahman Borah Group C-Animesh Paul Group D- Ashok Shah,Home B||Assam Prison Headquarters||Central Jail-Dibrugarh,2019_HB_11915_1,CJD/2019/400 DATED 16/02/2019,"Supply of Dietary articles for the Central Jail, Dibrugarh during the Financial year 2019-20.",Technical,Technical bid has been opened,Brajen Das,20-Mar-2019 04:00 PM,,1.0,Tender Revocation,Resubmission of Technical Bid Evaluation Summary,20-Mar-2019 03:39 PM,SummryTechnicalBillnew.pdf ,532.09,Technical Opening,1,58410,AB ENTERPRISE,15-Mar-2019 12:04 PM,Rejected-Finance,L3 in group A,23-Apr-2019 01:40 PM,1.0,57424.0,ANIMESH PAUL,INR,682700.0,Finance,financial bids have been opened,Brajen Das,25-Mar-2019 11:22 AM,,BOQ Comparative Chart,Superintendent Central Jail Dibrugarh,Internal,,DEBA KAMAL BARUAH,25-Mar-2019 10:49 AM,25-Mar-2019 10:55 AM,techsummary_18900.pdf (545.88 KB),AOC,1.0,BG - Bank Guarantee Irrevocable,"Supply of Dietary articles for the Central Jail, Dibrugarh during the Financial year 2019-20.","Supply of Dietary articles for the Central Jail, Dibrugarh during the Financial year 2019-20.",Please refer Tender documents. ,NA ,0.0,Food Products,Dietary Articles ,Tender,90.0,365.0,"Central Jail, Dibrugarh",786001.0,NA ,NA ,NA ,"o/o the Superintendent of Central Jail, Dibrugarh",No ,No,16-Feb-2019 04:00 PM,15-Mar-2019 02:30 PM,16-Feb-2019 04:00 PM,15-Mar-2019 01:00 PM,NA ,NA ,20-Feb-2019 12:00 PM,15-Mar-2019 01:00 PM,25-Mar-2019 10:55 AM,0.0,No,fixed,,Nil,Nil,Home B||Assam Prison Headquarters||Central Jail-Dibrugarh,CJD/2019/400 DATED 16/02/2019,2019_HB_11915_1,Yes,Open Tender,Supply,Goods,2.0,No,Yes,Offline,No,No,No,1.0,Annexure A of Tender Document,Technical Bid,,500.0,"Superintendent of Central Jail, Dibrugarh",Dibrugarh,No,"Superintendent of Central Jail, Dibrugarh","office of the Superintendent of Central Jail, Dibrugarh-786001",1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57424,ANIMESH PAUL,04-Mar-2019 03:12 PM,Accepted-AOC,Selected as L1,03-Jun-2019 04:55 PM,2.0,58396.0,ASHOK SHAH,INR,9642350.0,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Seal and Signed Tender Document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,58396,ASHOK SHAH,15-Mar-2019 12:19 PM,Accepted-AOC,Selected as L1,03-Jun-2019 04:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Supporting Documents as per Tender Document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,58338,BADAL KUMAR TANISH KUMAR,14-Mar-2019 06:38 PM,Rejected-Finance,"L4 in group A, L7 in group B, L7 in group C, L5 in group D",23-Apr-2019 01:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,58242,Kumud Barman,13-Mar-2019 04:17 PM,Rejected-Finance,"L4 in group B, L2 in group D",23-Apr-2019 01:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,58322,M/S N.N. LAKHIJI ENTERPRISE,14-Mar-2019 04:25 PM,Rejected-Finance,"L5 in group A, L4 in group D",23-Apr-2019 01:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,57645,M/S OM pharma,14-Mar-2019 05:48 PM,Rejected-Finance,"L6 in group B, L5 in group C, L3 in group D",23-Apr-2019 01:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,58259,ONE HORN,15-Mar-2019 11:19 AM,Rejected-Finance,L2 in group A,23-Apr-2019 01:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,57860,PRONOB DAS,13-Mar-2019 10:08 PM,Rejected-Finance,L4 in group C,23-Apr-2019 01:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,58262,RANJIT BARUAH,14-Mar-2019 01:29 PM,Rejected-AOC,Revoked his contract,03-Jun-2019 04:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
