EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"20,670",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,400.0,Executive Engineer IPH Division Nahan,Nahan,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money,Executive Engineer IPH Division Nahan,Executive Engineer IPH Division Nahan,Annual Repair and maintenance of pumping machinery alongwith allied accessories upto 5 mtrs from the outer wall of the scheme under IPH Sub division Nahan LWSS Nahan Town at Kheri in Tehsil Nahan Distt Sirmour HP Job No I,Above,Please refer Tender documents. ,NA ,"10,33,500",Pumps/Motors,Annual maintenance ,Tender,120.0,1095.0,Nahan,173001.0,NA ,NA ,NA ,Executive Engineer IPH Division Nahan,No ,No,1.0,DD - Demand Draft,24-Jun-2017 05:00 PM,11-Jul-2017 11:30 AM,24-Jun-2017 05:00 PM,11-Jul-2017 11:00 AM,NA ,NA ,24-Jun-2017 05:00 PM,11-Jul-2017 11:00 AM,18-Jul-2017 11:20 AM,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",IPH-DN-CB-TA-Tender/2017-18- 4179-4280 Dt 17-6-17,2017_HPIPH_16972_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Finance,Finanaciial Bid Openign Summary,Rajeev Kumar Mahajan,18-Jul-2017 01:38 PM,finance_23062.pdf,BOQ Comparative Chart,Technical,Techniacl Bid Opening Summary,Rajeev Kumar Mahajan,18-Jul-2017 11:09 AM,technical_23062.pdf,14-Jun-2019,"INR 1,033,500",1095.0,Mandeep Gupta,14-Jun-2019 03:15 PM,AOC.pdf (612.00 KB),Award,Er. Rajeev Kumar Executive Engineer,Internal,Supdt HDM DAO Tender Asstt,Rajeev Kumar Mahajan,18-Jul-2017 11:18 AM,18-Jul-2017 11:20 AM,techsummary_23062.pdf (58.58 KB),1.0,63380.0,Basti Ram,09-Jul-2017 01:31 PM,Rejected-Finance,Rejected,14-Jun-2019 03:11 PM,Er.,Internal,HDM TA AEN EE,Mandeep Gupta,14-Jun-2019 03:11 PM,finsummary_23062.pdf (611.72 KB),1.0,63367.0,Sandeep Rathaur-M/s. Sandeep Rathaur,INR,"1,210,000","HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",2017_HPIPH_16972_3,IPH-DN-CB-TA-Tender/2017-18- 4179-4280 Dt 17-6-17,Annual Repair and maintenance of pumping machinery alongwith allied accessories upto 5 mtrs from the outer wall of the scheme under IPH Sub division Nahan LWSS Nahan Town at Kheri in Tehsil Nahan Distt Sirmour HP Job No I,AOC
,,,,,,,,,,,,.pdf,Cost of Tender form,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,63367.0,Sandeep Rathaur-M/s. Sandeep Rathaur,09-Jul-2017 08:24 PM,Accepted-AOC,AOC,14-Jun-2019 03:15 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Registration in HPIPH deptt. in valid class,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,63447.0,Vijay Kumar C/O Vasudeva Electricals,10-Jul-2017 10:07 PM,Rejected-Finance,Rejected,14-Jun-2019 03:11 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Undertaking Joint venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,PAN no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Sale Tax iTIN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Experience of same kind of work or certificate of machenical workshop.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Undertaking that the he will comply with the provision of contract Labour HP Rule 1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
