Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
PWD,PWD-BD-NIT-2018-19-16629-90,2019_PWD_27046_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodic Maintenance link Road to village Mahakal Temple DRRP No. HP403VR0136 (Under AMP 2019-20 Non PMGSY Road),Providing and Laying built up spray grout single layer tack coat and Bituminous concrete at Km 0/0 to 1/0).,Please refer Tender documents. ,NA ,"6,85,808",Civil Works - Roads,NA ,Tender,90.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,350.0,EE HPPWD Baijnath,Baijnath,No,1.0,DD - Demand Draft,08-Feb-2019 06:15 PM,22-Feb-2019 11:00 AM,08-Feb-2019 06:15 PM,22-Feb-2019 10:30 AM,NA ,NA ,08-Feb-2019 06:15 PM,22-Feb-2019 10:30 AM,26-Feb-2019 12:00 PM,EE Baijnath Division,EE Baijnath Division,1.0,Amount and Name Change,Other,,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,"13,800",No,fixed,,EE HPPWD Baijnath,Baijnath,AOC,1.0,114529.0,YUDHVIR SINGH,INR,"895,875",Finance,Financial Bid of the said work open on 26.2.2019 successfully.,Sanjiv Kumar,25-Apr-2019 04:41 PM,finance_38521.pdf,BOQ Comparative Chart,1.0,114495.0,G.P.ACHARYA,21-Feb-2019 10:58 PM,Rejected-Finance,Higher Side,25-Apr-2019 04:42 PM,Technical,Two bidders participated in this work and found responsive. Hence tender recommended by committee to open financial bid.,Sanjiv Kumar,25-Feb-2019 05:52 PM,technical_38521.pdf,PWD,2019_PWD_27046_1,PWD-BD-NIT-2018-19-16629-90,Periodic Maintenance link Road to village Mahakal Temple DRRP No. HP403VR0136 (Under AMP 2019-20 Non PMGSY Road),Er. S.R. Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,25-Feb-2019 05:53 PM,26-Feb-2019 12:00 PM,techsummary_38521.pdf (272.80 KB),Er S K Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,25-Apr-2019 04:42 PM,finsummary_38521.pdf (163.83 KB),29-Jun-2019,"INR 685,808",60.0,Sanjiv Kumar,29-Jun-2019 03:17 PM,mandir.pdf (433.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,,,,,,,AOC,,,,,,,,,,,,2.0,114529.0,YUDHVIR SINGH,22-Feb-2019 01:40 AM,Accepted-AOC,Lower Side,29-Jun-2019 03:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid GST Registration and PAN No,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done as indicated in SBD.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"e- mail ID, Mobile No. is mandatory, since all kind of correspondence in regard to tender if any sha",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
