Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
14-Jun-2019,"INR 1,750,000",90.0,Mandeep Gupta,14-Jun-2019 04:18 PM,Financial.pdf (2689.00 KB),Award,Finance,Finanacial Bid Opening Summary,Rajeev Kumar Mahajan,23-Aug-2017 11:22 AM,finance_23722.pdf,BOQ Comparative Chart,Technical,Technical Bid OPening Summary,Rajeev Kumar Mahajan,23-Aug-2017 10:37 AM,technical_23722.pdf,Er. Rajeev Kumar Executive Engineer,Internal,HDM Supdt DAO Tender Asstt,Rajeev Kumar Mahajan,23-Aug-2017 10:58 AM,23-Aug-2017 11:00 AM,techsummary_23722.pdf (58.78 KB),1.0,66043.0,GREWALSUBMERSIBLE AND ELECTRICAL SERVICE,19-Aug-2017 05:50 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Aug-2017 10:37 AM,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",2017_HPIPH_17498_1,IPH-DN-CB-TA-Tender/2017-18- 6355-6450 dt 31-7-17,"Providing LWSS to PC habitation of various census village under G.P. Devka Purla, Nauni, Panjahal, Thana Kashoga, Birla, Banethi, Nahan and Sain Ki Ser in Tehsil Nahan Distt. Sirmour HP",1.0,66121.0,HYDRAULIC ENGINEERING COMPANY,INR,"7,782,500",Er,Internal,Supdt WS CHD AED EED EE SE,Mandeep Gupta,14-Jun-2019 04:14 PM,finsummary_23722.pdf (2689.42 KB),AOC,"33,800",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,1.0,DD - Demand Draft,400.0,Executive Engineer IPH Division Nahan,Nahan,No,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",IPH-DN-CB-TA-Tender/2017-18- 6355-6450 dt 31-7-17,2017_HPIPH_17498_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,01-Aug-2017 06:00 PM,22-Aug-2017 11:30 AM,01-Aug-2017 06:00 PM,22-Aug-2017 11:00 AM,NA ,NA ,01-Aug-2017 06:00 PM,22-Aug-2017 11:00 AM,23-Aug-2017 11:00 AM,"Providing LWSS to PC habitation of various census village under G.P. Devka Purla, Nauni, Panjahal, Thana Kashoga, Birla, Banethi, Nahan and Sain Ki Ser in Tehsil Nahan Distt. Sirmour HP","Supplying and errection of pumping machinery of Booster stage, 1st stage and 2nd stage",Please refer Tender documents. ,NA ,"17,50,000",Pumps/Motors,Pumping machinery ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Executive Engineer IPH Division Nahan,No ,No,Executive Engineer IPH Division Nahan,Executive Engineer IPH Division Nahan,1.0,Fee/PreQual/Technical,.pdf,Earnest Money in shape of FDR,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,66121.0,HYDRAULIC ENGINEERING COMPANY,22-Aug-2017 09:51 AM,Accepted-AOC,AOC,14-Jun-2019 04:18 PM,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,66115.0,Sai Aqua Machines and Builders,21-Aug-2017 08:13 PM,Rejected-Finance,Rejected,14-Jun-2019 04:14 PM,,,,,,,,,,,,,,,,AOC,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPIPH Deptt. in valid class,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,4.0,66086.0,shiv iron general engineers,22-Aug-2017 08:48 AM,Rejected-Finance,Rejected,14-Jun-2019 04:14 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,5.0,66120.0,Surjeet Singh Thakur,22-Aug-2017 09:54 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Aug-2017 10:37 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,6.0,66124.0,The Nandini Enterprises and Sons,21-Aug-2017 09:21 PM,Rejected-Finance,Rejected,14-Jun-2019 04:14 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Dealership/sub-dealership of Pumping machinery,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of the curve charts along with selection of pumps and motors,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that the he will comply with the provision of contract Labour HP Rule 1974,AOC
