S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,119385.0,KAMAL JEET SHARMA GOVT CONT,20-Mar-2019 08:36 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,26-Apr-2019 05:31 PM,1.0,119488.0,M/s Jamwal nxt gen energy solutions,INR,"666,921",Er. Sanjeev Thakur Executive Engineer,Internal,Sh. Kirpal Chand Supdt. Sh. Krishan Kumar HDM Sh. Rakesh Kumar Sr. Asstt. Sh. Ravinder Chand Tender Asstt. Sh. Ajay Paul Dealing Asstt.,Sanjeev Thakur,26-Apr-2019 05:51 PM,finsummary_40407.pdf (59.15 KB),10-Jun-2019,"INR 571,820",60.0,Sanjeev Thakur,15-Jun-2019 11:59 AM,28236_1.pdf (310.00 KB),"awarded to the lowest bidder vide this office letter no. 1308-13, dated 10.06.2019",PWD,2019_PWD_28236_1,"Elect. Division, HPPWD Palampur","Replacement of E.I. and safety devices to Chief Medical officer office Kangra at Dharamshala (2nd floor of Zonal Hospital L.H.S. side) in Tehsil Dharamshala, Distt. Kangra (HP)",Finance,as per uploaded document,Sanjeev Thakur,26-Apr-2019 05:31 PM,finance_40407.pdf,BOQ Comparative Chart,Er. Sanjeev Thakur Executive Engineer,Internal,Sh. Kirpal Chand Supdt. Sh. Krishan Kumar HDM Sh. Rakesh Kumar Sr. Asstt. Sh. Ravinder Chand Tender Asstt. Sh. Ajay Paul Dealing Asstt.,Sanjeev Thakur,26-Apr-2019 05:35 PM,techsummary_40407.pdf (140.47 KB),AOC,PWD,"Elect. Division, HPPWD Palampur",2019_PWD_28236_1,Yes,Open Tender,Item Rate,Works,1.0,No,No,Offline,No,No,No,07-Mar-2019 10:00 AM,23-Mar-2019 11:30 AM,07-Mar-2019 10:00 AM,22-Mar-2019 05:00 PM,NA ,NA ,07-Mar-2019 10:00 AM,22-Mar-2019 05:00 PM,Executive Engineer,Electrical Division HPPWD Palampur,"Replacement of E.I. and safety devices to Chief Medical officer office Kangra at Dharamshala (2nd floor of Zonal Hospital L.H.S. side) in Tehsil Dharamshala, Distt. Kangra (HP)","Replacement of E.I. and safety devices to Chief Medical officer office Kangra at Dharamshala (2nd floor of Zonal Hospital L.H.S. side) in Tehsil Dharamshala, Distt. Kangra (HP)",Please refer Tender documents. ,NA ,"5,71,820",Electrical Works,NA ,Tender,120.0,60.0,"Dharamshala, Distt. Kangra",176215.0,NA ,NA ,NA ,Palampur,No ,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical/Finance,.pdf,Bank Draft towards the cost of bid document,"11,500",No,fixed,,Executive Engineer,Elect. Div. HPPWD Palampur,350.0,Executive Engineer,Elect. Div. HPPWD Palampur,No,AOC
2.0,119488.0,M/s Jamwal nxt gen energy solutions,22-Mar-2019 10:58 AM,Accepted-AOC,bidder was lowest (L1),15-Jun-2019 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money Deposited (EMD) in prescribed form duly pledged,,,,,,,,,,,AOC
3.0,119471.0,Sourab Kuthiala,21-Mar-2019 08:54 PM,Rejected-AOC,bidder was L2,15-Jun-2019 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid registration certificate in HPPWD(E) in appropriate class,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST certificate,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF certificate,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest income tax return,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bidding Document (Form-8) on judicial papers duly signed,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill Of Quantities (BOQ),,,,,,,,,,,AOC
