Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Er Ravi Bhatti,Internal,Sh Paramjit Singh Grover DAO Sh Ved Prakash Sharma Supdt Gr-II Sh Heminder Sharma HDM,Ravi Bhatti,20-Feb-2019 02:54 PM,finsummary_38811.pdf (56.11 KB),28-Jun-2019,"INR 8,452,514",60.0,Satish Kumar,28-Jun-2019 05:06 PM,6.pdf (371.00 KB),Award Letter,PWD,2019_PWD_27269_1,No/PW/Ksli/CB/NIT 19-20 14591-96 dt 11-2-19,AMP for the year 2019-20 for SAKB road,Er Ravi Bhatti,Internal,Sh param Jit Singh Grover DAO Sh Ved Prakash Sharma Supdt GR-II Sh Hemender Sharma HDM,Ravi Bhatti,20-Feb-2019 12:09 PM,20-Feb-2019 12:15 PM,techsummary_38811.pdf (61.31 KB),Technical,Bid Opening Summary,Ravi Bhatti,20-Feb-2019 12:04 PM,technical_38811.pdf,1.0,113551.0,Asphalt Carpet Construction Company,19-Feb-2019 12:43 PM,Accepted-AOC,lowest tender,28-Jun-2019 05:06 PM,1.0,113551.0,Asphalt Carpet Construction Company,INR,"10,091,208",Finance,Financial Opening Summary,Ravi Bhatti,20-Feb-2019 02:52 PM,finance_38811.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),1.0,DD - Demand Draft,AMP for the year 2019-20 for SAKB road,"AMP for the year 2019-20 for SAKB road SH P/L Renewal coat by providing Bitumenious concrete in km 36/0 to, 44/0",Please refer Tender documents. ,NA ,"84,52,514",Civil Works,NA ,Tender,90.0,60.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,PWD,No/PW/Ksli/CB/NIT 19-20 14591-96 dt 11-2-19,2019_PWD_27269_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,17,100",Yes,fixed,,EE Kasauli,Kasauli,13-Feb-2019 04:00 PM,20-Feb-2019 11:00 AM,13-Feb-2019 04:30 PM,20-Feb-2019 10:00 AM,NA ,NA ,13-Feb-2019 04:30 PM,20-Feb-2019 10:00 AM,20-Feb-2019 12:15 PM,"2,000",EE Kasauli,Kasauli,Yes,EE Kasauli,EE HPPWD Kasauli,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,113593.0,Ravinder Kumar Gupta,19-Feb-2019 02:52 PM,Rejected-AOC,not lowest,28-Jun-2019 05:06 PM,,,,,,,,,,,,AOC,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Sales tax registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
