Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Bid Opening Summary,Ravi Bhatti,08-Mar-2019 11:34 AM,finance_39624.pdf,BOQ Comparative Chart,1.0,117347.0,Asphalt Carpet Construction Company,INR,"2,875,388",Technical,Bid Opening Summary,Ravi Bhatti,07-Mar-2019 01:38 PM,technical_39624.pdf,1.0,117347.0,Asphalt Carpet Construction Company,06-Mar-2019 01:14 PM,Accepted-AOC,Lowest tender,28-Jun-2019 05:26 PM,28-Jun-2019,"INR 2,339,095",30.0,Satish Kumar,28-Jun-2019 05:26 PM,9.pdf (371.00 KB),Award,Er Ravi Bhatti,Internal,Sh Paramjit Singh Grover DAO Sh Hemender Sharma HDM Sh Ved Prakash Sharma Supdt Gr-II,Ravi Bhatti,08-Mar-2019 11:35 AM,finsummary_39624.pdf (51.68 KB),Er Ravi Bhatti,Internal,Sh Paramjit Singh Grover DAO Sh Hemender Sharma HDM Sh Ved Prakash Sharma Supdt Gr-II,Ravi Bhatti,07-Mar-2019 02:13 PM,07-Mar-2019 02:30 PM,techsummary_39624.pdf (58.85 KB),PWD,2019_PWD_27752_1,No/PW/Ksli/CB/18-19-15036-45 dt 18/2/19,Maintence of Gandi gram to Traol road via Gree hill in km 0/0 to 8/00,AOC,500.0,EE Kasauli,Kasauli,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),PWD,No/PW/Ksli/CB/18-19-15036-45 dt 18/2/19,2019_PWD_27752_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"12,600",Yes,fixed,,EE HPPWD Kasauli,Kasauli,EE Kasauli,EE HPPWD Kasauli,22-Feb-2019 05:40 PM,07-Mar-2019 11:00 AM,22-Feb-2019 05:50 PM,07-Mar-2019 10:30 AM,NA ,NA ,22-Feb-2019 05:50 PM,07-Mar-2019 10:30 AM,07-Mar-2019 02:30 PM,1.0,DD - Demand Draft,Maintence of Gandi gram to Traol road via Gree hill in km 0/0 to 8/00,Maintenance of Gandhi gram to troll via green hill road in km 0/0 to 8/0 SH P/L renewal coat by providing Butumenous concrete in km 0/0 to 3/00,Please refer Tender documents. ,NA ,"23,39,095",Civil Works,NA ,Tender,90.0,30.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,117361.0,Ravinder Kumar Gupta,06-Mar-2019 02:05 PM,Rejected-AOC,not lowest,28-Jun-2019 05:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Sales tax registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
