EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"1,30,000",Yes,fixed,,EE Nerwa,Nerwa,Er.S.C.Sharma,EE IPH Division Nerwa,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Tender fees As per NIT,800.0,EE Nerwa,Nerwa,No,03-Dec-2018 01:00 PM,19-Dec-2018 11:30 AM,03-Dec-2018 01:00 PM,18-Dec-2018 06:00 PM,NA ,NA ,03-Dec-2018 01:00 PM,18-Dec-2018 06:00 PM,28-Jan-2019 04:15 PM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Nerwa,Irrigation and Public Health,HP",IPH-ND-CB-TENDER /NIT/2018-19/ -6310-60dt1.12.18,2018_HPIPH_25081_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Providing GWSS LWSS from Charoli Khad to Taprola Gar Charoli, Juru ahalal, Kulag and Chunduli Khad to Chadwan Ghar , Noura, Boura and Chundli in Tehsil Chopal Dist Shimla",CO intake tanks 18 No water storage tank of various capacity Excavation and laying of GMS tubes of various Dia for Gravity main and distribution system and Providing Barbed wire fencing around the civil works,Please refer Tender documents. ,NA ,"97,54,035",Civil Works,NA ,Tender,120.0,NA ,GP Noura Boura,171217.0,NA ,NA ,NA ,IPH Division Nerwa,No ,No,AOC,Technical,Technical Summary attached,Subash Chander Sharma,25-Jan-2019 01:25 PM,technical_35088.pdf,Finance,Summary Attached,Subash Chander Sharma,28-Jan-2019 04:49 PM,finance_35088.pdf,BOQ Comparative Chart,15-Jun-2019,"INR 9,754,035",730.0,Bhim Singh Rajput,15-Jun-2019 02:43 PM,charoliaward.pdf (700.00 KB),1.0,103701.0,akash,18-Dec-2018 03:29 PM,Accepted-AOC,L1,15-Jun-2019 02:43 PM,Er. S.C.Sharma,Internal,TA Sr. Assistant (AB) HDM AE to EE,Subash Chander Sharma,28-Jan-2019 04:08 PM,28-Jan-2019 04:15 PM,techsummary_35088.pdf (917.26 KB),Er. B.S.Rajput,Internal,AE DHD Supdt Sr. Asstt. TA,Bhim Singh Rajput,17-May-2019 01:19 PM,finsummary_35088.pdf (482.60 KB),1.0,103701.0,akash,INR,"10,004,117","HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Nerwa,Irrigation and Public Health,HP",2018_HPIPH_25081_1,IPH-ND-CB-TENDER /NIT/2018-19/ -6310-60dt1.12.18,"Providing GWSS LWSS from Charoli Khad to Taprola Gar Charoli, Juru ahalal, Kulag and Chunduli Khad to Chadwan Ghar , Noura, Boura and Chundli in Tehsil Chopal Dist Shimla",AOC
,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money As per NIT,,,,,,,,,,,,,,2.0,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,103675.0,Geeta Ram Thakur,18-Dec-2018 11:29 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Jan-2019 01:25 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Registration with IPH as per NIT,,,,,,,,,,,,,,3.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3.0,103625.0,Rahul Pandey,18-Dec-2018 02:46 PM,Rejected-AOC,L2,15-Jun-2019 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Registration with EPF/ESIS as per NIT,,,,,,,,,,,,,,4.0,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,DSC Authorisation as per NIT,,,,,,,,,,,,,,5.0,Certificate Details ,Labour License ,Labour License ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,"GST Registration,Income tax clearance pan card TIN no as per NIT",,,,,,,,,,,,,,6.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Affidavit regarding bidder/ firm should not have more than two incomplete works under this circle,,,,,,,,,,,,,,7.0,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Affidavit that the firm has not been black listed by Govt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,List Of similar nature of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,2.0,Finance,.xls,Schedule of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
