Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Er. S.K Dhadwal,Internal,Sh.Joginder Pal Sr. Asstt. Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sanjiv Mahajan,05-Mar-2019 06:52 PM,finsummary_37214.pdf (784.05 KB),23-Jun-2019,"INR 999,544",90.0,Sushil Kumar Dhadwal,23-Jun-2019 04:53 PM,1AMP201920.pdf (433.00 KB),Shri Navneet Thakur,PWD,2019_PWD_26350_1,8901-04,Periodic maintenance of Chetru Sheela Dari Road Km 0/0 to 6/600 under AMP 2019-20 Rural Road in Distt. Kangra HP,Er. S.K Dhadwal,Internal,Sh.Joginder Pal Sr. Asstt. Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sanjiv Mahajan,20-Feb-2019 04:15 PM,20-Feb-2019 04:30 PM,techsummary_37214.pdf (784.05 KB),Technical,Chairman Er S.K.Dhadwal EE Committee Members Sh.Joginder Pal Sr. Asstt. Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sanjiv Mahajan,20-Feb-2019 03:57 PM,technical_37214.pdf,1.0,111676.0,Navneet Thakur,09-Feb-2019 07:29 PM,Accepted-AOC,Lowest bidder,23-Jun-2019 04:53 PM,Finance,Chairman Er S.K.Dhadwal EE Committee Members Sh.Joginder Pal Sr. Asstt. Sh. Ashok KumarSupdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sanjiv Mahajan,05-Mar-2019 01:26 PM,finance_37214.pdf,BOQ Comparative Chart,1.0,111676.0,Navneet Thakur,INR,"999,544",AOC,PWD,8901-04,2019_PWD_26350_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,29-Jan-2019 10:00 AM,11-Feb-2019 11:30 AM,29-Jan-2019 10:00 AM,11-Feb-2019 11:00 AM,NA ,NA ,29-Jan-2019 10:00 AM,11-Feb-2019 11:00 AM,20-Feb-2019 04:30 PM,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,350.0,EE Dharamshala,Dharamshala,No,"14,900",No,fixed,,EE Dharamshala,Dharamshala,1.0,DD - Demand Draft,Periodic maintenance of Chetru Sheela Dari Road Km 0/0 to 6/600 under AMP 2019-20 Rural Road in Distt. Kangra HP,Periodic maintenance of Chetru Sheela Dari Road Km 0/0 to 6/600 under AMP 2019-20 Rural Road in Distt. Kangra HP S/H - P/L 25mm thick bituminous concrete laying with paver finisher in km 0/0 to 1/00,Please refer tender document ,NA ,"7,44,118",Civil Works - Roads,NA ,Tender,120.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,111717.0,Singh,10-Feb-2019 09:26 AM,Rejected-Finance,Due to higher amt.,05-Mar-2019 06:52 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (General rule 21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery including Hot Mix plant with proof of ownership i.e RCs etc. and staff,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper (General rule 26.7),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished is correct,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
