Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Tender Stage
EE Hamirpur,Executive Engineer HPPWD Division Hamirpur,1.0,DD - Demand Draft,PWD,AMP Various Roads under Hamirpur Sub-Division,2018_PWD_20864_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,24,700",No,fixed,,EE Hamirpur,EE Hamirpur,"4,500",EE Hamirpur,EE Hamirpur,No,25-Apr-2018 10:00 AM,07-May-2018 03:00 PM,25-Apr-2018 10:00 AM,07-May-2018 10:30 AM,NA ,NA ,25-Apr-2018 10:00 AM,07-May-2018 10:30 AM,12-May-2018 11:30 AM,Annual Maintenance Plan for the Year 2018-2019 of Various Roads under Hamirpur Sub-Division,Hira Nagar to Hathli khad via Main Bazar Hamirpur road km 0/0 to 3/0 Sasan to Baleta Khurd road km 7/0 to 8/0 Ghori to Baddu road km 5/0 to 6/0 Pharnol Dalyahu road km 1/0 to 2/0,Tuklera Laleen road km. 1/0 to 2/0 Sasan to Khaggal road km. 0/0 to 1/0 Masyana Kaswar road km 0/0 to1/0 Ghori to Karara road Km 1/0 to 1/800 Link road to Guhal road km 3/0 to 4/0 and 6/0 to 6/500 Link road to ,NA ,"92,17,840",Civil Works - Roads,NA ,Tender,120.0,60.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,AOC,Finance,Attached,Santosh Kumar Katoch,29-Apr-2019 03:52 PM,finance_29487.pdf,BOQ Comparative Chart,1.0,83631.0,gov. contractor,06-May-2018 10:41 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,12-May-2018 11:13 AM,Technical,Attached,Narinder Paul Singh Chauhan,12-May-2018 11:13 AM,technical_29487.pdf,PWD,2018_PWD_20864_1,AMP Various Roads under Hamirpur Sub-Division,Annual Maintenance Plan for the Year 2018-2019 of Various Roads under Hamirpur Sub-Division,EE Hamirpur,Internal,SupdtHDMAEtoEESupdtAB,Narinder Paul Singh Chauhan,12-May-2018 11:22 AM,12-May-2018 11:30 AM,techsummary_29487.pdf (210.75 KB),AOC
,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,AOC,,,,,,,2.0,83635.0,Praveen Kumar,06-May-2018 11:21 PM,Accepted-AOC,l1,04-Jun-2019 07:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,AOC,,,,,,,3.0,83641.0,Shashank Jagota Govt. Contractor,07-May-2018 09:27 AM,Rejected-AOC,l2,04-Jun-2019 07:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turn Over of last five year,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,similar work done of amount not less than 40 persent,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Required paver Machine and Mini Hot Plant,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
