Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Technical Bid Opening Summary,Rajeev Kumar Mahajan,01-Sep-2017 01:29 PM,technical_23791.pdf,Finance,Financial Bid Opening Summary,Rajeev Kumar Mahajan,01-Sep-2017 03:42 PM,finance_23791.pdf,BOQ Comparative Chart,14-Jun-2019,"INR 1,000,203",180.0,Mandeep Gupta,14-Jun-2019 04:36 PM,AOC.pdf (1202.00 KB),Award,1.0,66511.0,Bhaw Singh,25-Aug-2017 07:30 PM,Rejected-Finance,Rejected,14-Jun-2019 04:33 PM,Er. Rajeev Kumar E.E.,Internal,Supdt Gr Ii HDM DAO Tender Asstt.,Rajeev Kumar Mahajan,01-Sep-2017 03:06 PM,01-Sep-2017 03:10 PM,techsummary_23791.pdf (58.90 KB),"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",2017_HPIPH_17558_1,IPH-DN-CB-TA-Tender/2017-18- 6691-6750 dt 2-8-17,Augmentation of LWSS Tikker Ser Baral and Koti Charwag in GP Sarahan and Bag Pashog in Tehsil Pachhad Distt. Sirmour HP,1.0,66502.0,M/S Sharma Enterpirses,INR,"1,363,959",Er,Internal,HDM TA AE EE,Mandeep Gupta,14-Jun-2019 04:33 PM,finsummary_23791.pdf (1201.99 KB),AOC,Executive Engineer IPH Division NAhan,Executive Engineer IPH Division NAhan,400.0,Executive Engineer IPH Division NAhan,Nahan,No,05-Aug-2017 03:00 PM,26-Aug-2017 11:30 AM,05-Aug-2017 03:00 PM,26-Aug-2017 11:00 AM,NA ,NA ,05-Aug-2017 03:00 PM,26-Aug-2017 11:00 AM,01-Sep-2017 03:10 PM,1.0,Fee/PreQual/Technical,.pdf,Earnest Money,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",IPH-DN-CB-TA-Tender/2017-18- 6691-6750 dt 2-8-17,2017_HPIPH_17558_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Augmentation of LWSS Tikker Ser Baral and Koti Charwag in GP Sarahan and Bag Pashog in Tehsil Pachhad Distt. Sirmour HP,"Supply and errertion of centrifugal pumping machinery with allied accessories and Providing, laying, jointing, testing and commissioning of MSERW pipe in Rising main 80mm dia with flanges",Please refer Tender documents. ,NA ,"10,00,203",Pipe Laying Works,NA ,Tender,120.0,180.0,Nahan,173001.0,NA ,NA ,NA ,Executive Engineer IPH Division NAhan,No ,No,1.0,DD - Demand Draft,"20,100",Yes,fixed,,Executive Engineer IPH Division NAhan,Nahan,AOC
,,,,,,,,,,,,,,,,,,2.0,66074.0,GREWALSUBMERSIBLE AND ELECTRICAL SERVICE,25-Aug-2017 02:01 PM,Rejected-Finance,Rejected,14-Jun-2019 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3.0,66502.0,M/S Sharma Enterpirses,26-Aug-2017 06:29 AM,Accepted-AOC,AOC,14-Jun-2019 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Registration in HPIPH deptt in valid class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,,,4.0,66514.0,shiv iron general engineers,25-Aug-2017 09:34 PM,Rejected-Finance,Rejected,14-Jun-2019 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,UNdertaking Joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,5.0,66505.0,Surjeet Singh Thakur,25-Aug-2017 06:48 PM,Rejected-Finance,Rejected,14-Jun-2019 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Dealership/sub dealership of pumping machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Undertaking of the curve charts along with selection of pumps and motors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
