Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,ATTACHED,Maan Singh,01-Mar-2019 04:03 PM,finance_38967.pdf,Technical,ATTACH,Maan Singh,01-Mar-2019 03:31 PM,technical_38967.pdf,1.0,113916.0,PUNEET GOVT CONT,20-Feb-2019 04:14 PM,Rejected-Finance,OK,23-Apr-2019 07:48 PM,MAAN SINGH,Internal,ALL,Maan Singh,23-Apr-2019 07:48 PM,finsummary_38967.pdf (266.73 KB),PWD,2019_PWD_27358_1,PW-KSG-E-TEER/2018-1912726-31,"Periodical maintenance on Chalog to Kandi road V-035 (Sub Head Providing and laying 25mm bituminous concrete, V-shaped drain in Km. 2/0 to 5/0)",MAAN SINGH,Internal,,Maan Singh,01-Mar-2019 03:35 PM,01-Mar-2019 03:40 PM,techsummary_38967.pdf (253.23 KB),AOC,1.0,DD - Demand Draft,"1,500",EE KARSOG,KARSOG,No,PWD,PW-KSG-E-TEER/2018-1912726-31,2019_PWD_27358_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"45,200",Yes,fixed,,EE KARSOG,KARSOG,EE KARSOG,EE KARSOG,"Periodical maintenance on Chalog to Kandi road V-035 (Sub Head Providing and laying 25mm bituminous concrete, V-shaped drain in Km. 2/0 to 5/0)","Periodical maintenance on Chalog to Kandi road VR-035 (Sub Head- Providing and laying 25mm bituminous concrete, V-shaped drain in Km. 2/0 to 5/0)",Please refer Tender documents. ,NA ,"25,09,238",Civil Works,NA ,Tender,60.0,365.0,KARSOG,175011.0,NA ,NA ,NA ,EE KARSOG,No ,No,15-Feb-2019 09:00 AM,21-Feb-2019 10:00 AM,15-Feb-2019 09:00 AM,20-Feb-2019 05:00 PM,NA ,NA ,15-Feb-2019 09:00 AM,20-Feb-2019 05:00 PM,01-Mar-2019 03:40 PM,AOC
,,,,,,,,,,2.0,113883.0,SURESH SHARMA GOVT CONTRACTOR,20-Feb-2019 03:03 PM,Accepted-AOC,OK,14-Jun-2019 05:46 PM,,,,,,,,,,,,,,,,,,AOC,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,.pdf,EMD Indicated In Schedule F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding No Relative Working in PWD Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Detail Litigation Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
