EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"29,200",No,fixed,,"EE B and R Divn. HPPWD, Joginder Nagar",Joginder Nagar,500.0,"EE B and R Divn. HPPWD, Joginder Nagar",Joginder Nagar,No,PWD,PW-JND-B and R-EA-I-NIT- 26487-26586 dt.20.02.2019,2019_PWD_28188_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Periodical maintenance of Kaflaun Khetru road (VR0081) (PMGSY road) under Annual Maintenance Plan 2019-20,"Providing and laying built-up spray grout, bituminous concrete in Km. 2/0 to 4/0",As per bid documents ,NA ,"14,59,562",Civil Works - Roads,NA ,Tender,120.0,90.0,Joginder Nagar,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),06-Mar-2019 10:00 AM,19-Mar-2019 11:30 AM,06-Mar-2019 10:00 AM,18-Mar-2019 05:00 PM,NA ,NA ,06-Mar-2019 10:00 AM,18-Mar-2019 05:00 PM,27-Mar-2019 11:00 AM,Executive Engineer,"Executive Engineer, B and R Division, HPPWD, Joginder Nagar",AOC,1.0,118853.0,ANURAG SHARMA,INR,"1,828,508",Finance,fbosummary,Bhag Mal Thakur,27-Mar-2019 03:40 PM,finance_40287.pdf,BOQ Comparative Chart,1.0,118853.0,ANURAG SHARMA,18-Mar-2019 01:49 PM,Accepted-AOC,AOC,15-Jun-2019 12:44 PM,Technical,summary,Bhag Mal Thakur,22-Mar-2019 12:17 PM,technical_40287.pdf,Er. B.M.Thakur,Internal,AE Joginder Nagar Sr.DAO Supdt. HDM,Bhag Mal Thakur,26-Mar-2019 01:10 PM,27-Mar-2019 11:00 AM,techsummary_40287.pdf (305.25 KB),PWD,2019_PWD_28188_1,PW-JND-B and R-EA-I-NIT- 26487-26586 dt.20.02.2019,Periodical maintenance of Kaflaun Khetru road (VR0081) (PMGSY road) under Annual Maintenance Plan 2019-20,14-Jun-2019,"INR 1,828,508",90.0,Bhag Mal Thakur,15-Jun-2019 12:44 PM,AOC28188.pdf (429.00 KB),AOC,Er. B.M.Thakur,Internal,AE Lad Bharol Sr.DAO Supdt. HDM,Bhag Mal Thakur,11-Apr-2019 02:56 PM,finsummary_40287.pdf (345.43 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,118792.0,G.P.ACHARYA,18-Mar-2019 03:14 PM,Rejected-Finance,L-2,11-Apr-2019 02:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,118878.0,yudhbir infrastructure private limited,18-Mar-2019 02:09 PM,Rejected-Finance,L-3,11-Apr-2019 02:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Workdone and workinhand detail/existing comm.(Gen.Rule No.19)Mini amount of work done as per Sch.F,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
