Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",2018_HPIPH_23724_1,7966-92 dated 22.09.2018,"C,O LIS Noura in Tehsil Palampur District Kangra HP SH, C,O Pump house, RCC Desiliting tank, C,O RCC Collection tank , C,O Main Over Head D,Tank 15000 Ltrs.Cap. etc.",1.0,97963.0,Sanjay Kumar,INR,"3,845,446.1",Executive Engineer,Internal,"DAO,Supdtt,TenderAsstt,AEtoEE,HDM",Anil Kumar,14-Jun-2019 05:13 PM,finsummary_33163.pdf (350.15 KB),1.0,97953.0,MADAN KATOCH,16-Oct-2018 01:38 PM,Rejected-AOC,accept,14-Jun-2019 05:17 PM,Executive Engineer,Internal,"Supdtt,HDM,DAO,AEtoEE",Suresh Mahajan,03-Nov-2018 03:12 PM,03-Nov-2018 03:15 PM,techsummary_33163.pdf (350.41 KB),Technical,3 Nos contractor bids downloaded sucessfully summary attached,Suresh Mahajan,03-Nov-2018 03:11 PM,technical_33163.pdf,Finance,summary,Rohit Dubey,13-Nov-2018 04:22 PM,finance_33163.pdf,BOQ Comparative Chart,14-Jun-2019,"INR 3,462,732",180.0,Anil Kumar,14-Jun-2019 05:17 PM,Awardletter.pdf (232.00 KB),Sh. Sanjay Kumar Govt Cont . Village Uttrehar PO Bhawarna. Tehsil Palampur District Kangra ( HP ),AOC,"C,O LIS Noura in Tehsil Palampur District Kangra HP SH, C,O Pump house, RCC Desiliting tank, C,O RCC Collection tank , C,O Main Over Head D,Tank 15000 Ltrs.Cap. etc.","C,O LIS Noura in Tehsil Palampur District Kangra HP SH, C,O Pump house, RCC Desiliting tank, C,O RCC Collection tank , C,O Main Over Head D,Tank 15000 Ltrs.Cap. etc.",Please refer Tender documents. ,NA ,"30,77,522",Civil Works - Others,NA ,Tender,120.0,180.0,"C,O LIS Noura in Tehsil Palampur District Kangra H",176107.0,NA ,NA ,NA ,O/O The Executive Engineer IPH Division Thural,No ,No,Executive Engineer IPH Division Thural,O/O The Executive Engineer IPH Division Thural,24-Sep-2018 05:00 PM,27-Oct-2018 11:30 AM,24-Sep-2018 05:00 PM,26-Oct-2018 05:00 PM,NA ,NA ,24-Sep-2018 05:00 PM,26-Oct-2018 05:00 PM,03-Nov-2018 03:15 PM,"53,660",Yes,fixed,,Executive Engineer IPH Division Thural,Executive Engineer IPH Division Thural,1.0,Extende date,Date,,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",7966-92 dated 22.09.2018,2018_HPIPH_23724_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,400.0,Executive Engineer IPH Division Thural,Executive Engineer IPH Division Thural,No,1.0,Fee/PreQual/Technical,.pdf,"i) Earnest money only in the shape of small saving instruments, bankers cheque, demand draft or fixe",AOC
,,,,,,,,,,,,,,,2.0,97963.0,Sanjay Kumar,16-Oct-2018 03:54 PM,Accepted-AOC,accept,14-Jun-2019 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,.pdf,ii) Cost of tender form in the shape of Demand Draft Work Rs.400/-,AOC
,,,,,,,,,,,,,,,3.0,97956.0,Vijay,16-Oct-2018 02:07 PM,Rejected-AOC,accept,14-Jun-2019 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,.pdf,iii) Certificate of Registration with IPH Department in appropriate class and latest renewal thereo,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,,,,,.pdf,"iv) Income Tax ,Sales Tax,GST registration and latest clearance certificate thereof.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,,,,,.pdf,v) The list of works of the similar nature executed by the intending contractors/Firms along with p,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,vii) Registration copy of EPF,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,viii) Copy of GST No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ix) Undertaking,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form6,AOC
