Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
27-Feb-2019 03:00 PM,14-Mar-2019 11:00 AM,27-Feb-2019 04:00 PM,13-Mar-2019 05:00 PM,NA ,NA ,27-Feb-2019 04:00 PM,13-Mar-2019 05:00 PM,14-Mar-2019 04:15 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),1.0,DD - Demand Draft,"2,000",EE HPPWD Kasauli,Kasauli,No,"43,600",Yes,fixed,,EE HPPWD Kasauli,Kasauli,AMP for the year 2019-20 for Bhat Ki Hatti Rampur kuthar road in km 0/0 to 22/585,AMP for the year 2019-20 for Bhati Ki hatti Rampur Kuthar road in km 0/0 to 22/585 SH P/L renewal coat by Providing Bitumenious concrete in km 7/0 to 10/0,Please refer Tender documents. ,NA ,"24,05,229",Civil Works,NA ,Tender,90.0,60.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,EE Kasauli HPPWD kasauli,EE HPPWD Kasauli,PWD,No/PW/Ksli/CB-14355-65dt 5/2/19,2019_PWD_27912_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Er Ravi Bhatti,Internal,Sh Paramjit Singh Grover DAO Sh Hemender Sharma HDM Sh Ved Prakash sharma supdt Gr-II,Ravi Bhatti,14-Mar-2019 04:05 PM,14-Mar-2019 04:15 PM,techsummary_39866.pdf (62.15 KB),PWD,2019_PWD_27912_1,No/PW/Ksli/CB-14355-65dt 5/2/19,AMP for the year 2019-20 for Bhat Ki Hatti Rampur kuthar road in km 0/0 to 22/585,28-Jun-2019,"INR 2,405,229",60.0,Satish Kumar,28-Jun-2019 05:01 PM,5.pdf (238.00 KB),Award Letter,Er Ravi Bhatti,Internal,Sh Paramjit Singh Grover DAO Sh Hemender sharma HDM Sh Ved Prakash Sharma Supdt Gr-II,Ravi Bhatti,14-Mar-2019 04:46 PM,finsummary_39866.pdf (56.43 KB),1.0,118357.0,Asphalt Carpet Construction Company,13-Mar-2019 01:39 PM,Accepted-AOC,lowest tender,28-Jun-2019 05:01 PM,Technical,Bid Opening Summary,Ravi Bhatti,14-Mar-2019 03:55 PM,technical_39866.pdf,Finance,Financial Summary,Ravi Bhatti,14-Mar-2019 04:44 PM,finance_39866.pdf,BOQ Comparative Chart,1.0,118357.0,Asphalt Carpet Construction Company,INR,"2,919,151",AOC
,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,118379.0,Ravinder Kumar Gupta,13-Mar-2019 02:28 PM,Rejected-AOC,not lowest,28-Jun-2019 05:01 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Sales tax registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,2.0,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
