Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,PW/BGN/CB/T-I/2018-19-16450-62 dt 24.01.2019,2019_PWD_27105_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,"11,100",No,fixed,,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,11-Feb-2019 05:00 PM,18-Feb-2019 11:30 AM,11-Feb-2019 05:00 PM,16-Feb-2019 05:00 PM,NA ,NA ,11-Feb-2019 05:00 PM,16-Feb-2019 05:00 PM,02-Mar-2019 04:00 PM,RRDon Una Aghar Mandi road km4000 to19000 SHC/O Breast Wall in km. 17/200 to 17/316),RRDon Una Aghar Mandi road km4000 to19000 SHC/O Breast Wall in km. 17/200 to 17/316),Please refer Tender documents. ,NA ,"5,50,054",Civil Works - Roads,NA ,Tender,120.0,30.0,Bangana,174307.0,NA ,NA ,NA ,Executive Engineer HPWD Bangana,No ,No,350.0,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,No,AOC,1.0,113175.0,Ram,INR,"672,885",Finance,tenderopeningsummary,Ram Saroop Kalia,10-Jun-2019 04:40 PM,None,BOQ Comparative Chart,1.0,113073.0,Ashok Kumar,16-Feb-2019 03:00 PM,Rejected-Finance,Reject due to higher side from L-1,10-Jun-2019 04:43 PM,Technical,bid openingsummary,Ram Saroop Kalia,02-Mar-2019 01:55 PM,None,EE,Internal,GASupdtHDMDAOAE,Ram Saroop Kalia,02-Mar-2019 01:57 PM,02-Mar-2019 04:00 PM,techsummary_38580.pdf (104.26 KB),PWD,2019_PWD_27105_1,PW/BGN/CB/T-I/2018-19-16450-62 dt 24.01.2019,RRDon Una Aghar Mandi road km4000 to19000 SHC/O Breast Wall in km. 17/200 to 17/316),10-Jun-2019,"INR 550,054",30.0,Ram Saroop Kalia,10-Jun-2019 04:45 PM,27105.pdf (137.00 KB),Award letter,EE,Internal,GASupdtHDADAOAE,Ram Saroop Kalia,10-Jun-2019 04:43 PM,finsummary_38580.pdf (136.93 KB),AOC
,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,113175.0,Ram,16-Feb-2019 03:17 PM,Accepted-AOC,Accept due to L-1,10-Jun-2019 04:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,113104.0,Vipan Sharma,16-Feb-2019 04:56 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,02-Mar-2019 01:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool Plant with proof of ownership or legal tie-up and list of laboratory equipmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No.16 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
