EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"28,635",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,Executive Engineer IPH Division Nahan,Executive Engineer IPH Division Nahan,400.0,Executive Engineer IPH Division Nahan,Nahan,No,21-Aug-2017 03:00 PM,04-Sep-2017 11:30 AM,21-Aug-2017 03:00 PM,04-Sep-2017 11:00 AM,NA ,NA ,21-Aug-2017 03:00 PM,04-Sep-2017 11:00 AM,05-Sep-2017 04:15 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Earnest Money,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",IPH-DN-CB-TA-Tender/2017-18- 6069-6140 Dt 20/07/17,2017_HPIPH_17435_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Annual Repair and maintenance of pumping machinery along-with allied accessories upto 5 mtrs from the outer wall of the scheme under IPH Sub Division Nahan Section Bikram Bag Tehsil Nahan Distt. Sirmour HP,AMC,Please refer Tender documents. ,NA ,"14,31,750",Repair and Maintenance Works,AMC ,Tender,120.0,1095.0,Nahan,173001.0,NA ,NA ,NA ,Executive Engineer IPH Division Nahan,No ,No,AOC,Er,Internal,HDM AE TA EE,Mandeep Gupta,14-Jun-2019 04:39 PM,finsummary_24057.pdf (1083.78 KB),"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",2017_HPIPH_17435_3,IPH-DN-CB-TA-Tender/2017-18- 6069-6140 Dt 20/07/17,Annual Repair and maintenance of pumping machinery along-with allied accessories upto 5 mtrs from the outer wall of the scheme under IPH Sub Division Nahan Section Bikram Bag Tehsil Nahan Distt. Sirmour HP,1.0,66961.0,Basti Ram,INR,"1,650,000",Er. Rajeev Kumar E.E.,Internal,Supdt Gr II HDM DAO Tender Asstt.,Rajeev Kumar Mahajan,05-Sep-2017 04:12 PM,05-Sep-2017 04:15 PM,techsummary_24057.pdf (58.31 KB),1.0,66961.0,Basti Ram,04-Sep-2017 09:58 AM,Accepted-AOC,AOC,14-Jun-2019 04:40 PM,Finance,Finanacial Bid Opening Summary,Rajeev Kumar Mahajan,05-Sep-2017 04:49 PM,finance_24057.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Rajeev Kumar Mahajan,05-Sep-2017 04:08 PM,technical_24057.pdf,14-Jun-2019,"INR 1,431,750",1095.0,Mandeep Gupta,14-Jun-2019 04:40 PM,AOC.pdf (1084.00 KB),Award,AOC
,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,.pdf,Cost of Tender Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,66940.0,M/S Sharma Enterpirses,04-Sep-2017 05:39 AM,Rejected-Finance,Rejected,14-Jun-2019 04:39 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,.pdf,Registration in HPIPH Deptt. in valid class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3.0,66927.0,Thakur Shiv Kumar,02-Sep-2017 02:54 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Sep-2017 04:08 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax/TIN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Carefully study all terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of same kind of work and certificate of mechenical workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour HP Rule 1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
