Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Stage
Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Kangra Sub Division Sh. S.K. Dayal Sr. DAO Kangra Sh. Beldev Ram Pathania Supdt. Sh. Ajay Mahajan HDM Kangra Sh. kamaljit Singh Supdt. Sh. Prithvi Kumar T.A.,Subhash Chander,21-Jun-2019 03:21 PM,finsummary_38678.pdf (46.95 KB),PWD,2019_PWD_27172_24,26401-50 dated 05-02-2019,"Annual Maintenance Plan (AMP) of Gaggal Sub Division for the year 2019-2020 Rural Road link road Ketlu to Trembla (HP0413VR040) km. 1/0 to 2/0, 4/0 to 5/0, 5/0 to 5/200)",21-Jun-2019,"INR 1,496,945",30.0,Subhash Chander,21-Jun-2019 03:23 PM,Award.pdf (179.00 KB),Award,1.0,115194.0,NAVNEET SHARMA GOVT. CONTRACTOR,INR,"1,938,408",Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Kangra Sub Division Sh. S.K. Dayal Sr. DAO Kangra Sh. Beldev Ram Pathania Supdt. Sh. Ajay Mahajan HDM Kangra Sh. kamaljit Singh Supdt. Sh. Prithvi Kumar T.A.,Subhash Chander,13-May-2019 02:30 PM,13-May-2019 02:35 PM,techsummary_38678.pdf (120.84 KB),Technical,Opened,Subhash Chander,13-May-2019 12:04 PM,technical_38678.pdf,1.0,115194.0,NAVNEET SHARMA GOVT. CONTRACTOR,27-Feb-2019 04:28 PM,Accepted-AOC,Award,21-Jun-2019 03:23 PM,Finance,Opened,Subhash Chander,21-Jun-2019 03:17 PM,finance_38678.pdf,BOQ Comparative Chart,AOC,14-Feb-2019 10:00 AM,28-Feb-2019 11:30 AM,14-Feb-2019 10:00 AM,28-Feb-2019 11:00 AM,NA ,NA ,14-Feb-2019 10:00 AM,28-Feb-2019 11:00 AM,13-May-2019 02:35 PM,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra","Annual Maintenance Plan (AMP) of Gaggal Sub Division for the year 2019-2020 Rural Road link road Ketlu to Trembla (HP0413VR040) km. 1/0 to 2/0, 4/0 to 5/0, 5/0 to 5/200)","(SH- P/L 25mm thick bituminous concrete in km. 1/0 to 2/0, 4/0 to 5/0, 5/0 to 5/200)",Please refer Tender documents. ,NA ,"14,96,945",Civil Works - Roads,NA ,Tender,120.0,30.0,Items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F,"29,950",No,fixed,,"Executive Engineer, HP.PWD., Division, Kangra",Kangra,500.0,"Executive Engineer, HP.PWD., Division, Kangra",Kangra,No,PWD,26401-50 dated 05-02-2019,2019_PWD_27172_24,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,116263.0,Navneet Thakur,27-Feb-2019 05:17 PM,Rejected-Finance,Rate quoted higher side of L1,21-Jun-2019 03:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery tool plant shown in schedule-F (Sr. No. 6.19)Refer clause-18,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule-23),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Number (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
