Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,Financial Summary,Kishore Kumar Sharma,20-Jul-2018 10:30 AM,finance_30650.pdf,BOQ Comparative Chart,1.0,87880.0,Bharat Kapoor,INR,"137,737,168",Technical,Technical Bid Summary,Kishore Kumar Sharma,06-Jul-2018 12:46 PM,technical_30650.pdf,1.0,87880.0,Bharat Kapoor,30-Jun-2018 04:30 PM,Accepted-AOC,L1,21-Jun-2019 05:23 PM,21-Jun-2019,"INR 137,737,168",730.0,Jagesh Vaidya,21-Jun-2019 05:23 PM,AOC_CH_BAGSAID.pdf (262.00 KB),No. PW-SRJ.DIV./EA-I/Tenders/E-Tender/BSD(CH Bagsaid)/2018- 1394-1407 dated 31-08-2018.,Er K.K. Sharma,Internal,Er. Bishwjeet Singh AE Gohar Sub Division Sh. Rattan Lal Supdt Gr.II Gohar Division Sh. Pratap Singh Head Draughtsman Gohar Division,Jagesh Vaidya,21-Jun-2019 05:16 PM,finsummary_30650.pdf (113.85 KB),ErKKSharmaXen,Internal,"BishwajeetSinghAE, PratapSinghHPD, RattanLalSupdt",Kishore Kumar Sharma,06-Jul-2018 12:49 PM,06-Jul-2018 01:00 PM,techsummary_30650.pdf (1323.38 KB),PWD,2018_PWD_21717_1,PW-GHR-CB-NIT/2018-19- 4016-75 Dt. 24-5-2018,"(A)Construction of 50 Bedded Civil Hospital at Bagsaid in District Mandi (H.P) (Sh C/o Building portion,W.S and S.I., Septic Tank including soak pit, Rain Water Harvesting System and Site Development). (B) Providing E.I. therein.",AOC,"5,00,000",No,fixed,,E.E. Gohar Division HPPWD,In Gohar Division HPPWD,1.0,Corrigendum regarding BOQ.,Financial Bid,,"(A)Construction of 50 Bedded Civil Hospital at Bagsaid in District Mandi (H.P) (Sh C/o Building portion,W.S and S.I., Septic Tank including soak pit, Rain Water Harvesting System and Site Development). (B) Providing E.I. therein.","(A)Construction of 50 Bedded Civil Hospital at Bagsaid in District Mandi (H.P) (Sh C/o Building portion,W.S and S.I., Septic Tank including soak pit, Rain Water Harvesting System and Site Development). (B) Providing E.I. therein.",As per tender document. ,NA ,"9,45,67,716",Civil Works - Buildings,NA ,Tender,120.0,730.0,In Gohar Division HPPWD,175029.0,NA ,NA ,NA ,O/o Executive Engineer Gohar Division HPPWD,No ,No,Executive Engineer Gohar Division HPPWD,O/o Executive Engineer Gohar Division HPPWD,"5,000",E.E. Gohar Division HPPWD,In Gohar Division HPPWD,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,PWD,PW-GHR-CB-NIT/2018-19- 4016-75 Dt. 24-5-2018,2018_PWD_21717_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,16-Jun-2018 09:00 AM,02-Jul-2018 11:30 AM,16-Jun-2018 09:00 AM,02-Jul-2018 11:00 AM,16-Jun-2018 09:00 AM ,25-Jun-2018 05:00 PM ,16-Jun-2018 09:00 AM,02-Jul-2018 11:00 AM,06-Jul-2018 01:00 PM,AOC
,,,,,,,,,,,,,,,,2.0,87909.0,Bhardwaj Brothers,30-Jun-2018 07:06 PM,Rejected-Technical,Rejected,06-Jul-2018 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,87903.0,Karam Dass Niraash,30-Jun-2018 06:33 PM,Rejected-Finance,L2,21-Jun-2019 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,87955.0,NARAIN DASS NAIK,02-Jul-2018 12:16 AM,Rejected-Technical,Rejected,06-Jul-2018 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST, EPF No., Sales Tax and Registration general rules No. 21",,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,87888.0,unipro,30-Jun-2018 05:14 PM,Rejected-Technical,Rejected,06-Jul-2018 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC
