Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
21-Jun-2019,"INR 823,018",90.0,Suresh Kumar Walia,22-Jun-2019 03:02 PM,Award.pdf.pdf.pdf (889.00 KB),Award,Dr Suresh Kumar Walia,Internal,JN Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Kartar Chand Supdt Gr II Account Vijay Sharma HDM,Suresh Kumar Walia,20-Feb-2019 04:57 PM,finsummary_36842.pdf (190.54 KB),Dr Suresh Kumar Walia,Internal,JN Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Kartar Chand Supdt Gr II Account Vijay Sharma HDM,Suresh Kumar Walia,20-Feb-2019 01:08 PM,20-Feb-2019 02:00 PM,techsummary_36842.pdf (624.26 KB),PWD,2019_PWD_26098_9,PWD Civil-8845-65-Tanda,Periodic maintenance of Hatwas to Massal road Km 0/000 to 1/000 under Annual Maintenance Plan for the year 2019-20 (HP0408VR158) in Distt. Kangra (H.P.),1.0,110451.0,VIRENDER PRASHAD SHARMA,INR,"823,018",Finance,Sum,Suresh Kumar Walia,20-Feb-2019 04:50 PM,finance_36842.pdf,BOQ Comparative Chart,Technical,Sum,Suresh Kumar Walia,20-Feb-2019 01:07 PM,technical_36842.pdf,1.0,110999.0,Sanjay Kumar,05-Feb-2019 05:35 PM,Rejected-AOC,L2,22-Jun-2019 03:02 PM,AOC,"12,890",No,fixed,,Executive Engineer HPPWD Division,Tanda at Nagrota Bagwan,Periodic maintenance of Hatwas to Massal road Km 0/000 to 1/000 under Annual Maintenance Plan for the year 2019-20 (HP0408VR158) in Distt. Kangra (H.P.),Providing and laying 25mm thick bitumen concrete with paver finisher complete in Km 0/000 to 1/000,Please refer Tender documents. ,NA ,"6,44,164",Civil Works - Roads,NA ,Rate Contract,120.0,90.0,TANDA,176002.0,NA ,NA ,NA ,EE Tanda at Nagrota Bagwan,No ,No,22-Jan-2019 05:15 PM,07-Feb-2019 11:30 AM,22-Jan-2019 05:15 PM,06-Feb-2019 05:15 PM,NA ,NA ,22-Jan-2019 05:15 PM,06-Feb-2019 05:15 PM,20-Feb-2019 02:00 PM,PWD,PWD Civil-8845-65-Tanda,2019_PWD_26098_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Executive Engineer,Executive Engineer HP PWD Division Tanda at Nagrota Bagwan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,350.0,Executive Engineer HPPWD Division,Tanda at Nagrota Bagwan,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,110451.0,VIRENDER PRASHAD SHARMA,03-Feb-2019 04:25 PM,Accepted-AOC,L1,22-Jun-2019 03:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done Certificate,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery as per SBD,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking no arbitration/litigation with PWD in pending in any court of Law,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit true information,,,,,AOC
