Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Industries and Commerce Department||Assam Industrial Development Corporation Ltd - ICD,2018_ICD_6240_1,AIDC/EPIP/ROAD/17-18/409/11062,Construction of existing road from bituminus pavement to ICBP,1,33457,4 Star Group,05-Apr-2018 11:51 AM,Rejected-AOC,Awarded the work to lowest quoted bidder,04-Oct-2018 01:39 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,EMD and Tender Fee,"5,000",Assam Industrial Development Corporation Ltd.,Guwahati,No,Construction of existing road from bituminus pavement to ICBP,"Construction / Up gradation of existing road from bituminous pavement to Interlocking concrete block pavement (ICBP) at EPIP Amingaon, District, Kamrup (Rural )",Please refer Tender documents. ,NA ,"2,05,36,000",Civil Works – Roads,Upgradation Of Exisiting Roads ,Tender,90.0,180.0,"EPIP Amingaon, District, Kamrup (Rural)",781031.0,NA ,NA ,NA ,"AIDC Ltd, R. G. Baruah Road, Guwahati, Assam",No ,No,"Managing Director, AIDC Ltd.","AIDC Ltd, R. G. Baruah Road, Guwahati, Assam Pin-781024",1.0,DD - Demand Draft,13-Mar-2018 05:00 PM,06-Apr-2018 04:45 PM,13-Mar-2018 05:00 PM,05-Apr-2018 04:00 PM,13-Mar-2018 05:00 PM ,05-Apr-2018 03:00 PM ,13-Mar-2018 05:00 PM,05-Apr-2018 04:00 PM,10-May-2018 01:15 PM,Industries and Commerce Department||Assam Industrial Development Corporation Ltd - ICD,AIDC/EPIP/ROAD/17-18/409/11062,2018_ICD_6240_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"4,11,000",Yes,fixed,,Assam Industrial Development Corporation Ltd.,Guwahati,1.0,Rescheduled Date and Time of Bid Submission,Date,,AOC
,,,,2,33454,Alimuddin Ahmed,02-Apr-2018 10:58 AM,Rejected-AOC,Awarded the work to lowest quoted bidder,04-Oct-2018 01:39 PM,AOC,,,.pdf,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,3,33353,GLOBAL TRADE ENTERPRISE,01-Apr-2018 06:47 PM,Rejected-AOC,Awarded the work to lowest quoted bidder,04-Oct-2018 01:39 PM,AOC,,,.pdf,Other Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,4,33633,JAYANTI CONTRACTORS AND ENGINEERS LTD,05-Apr-2018 02:27 PM,Rejected-AOC,Awarded the work to lowest quoted bidder,04-Oct-2018 01:39 PM,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,5,33390,M/s R.D.Constructions,05-Apr-2018 07:21 AM,Rejected-AOC,Awarded the work to lowest quoted bidder,04-Oct-2018 01:39 PM,AOC,,,.pdf,Financial Cover Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,6,32968,M/s Sanwarmal Khetawat,05-Apr-2018 11:26 AM,Rejected-AOC,Awarded the work to lowest quoted bidder,04-Oct-2018 01:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,7,33447,North East Contractors Pvt. Ltd.,02-Apr-2018 11:08 AM,Rejected-AOC,Awarded the work to lowest quoted bidder,04-Oct-2018 01:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,8,33463,Prasanta Bayan,05-Apr-2018 03:04 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-May-2018 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,9,33657,PUSPA DEKA,05-Apr-2018 01:35 PM,Rejected-AOC,Awarded the work to lowest quoted bidder,04-Oct-2018 01:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,10,33397,Ritumomni Kalita,02-Apr-2018 12:36 PM,Accepted-AOC,Lowest quoted bidder,04-Oct-2018 01:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
