EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Tender Stage
"4,72,600",Yes,percentage,2.0%,"Principal Secretary, MAC",Gogamukh,1.0,Extension of time schedule,Date,,Welfare of Plain Tribes and Backward Classes||Director - WPT and BC||Mising Autonomous Council,MAC/eTender/266/2017-18/A6,2017_WPTBC_2945_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender_Fee,Supply of 5HP Diesel Pump Set,Supply of 5HP Diesel Pump Set,Please refer Tender documents. ,NA ,"2,36,30,000",Supply of Materials,NA ,Tender,90.0,45.0,"O/o the Principal Secretary, MAC, Gogamukh",787034.0,"MAC, Gogamukh ","O/o the Principal Secretary, MAC, Gogamukh, Dhemaji ",21-Aug-2017 12:00 PM ,"MAC, Gogamukh",No ,No,1.0,DD - Demand Draft,10-Aug-2017 10:00 AM,23-Aug-2017 10:00 AM,10-Aug-2017 12:00 PM,22-Aug-2017 03:00 PM,NA ,NA ,10-Aug-2017 12:00 PM,22-Aug-2017 03:00 PM,28-Aug-2017 09:00 AM,"1,000","Principal Secretary, MAC",Gogamukh,No,Principal Secretary,"O/o the Principal Secretary, MAC, Gogamukh, Dhemaji",AOC,Welfare of Plain Tribes and Backward Classes||Director - WPT and BC||Mising Autonomous Council,2017_WPTBC_2945_1,MAC/eTender/266/2017-18/A6,Supply of 5HP Diesel Pump Set,1,16274,Gauhati Industrial Spares,21-Aug-2017 10:27 PM,Rejected-AOC,not selected,27-Dec-2018 06:25 PM,Technical,"After thorough scrutiny by the Tender Committee, the submitted Cost of Bid and EMD by the bidders, the minutes of the technical bid opening is uploaded",BirenSingh Narah,26-Aug-2017 03:36 PM,technical_4655.pdf,"CEC, MAC",Internal,,BirenSingh Narah,27-Aug-2017 06:28 PM,28-Aug-2017 09:00 AM,techsummary_4655.pdf (257.62 KB),AOC
,,,,,,2.0,Corrigendum,Technical Bid,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,AOC,,,,,2,16149,Indra Marshal Power Pvt Ltd,19-Aug-2017 05:31 PM,Rejected-Technical,No. MAC Registration,27-Aug-2017 06:28 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical_Qualification,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,AOC,,,,,3,16117,M/s. Ashirvad Associates,21-Aug-2017 01:54 PM,Rejected-AOC,not selected,27-Dec-2018 06:25 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding_Documents,,,,,,,,,,,,,,,,,,,4.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,AOC,,,,,4,16328,M/S J.K ENGINEERING AND AGRO SERVICE,22-Aug-2017 01:30 PM,Rejected-AOC,not selected,27-Dec-2018 06:25 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,16293,M/S Maa Kamakhya Associates,22-Aug-2017 01:00 AM,Rejected-AOC,not selected,27-Dec-2018 06:25 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6,16025,M/S NORTHERN GASES,22-Aug-2017 09:24 AM,Accepted-AOC,AOC awarded,27-Dec-2018 06:25 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,16046,RATHI AGENCIES,22-Aug-2017 06:58 AM,Rejected-AOC,not selected,27-Dec-2018 06:25 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,16040,R.C. AGENCIES,22-Aug-2017 09:29 AM,Accepted-AOC,AOC awarded,27-Dec-2018 06:25 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,16351,SHREE SHYAM TRADING COMPANY,22-Aug-2017 02:56 PM,Rejected-Technical,No. EMD,27-Aug-2017 06:28 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,16326,Sri Tarun Dutta,22-Aug-2017 02:03 PM,Rejected-Technical,Insufficient documents,27-Aug-2017 06:28 PM,,,,,,,,,,,,,AOC
