S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Extension of time schedule,Date,,1.0,Fee/PreQual/Technical,.pdf,Tender_Fee,Welfare of Plain Tribes and Backward Classes||Director - WPT and BC||Mising Autonomous Council,MAC/eTender/266/2017-18/A1,2017_WPTBC_2930_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,"1,000","Principal Secretary, MAC",Gogamukh,No,10-Aug-2017 10:00 AM,23-Aug-2017 10:00 AM,10-Aug-2017 12:00 PM,22-Aug-2017 03:00 PM,NA ,NA ,10-Aug-2017 12:00 PM,22-Aug-2017 03:00 PM,28-Aug-2017 09:00 AM,1.0,DD - Demand Draft,Principal Secretary,"O/o the Principal Secretary, MAC, Gogamukh, Dhemaji",Supply of Cotton Yarn,Supply of Cotton Yarn,Please refer Tender documents. ,NA ,"2,33,64,000",Supply of Materials,NA ,Tender,90.0,45.0,"O/o the Principal Secretary, MAC, Gogamukh",787034.0,"MAC, Gogamukh ","O/o the Principal Secretary, MAC, Gogamukh, Dhemaji ",21-Aug-2017 10:00 AM ,"MAC, Gogamukh",No ,No,"4,67,280",Yes,percentage,2.0%,"Principal Secretary, MAC",Gogamukh,AOC,Welfare of Plain Tribes and Backward Classes||Director - WPT and BC||Mising Autonomous Council,2017_WPTBC_2930_1,MAC/eTender/266/2017-18/A1,Supply of Cotton Yarn,1,16245,ARCHNIRMAN PRIVATE LIMITED,21-Aug-2017 04:27 PM,Rejected-AOC,not qualified,27-Dec-2018 05:52 PM,AOC
2.0,Corrigendum,Technical Bid,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,16327,Digbijay Doley,22-Aug-2017 01:07 PM,Rejected-AOC,not qualified,27-Dec-2018 05:52 PM,AOC
,,,,,,.pdf,Technical_Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,16333,Gauhati Industrial Spares,22-Aug-2017 01:38 PM,Rejected-AOC,not qualified,27-Dec-2018 05:52 PM,AOC
,,,,,,.pdf,Bidding_Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,16309,KAMAKHYA AGRO & ENGINEERING ASSOCIATES,22-Aug-2017 11:38 AM,Rejected-AOC,not qualified,27-Dec-2018 05:52 PM,AOC
,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,16321,KEA Consultants Pvt Ltd,22-Aug-2017 12:29 PM,Rejected-AOC,not qualified,27-Dec-2018 05:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6,16266,KRISHNA ENTERPRISE,22-Aug-2017 10:59 AM,Rejected-AOC,not qualified,27-Dec-2018 05:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,16225,MODI PACKAGING,21-Aug-2017 09:05 PM,Rejected-AOC,not qualified,27-Dec-2018 05:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,16334,M/S AGH CONSTRUCTIONS,22-Aug-2017 01:26 PM,Rejected-AOC,not qualified,27-Dec-2018 05:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,16259,Ms A R Associates,22-Aug-2017 11:48 AM,Rejected-AOC,not qualified,27-Dec-2018 05:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,16238,M/s. Ashirvad Associates,21-Aug-2017 03:25 PM,Rejected-AOC,not qualified,27-Dec-2018 05:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,11,16329,M/S. K.C. AGENCIES,22-Aug-2017 01:08 PM,Rejected-AOC,not qualified,27-Dec-2018 05:52 PM,AOC
