Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Irrigation Department,2018_ID_7963_13,NIT_NO_CMD_CAD_LA_T_7_2016_68,Correction of System deficiency and Construction of Under Ground PVC Distribution System.,03-Nov-2018,INR 1.535562E+7,180.0,Ram Pravesh Chauhan,03-Nov-2018 12:11 PM,AOC.pdf (610.00 KB),Works are awarded as per efficiency/credentials.,B Malakar,Internal,H K MILI C M DAS P DEKA D SAIKIA R GOGOI N SARKAR,Ram Pravesh Chauhan,03-Nov-2018 12:04 PM,finsummary_12054.pdf (613.16 KB),1.0,39403.0,AJOY NARZARY,INR,3000000.0,Technical,Technical BID Evaluation has been done.,Ram Pravesh Chauhan,10-Sep-2018 05:11 PM,technical_12054.pdf,1,39403,AJOY NARZARY,08-Aug-2018 03:50 PM,Accepted-AOC,Works are awarded as per credential report of the bidder such as experience of works/total monitory value/annual turnover etc.,03-Nov-2018 12:11 PM,Finance,Financial bid has been opened,Ram Pravesh Chauhan,02-Nov-2018 06:04 PM,finance_12054.pdf,BOQ Comparative Chart,B Malakar,Internal,P Deka D Saikia H K Mili C M Das N Sarkar.,Ram Pravesh Chauhan,10-Sep-2018 05:14 PM,10-Sep-2018 05:30 PM,techsummary_12054.pdf (579.72 KB),AOC,1.0,DD - Demand Draft,CMD_LACADA,"Irrigation Deptt., Chandmari, Guwahati-3",Correction of System deficiency and Construction of Under Ground PVC Distribution System.,"Earth work in excavation, Brick work, C.C.and R.C.C. work, Cement plastering,Fitting and fixing PVC pipe etc.",Please refer to tender document. ,NA ,"1,70,61,800",Civil Works,NA ,Tender,180.0,180.0,"Udalgur, Bhairabkunda",781009.0,NA ,NA ,NA ,"Office of the CMD, LACADA, Chandmari, Ghy-3",No ,No,Irrigation Department,NIT_NO_CMD_CAD_LA_T_7_2016_68,2018_ID_7963_13,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"3,41,236",Yes,percentage,2.0%,"E E Dhansiri Project Division(I),Canal I Udalguri",Udalguri,23-Jul-2018 12:00 PM,14-Aug-2018 03:00 PM,23-Jul-2018 02:00 PM,14-Aug-2018 02:00 PM,NA ,NA ,23-Jul-2018 02:00 PM,14-Aug-2018 02:00 PM,10-Sep-2018 05:30 PM,"1,000","E E Dhansiri Project Division(I),Canal I Udalguri",Udalguri,No,1.0,Fee/PreQual/Technical,.pdf,EMD and Tender fee,AOC
,,,,,,,,,,,,,,,,,2.0,39634.0,PRAMOD RAJBONGSHI,INR,2000000.0,,,,,,2,39812,BINU RAM BORO,13-Aug-2018 10:15 PM,Rejected-Finance,Quoted rate is not acceptable.,03-Nov-2018 12:04 PM,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tech. qualification,AOC
,,,,,,,,,,,,,,,,,3.0,39852.0,Ranjit Das,INR,2300000.0,,,,,,3,39801,Dhananjoy Talukdar,13-Aug-2018 09:14 PM,Rejected-AOC,Works are awarded as per credential report of the bidder such as experience of works/total monitory value/annual turnover etc.,03-Nov-2018 12:11 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BID documents,AOC
,,,,,,,,,,,,,,,,,4.0,39918.0,MS JAGADISHA CONSTRUCTIONS,INR,8000000.0,,,,,,4,39702,Green Square R.E. and Infrastructures,12-Aug-2018 07:52 PM,Rejected-AOC,Works are awarded as per credential report of the bidder such as experience of works/total monitory value/annual turnover etc.,03-Nov-2018 12:11 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,39835,HARADHAN KUNDU,13-Aug-2018 11:53 PM,Rejected-AOC,Works are awarded as per credential report of the bidder such as experience of works/total monitory value/annual turnover etc.,03-Nov-2018 12:11 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,39918,MS JAGADISHA CONSTRUCTIONS,14-Aug-2018 01:17 PM,Accepted-AOC,Works are awarded as per credential report of the bidder such as experience of works/total monitory value/annual turnover etc.,03-Nov-2018 12:11 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,39787,M/S Raj Kumar Jain,13-Aug-2018 08:22 PM,Rejected-AOC,Works are awarded as per credential report of the bidder such as experience of works/total monitory value/annual turnover etc.,03-Nov-2018 12:11 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,39634,PRAMOD RAJBONGSHI,11-Aug-2018 04:16 PM,Accepted-AOC,Works are awarded as per credential report of the bidder such as experience of works/total monitory value/annual turnover etc.,03-Nov-2018 12:11 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,39852,Ranjit Das,14-Aug-2018 12:55 AM,Accepted-AOC,Works are awarded as per credential report of the bidder such as experience of works/total monitory value/annual turnover etc.,03-Nov-2018 12:11 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,39605,Rohini Kakoty,10-Aug-2018 06:50 PM,Rejected-AOC,Works are awarded as per credential report of the bidder such as experience of works/total monitory value/annual turnover etc.,03-Nov-2018 12:11 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
