Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
"Juri Deka Thakur,ACS,Jt Secretary ,Fishery Deptt,Assam,Dispur",Internal,,Sangita Bhattacharyya,01-Oct-2018 04:38 PM,05-Oct-2018 12:00 PM,techsummary_10927.pdf (462.00 KB),15-Oct-2018,INR 1.15573E+7,180.0,Bobita Rani Medhi,21-Nov-2018 04:25 PM,PADUMPUKHURI.pdf (1030.00 KB),"Work Order for Renovation of Padum pukhuri Fish Seed Farm, Morigaon",Department of Fisheries||Directorate of Fisheries Assam,2018_FD_7285_1,"AF(S)354/2015-16/Pt-I/97 dtd. 10th May, 2018","Renovation of Padum pukhuri Fish Seed Farm, Morigaon",Finance,"Minutes of Financial Evaluation of Renovation of Padum Pukhuri Fish Seed Farm, Morigaon",Bobita Rani Medhi,12-Oct-2018 12:45 PM,finance_10927.pdf,BOQ Comparative Chart,1.0,36343.0,UCN CONSTRUCTION COMPANY PRIVATE LIMITED,INR,10401569.04,Technical,Minutes of Evaluation of Technical Bids of Re- Retender of Renovation of PadumPukhuri Fish Seed Farm Morigaon,Sangita Bhattacharyya,01-Oct-2018 04:35 PM,technical_10927.pdf,1,36404,Bhubaneswar Borah,03-Jun-2018 09:10 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Oct-2018 04:35 PM,"Smti. Jurie Deka Thakur,The Addl Secretary to the Govt. of Assam, Fishery Department",Internal,"Smti. Jurie Deka Thakur,The Addl Secretary to the Govt. of Assam, Fishery Department",Bobita Rani Medhi,12-Oct-2018 01:33 PM,finsummary_10927.pdf (1423.29 KB),AOC,17-May-2018 03:30 PM,06-Jun-2018 11:30 AM,17-May-2018 04:00 PM,04-Jun-2018 03:00 PM,17-May-2018 04:00 PM ,28-May-2018 03:00 PM ,23-May-2018 11:00 AM,04-Jun-2018 03:00 PM,05-Oct-2018 12:00 PM,1.0,"Regarding online and offline bid submission date against the work Renovation of Padum Pukhuri Fish Seed Farm, Morigaon",Date,,"Renovation of Padum pukhuri Fish Seed Farm, Morigaon","Renovation of Padum pukhuri Fish Seed Farm, Morigaon under RIDF XXI for 2016-17",Please refer tender documents ,NA ,"1,11,33,365",Civil Works,NA ,Tender,180.0,360.0,Morigaon,782105.0,"Directorate of Fisheries, Assam, Guwahati ","O/o the Director of Fisheries, Assam, Guwahati ",21-May-2018 01:00 PM ,"Directorate of Fisheries, Assam, Guwahati",No ,No,"Director of Fisheries, Assam","O/o the Director of Fisheries, Assam, Guwahati","2,22,667",Yes,percentage,2.0%,"The Director of Fisheries, Assam",Guwahati,"3,500","The Director of Fisheries, Assam",Guwahati,No,1.0,DD - Demand Draft,Department of Fisheries||Directorate of Fisheries Assam,"AF(S)354/2015-16/Pt-I/97 dtd. 10th May, 2018",2018_FD_7285_1,Yes,Open Tender,Works,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Fee/ EMD Fee,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,36304,Global Enterprise,03-Jun-2018 02:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Oct-2018 04:35 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,.pdf,Tender Documents with sign and seal,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,36395,GUNJ ASSOCIATES,04-Jun-2018 11:28 AM,Not Admitted-Finance,Not qualified for AOC,12-Oct-2018 12:45 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,.pdf,Technical Qualification criteria,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,36542,M/s G. B. Construction,01-Jun-2018 03:31 AM,Rejected-Finance,Rate quoted is lower than 10 percent below the estimated cost,12-Oct-2018 01:33 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,36292,M/S MAYUR TALUKDAR,02-Jun-2018 02:20 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Oct-2018 04:35 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,.pdf,Form of Bid,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,36622,PRABIR KALITA,04-Jun-2018 12:28 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Oct-2018 04:35 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,36354,SHREE MANSA INDUSTRIES,04-Jun-2018 01:36 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Oct-2018 04:35 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,36644,S.R. Construction,04-Jun-2018 01:19 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Oct-2018 04:35 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,36332,Sri Romendra Kr Bhuyan,31-May-2018 03:35 PM,Rejected-Finance,Less Financial Turn Over,12-Oct-2018 01:33 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,36343,UCN CONSTRUCTION COMPANY PRIVATE LIMITED,02-Jun-2018 11:27 AM,Accepted-AOC,More Financial Turn Over,21-Nov-2018 04:25 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
