Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage
Finance,FBOS,Naresh Raj Chandel,25-Mar-2019 02:21 PM,finance_39773.pdf,BOQ Comparative Chart,1.0,116854.0,A.A. ENTREPRENEURS,INR,"1,380,079",Technical,BOS,Naresh Raj Chandel,08-Mar-2019 02:32 PM,technical_39773.pdf,1.0,116854.0,A.A. ENTREPRENEURS,02-Mar-2019 07:31 PM,Accepted-AOC,being L-1,04-May-2019 01:36 PM,"Superintending Engineer, 1st Circle, HPPWD Mandi",Internal,"Executive Engineer Sundernagar Executive Engineer (D) Mandi Circle CHD, Supdt. Works",Naresh Raj Chandel,04-May-2019 01:28 PM,finsummary_39773.pdf (4825.87 KB),04-May-2019,"INR 1,489,361.45",60.0,Naresh Raj Chandel,04-May-2019 01:36 PM,Scan_20190504_133029.pdf (2733.00 KB),AOC issued after necessary negotiation.,PWD,2019_PWD_27862_1,PW-SNR-CB-E-Tender /GiriRaj/ 18-20286-92 dt.8.2.20,Annual surfacing on Link road from Girl school to BBMB Lake and Sundernagar Circular road,Er. D.R.Chauhan Executive Engineer,Internal,Er. NR Chandel Member Sh. Sushil Kumar Member Dinesh Sen Member Smt. Girja Sharma Member,Naresh Raj Chandel,09-Mar-2019 04:15 PM,11-Mar-2019 10:00 AM,techsummary_39773.pdf (212.93 KB),AOC,"23,000",Yes,fixed,,EE Sundernagar,Sundernagar,Annual surfacing on Link road from Girl school to BBMB Lake and Sundernagar Circular road,SH Providing and laying 25mm thick bituminous concrete including profile correction on Link road from Girl school to BBMB Lake in km 0/00 to 1/00 and Sundernagar Circular road in km 5/00 to 5/500,Please refer Tender documents. ,NA ,"11,44,268",Civil Works,NA ,Tender,120.0,60.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,26-Feb-2019 12:00 PM,05-Mar-2019 11:00 AM,26-Feb-2019 12:30 PM,04-Mar-2019 06:00 PM,NA ,NA ,26-Feb-2019 01:00 PM,04-Mar-2019 06:00 PM,11-Mar-2019 10:00 AM,Executive Engineer Sunder Nagar Division HPPWD,O/O Executive Engineer Sunder Nagar Division HPPWD,500.0,EE Sundernagar,Sundernagar,No,PWD,PW-SNR-CB-E-Tender /GiriRaj/ 18-20286-92 dt.8.2.20,2019_PWD_27862_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2.0,116896.0,Ajmer Singh,03-Mar-2019 03:37 PM,Rejected-Technical,Non responsive,09-Mar-2019 04:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,3.0,116951.0,S.A ASSOCIATE,04-Mar-2019 10:46 AM,Rejected-AOC,Not being lowest,04-May-2019 01:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,,,AOC
