Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,opening summary,ROSHAN LAL CHAUHAN,03-Mar-2019 12:14 PM,technical_39094.pdf,1.0,114609.0,DARJE SUKH NEGI,23-Feb-2019 10:11 AM,Accepted-AOC,awarded,13-May-2019 01:18 PM,PWD,2019_PWD_27449_1,3542-46 dated 18.01.2019,Periodic renewal coats on Karchham Sangla Chhitkul road under Annual Maintenance plan for the year 2019.2020 SH Annual surfacing from km 8.0 to 9.0 9.0 to 10.0 and 10.0to 11.0,AOC,Periodic renewal coats on Karchham Sangla Chhitkul road under Annual Maintenance plan for the year 2019.2020 SH Annual surfacing from km 8.0 to 9.0 9.0 to 10.0 and 10.0to 11.0,Periodic renewal coats on Karchham Sangla Chhitkul road under Annual Maintenance plan for the year 2019.2020 SH Annual surfacing from km 8.0 to 9.0 9.0 to 10.0 and 10.0to 11.0,Please refer Tender documents. ,NA ,"20,68,005",Civil Works,NA ,Tender,60.0,60.0,Sangla,175115.0,NA ,NA ,NA ,Bhabanagar,No ,No,Executive Engineer,Karchham Division HP PWD Bhabanagar,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"38,600",Yes,fixed,,EE Bhabanagar,Bhabanagar,1.0,DD - Demand Draft,18-Feb-2019 10:00 AM,25-Feb-2019 11:00 AM,18-Feb-2019 10:30 AM,25-Feb-2019 09:00 AM,NA ,NA ,18-Feb-2019 10:30 AM,25-Feb-2019 09:00 AM,04-Mar-2019 09:00 AM,500.0,EE Bhabangar,Bhabanagar/Sungra,Yes,PWD,3542-46 dated 18.01.2019,2019_PWD_27449_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,2.0,114727.0,Pitamber Negi,22-Feb-2019 08:01 PM,Rejected-AOC,L3,13-May-2019 01:18 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,113890.0,SHAKTI SINGH CONTRCATOR,20-Feb-2019 03:38 PM,Rejected-AOC,L2,13-May-2019 01:18 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
