EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"16,100",No,fixed,,EE Hamirpur,EE Hamirpur,A/R and M/O Pooled Coloney at Hamirpur work,SH Providing and Laying WMM BC Thermoplastic compound in session Judge office at km 0/445 to 0/540 and Pooled colony 300 Rmt Type- IV quarter 40 Rmt Type- VI 40 Rmt and extended portion,Please refer Tender documents. ,NA ,"8,02,935",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,EE Hamirpur,Executive Engineer HPPWD Hamirpur,PWD,A/R and M/O Pooled Coloney at Hamirpur,2018_PWD_24308_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,26-Oct-2018 09:00 AM,02-Nov-2018 03:00 PM,26-Oct-2018 09:00 AM,02-Nov-2018 10:30 AM,NA ,NA ,26-Oct-2018 09:00 AM,02-Nov-2018 10:30 AM,15-Nov-2018 03:30 PM,350.0,EE Hamirpur,EE Hamirpur,No,1.0,DD - Demand Draft,AOC,Finance,Attached,Vivek Sharma,06-Jan-2019 01:59 PM,finance_33962.pdf,BOQ Comparative Chart,1.0,99251.0,Karan Rana,INR,"859,918",1.0,99222.0,ANIL KUMAR,01-Nov-2018 04:39 PM,Rejected-AOC,l2,30-May-2019 03:25 PM,Technical,Attached,Dev Raj,14-Nov-2018 09:10 PM,technical_33962.pdf,PWD,2018_PWD_24308_1,A/R and M/O Pooled Coloney at Hamirpur,A/R and M/O Pooled Coloney at Hamirpur work,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Dev Raj,14-Nov-2018 09:33 PM,15-Nov-2018 03:30 PM,techsummary_33962.pdf (946.31 KB),EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,30-May-2019 03:05 PM,finsummary_33962.pdf (531.88 KB),30-May-2019,"INR 859,918",30.0,Vivek Sharma,30-May-2019 03:25 PM,24803f.pdf (750.00 KB),Award,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,2.0,99251.0,Karan Rana,01-Nov-2018 06:34 PM,Accepted-AOC,l1,30-May-2019 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,99234.0,SAJEEV KUMAR GOVT.CONTRACTOR,01-Nov-2018 05:13 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Nov-2018 09:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders are required paver Machine and Mini Hot Plant for execution of work in radius of 30kKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
