Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"1,500",Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),1.0,Corrigendum,Fee,,Periodical maintenance of Link road to Makrer from Una Pirnigah Bihru road VR039SH Providing and laying 25mm thick bituminous concrete including profile correction in Km 40 to 50 and link road from Makrer to Bohru VR040 SH Providing and laying 25mm t,Periodical maintenance of Link road to Makrer from Una Pirnigah Bihru road VR039SH Providing and laying 25mm thick bituminous concrete including profile correction in Km 40 to 50 and link road from Makrer to Bohru VR040 SH Providing and laying 25mm t,Please refer Tender documents. ,NA ,"31,77,488",Civil Works - Roads,NA ,Tender,120.0,60.0,Bangana,174307.0,NA ,NA ,NA ,Executive Engineer HPWD Bangana,No ,No,1.0,DD - Demand Draft,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,PWD,PW/BGN/CB/T-I/2018-19-16118-42 dt 14.01.2019,2019_PWD_26676_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,04-Feb-2019 05:00 PM,12-Feb-2019 11:30 AM,04-Feb-2019 05:00 PM,11-Feb-2019 05:00 PM,NA ,NA ,04-Feb-2019 05:00 PM,11-Feb-2019 05:00 PM,16-Feb-2019 11:00 AM,"54,400",No,fixed,,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,AOC,1.0,111902.0,SS CONSTRUCTION COMPANY,INR,"3,460,260",Finance,bidopening summary,Ram Saroop Kalia,22-May-2019 11:22 AM,None,BOQ Comparative Chart,1.0,111948.0,M/S R.R.Builders,11-Feb-2019 01:59 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Feb-2019 08:38 PM,Technical,technicalevaluationsummary,Ram Saroop Kalia,14-Feb-2019 08:38 PM,technical_37890.pdf,PWD,2019_PWD_26676_1,PW/BGN/CB/T-I/2018-19-16118-42 dt 14.01.2019,Periodical maintenance of Link road to Makrer from Una Pirnigah Bihru road VR039SH Providing and laying 25mm thick bituminous concrete including profile correction in Km 40 to 50 and link road from Makrer to Bohru VR040 SH Providing and laying 25mm t,EE,Internal,GASupdtHDMDAOAE,Ram Saroop Kalia,14-Feb-2019 08:39 PM,16-Feb-2019 11:00 AM,techsummary_37890.pdf (101.06 KB),EE,Internal,GASupdtHDMDAOAE,Ram Saroop Kalia,22-May-2019 11:24 AM,finsummary_37890.pdf (228.48 KB),22-May-2019,"INR 3,123,940",60.0,Ram Saroop Kalia,22-May-2019 11:26 AM,26676.pdf (228.00 KB),Award letter,AOC
,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,111902.0,SS CONSTRUCTION COMPANY,11-Feb-2019 02:25 PM,Accepted-AOC,Accept due to L-1,22-May-2019 11:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in Bidding Document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,List of Machinery Tool Plant with proof of ownership or legal tie-up and list of laboratory equipmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,List of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No.16 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
