Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Restoration of rain Damages on Jubbal Kainchi Santoshinager Road Km 0/0 to 6/0,"SH C/O P.C.C.Breast wall and Retaining wall in various R.Ds between Km 1/0 to 2/0 and Footh path,Earth Filling and Stone filling between Km 1/690 to 1/840",Please refer Tender documents. ,NA ,"50,81,122",Civil Works - Roads,NA ,Tender,120.0,60.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,03-Oct-2017 12:00 PM,10-Oct-2017 11:30 AM,03-Oct-2017 12:00 PM,10-Oct-2017 10:00 AM,NA ,NA ,03-Oct-2017 12:00 PM,10-Oct-2017 10:00 AM,10-Oct-2017 04:55 PM,"84,000",No,fixed,,EE Jubbal,Jubbal,Executive Engineer Jubbal,HPPWD JUBBAL,PWD,PW.JD/E-Tender/2017-18- 8117-19 Dt.16.9.17,2017_PWD_18526_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,DD - Demand Draft,"2,000",EE Jubbal,Jubbal,No,AOC,Er.Rakesh Thakur,Internal,,Manoj Bhardwaj,10-Oct-2017 04:53 PM,10-Oct-2017 04:55 PM,techsummary_25057.pdf (386.79 KB),PWD,2017_PWD_18526_1,PW.JD/E-Tender/2017-18- 8117-19 Dt.16.9.17,Restoration of rain Damages on Jubbal Kainchi Santoshinager Road Km 0/0 to 6/0,02-May-2019,"INR 9,670,236",60.0,Prem Pal Sharma,02-May-2019 01:23 PM,aoc185261_1.pdf (406.00 KB),Awarded after negotation,Er Rakesh Thakur,Internal,DAO HDM Supdt,Prem Pal Sharma,01-May-2019 05:26 PM,finsummary_25057.pdf (397.65 KB),1.0,70150.0,Arun Negi,09-Oct-2017 10:50 PM,Rejected-AOC,l2,02-May-2019 01:23 PM,Technical,Bid Opening Summary,Manoj Bhardwaj,10-Oct-2017 04:50 PM,technical_25057.pdf,1.0,70133.0,Rakesh Negi,INR,"9,670,236",Finance,2no bids received,Prem Pal Sharma,01-May-2019 05:25 PM,finance_25057.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,FDR - Fixed Deposit,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,70133.0,Rakesh Negi,09-Oct-2017 07:32 PM,Accepted-AOC,l1,02-May-2019 01:23 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
