Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Providing renewal coat under annual maintenance plan for Sichling Dhankar road Km 0.000 to 9.000 SH. Providing and laying renewal coat at RD 0.000 to 2.000 and 4.000 to 5.000,Providing renewal coat under annual maintenance plan for Sichling Dhankar road Km 0.000 to 9.000 SH. Providing and laying renewal coat at RD 0.000 to 2.000 and 4.000 to 5.000,Please refer Tender documents. ,NA ,"19,38,960",Civil Works - Roads,NA ,Tender,90.0,90.0,Kaza,172114.0,NA ,NA ,NA ,Kaza DivisionHPPWD Kaza,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,11-May-2017 10:00 AM,29-May-2017 09:00 AM,11-May-2017 10:00 AM,25-May-2017 10:00 AM,NA ,NA ,11-May-2017 10:00 AM,25-May-2017 10:00 AM,16-Jun-2017 01:10 PM,"38,780",Yes,fixed,,E E Kaza,Kaza,Executive Engineer,Kaza DivisionHPPWD Kaza Distt. Lahul and Spiti HP,1.0,DD - Demand Draft,PWD,kaza,2017_PWD_16320_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,E E Kaza,Kaza,Yes,AOC,Er. Virender Kumar,Internal,Shri Sat Pal D.A. Shri Des Raj DM,Virender Kumar,16-Jun-2017 01:07 PM,16-Jun-2017 01:10 PM,techsummary_22170.pdf (91.03 KB),PWD,2017_PWD_16320_1,kaza,Providing renewal coat under annual maintenance plan for Sichling Dhankar road Km 0.000 to 9.000 SH. Providing and laying renewal coat at RD 0.000 to 2.000 and 4.000 to 5.000,15-May-2019,"INR 3,215,594",90.0,Prakash Chand Negi,15-May-2019 04:54 PM,pdf.pdf (385.00 KB),AOC,The Executive Engineer,Internal,All the members of Tender committee,Prakash Chand Negi,15-May-2019 04:51 PM,finsummary_22170.pdf (282.82 KB),Finance,All the documents downloaded successfully,Prakash Chand Negi,15-May-2019 04:48 PM,finance_22170.pdf,BOQ Comparative Chart,1.0,60693.0,DORJE CHHERING,INR,"3,215,594",1.0,60696.0,ANIL KUMAR,21-May-2017 05:27 PM,Rejected-AOC,due to 2nd lowet,15-May-2019 04:54 PM,Technical,Opening Summary,Virender Kumar,16-Jun-2017 01:05 PM,technical_22170.pdf,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,60693.0,DORJE CHHERING,21-May-2017 05:13 PM,Accepted-AOC,work awarded to lowest Contractor,15-May-2019 04:54 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
